# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)
#ABILITYCATEGORY:Barbarian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BarbarianClassFeatures	PLURAL:Barbarian Class Features	DISPLAYLOCATION:Class Features

###Block: Class Features
# Ability Category					Visible		Editable?		Change Pool?	Category of Object		Type of Object				Plural description for UI			Display Location
ABILITYCATEGORY:Psychic Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PsychicClassFeatures		PLURAL:Psychic Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Beastmaster Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BeastmasterClassFeatures		PLURAL:Beastmaster Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Fire-Starter Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Fire-StarterClassFeatures	PLURAL:Fire-Starter Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Ghost Stalker Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Ghost StalkerClassFeatures	PLURAL:Ghost Stalker Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Mind Hunter Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Mind HunterClassFeatures		PLURAL:Mind Hunter Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Psychic Adept Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Psychic AdeptClassFeatures	PLURAL:Psychic Adept Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Psychic Healer Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Psychic HealerClassFeatures	PLURAL:Psychic Healer Class Features	DISPLAYLOCATION:Class Features

###Block: Feat Pools
# Ability Category			Visible		Editable?		Change Pool?	Category of Object	Type of Object					Plural description for UI	Display Location
ABILITYCATEGORY:Psychic Feat		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT		TYPE:Psychic.Psychic Talent.Metapsychic	PLURAL:Psychic Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psychic Talent	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT		TYPE:Psychic Talent				PLURAL:Psychic Talents		DISPLAYLOCATION:Feats

###Block:
