#
# Dragon Magazine 358 feats
#
SOURCELONG:Dragon Magazine 358	SOURCESHORT:DM358

Artisan Craftsman (Armorsmithing)	CATEGORY:Feat	TYPE:General	VISIBLE:YES		PRESKILL:1,Craft (Armorsmithing)=4		BONUS:ABILITYPOOL|Artisan Craftsman Item Quality|1	BONUS:ABILITYPOOL|Artisan Craftsman Item Quality|(var("SKILLRANK=Craft {Armorsmithing}")/5)
Artisan Craftsman (Bowmaking)		CATEGORY:Feat	TYPE:General	VISIBLE:YES		PRESKILL:1,Craft (Bowmaking)=4			BONUS:ABILITYPOOL|Artisan Craftsman Item Quality|1	BONUS:ABILITYPOOL|Artisan Craftsman Item Quality|(var("SKILLRANK=Craft {Bowmaking}")/5)
Artisan Craftsman (Weaponsmithing)	CATEGORY:Feat	TYPE:General	VISIBLE:YES		PRESKILL:1,Craft (Weaponsmithing)=4		BONUS:ABILITYPOOL|Artisan Craftsman Item Quality|1	BONUS:ABILITYPOOL|Artisan Craftsman Item Quality|(var("SKILLRANK=Craft {Weaponsmithing}")/5)


Acid Wash (Armor)		KEY:Artisan Craftsman ~ Acid Wash (Armor)	CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)		DESC:Items created gain a +4 bonus on saving throws against acid, rust, and disintegration.
Acid Wash (Weapon)		KEY:Artisan Craftsman ~ Acid Wash (Weapon)	CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Items created gain a +4 bonus on saving throws against acid, rust, and disintegration.
Basket Hilt				KEY:Artisan Craftsman ~ Basket Hilt			CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Swords with basket hilts grant +4 bonus on opposed attack rolls made to resist disarm attempts.
Blood Groove			KEY:Artisan Craftsman ~ Blood Groove		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Blood grooves reduce weapon weight by 20%% or 0.5 pounds and increase Hardness +2.
Caster Armor			KEY:Artisan Craftsman ~ Caster Armor		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)		DESC:Caster armor reduces arcane spell failure 5%%.
Deceptive (Bow)			KEY:Artisan Craftsman ~ Deceptive (Bow)		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Bowmaking)			DESC:Deceptive weapons grant a +4 circumstance bonus to Sleight of Hand checks made to high or disguise weapon.
Deceptive (Weapon)		KEY:Artisan Craftsman ~ Deceptive (Weapon)	CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Deceptive weapons grant a +4 circumstance bonus to Sleight of Hand checks made to high or disguise weapon.
Enhanced Bracing		KEY:Artisan Craftsman ~ Enhanced Bracing	CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)		DESC:Enhanced bracing adds +2 circumstance bonus on damage rolls on spears and polearms set against charge.
Environmentally Designed (Cold)		KEY:Artisan Craftsman ~ Environmentally Designed (Cold)		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)	DESC:Environmentally designed armor grants a +2 circumstance bonus on saving throws against harsh environmental conditions.
Environmentally Designed (Heat)		KEY:Artisan Craftsman ~ Environmentally Designed (Heat)		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)	DESC:Environmentally designed armor grants a +2 circumstance bonus on saving throws against harsh environmental conditions.
Folded Metal			KEY:Artisan Craftsman ~ Folded Metal		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Folded metal weapons gain Hardness +4.
Lightweight				KEY:Artisan Craftsman ~ Lightweight			CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmith)		DESC:Lightweight armor has a weight reduction of 20%% or 1 pound.
Long-Range				KEY:Artisan Craftsman ~ Long-Range			CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Bowmaking)			DESC:Long-range weapons increase range increment by +20 feet.
Ornate (Armor)			KEY:Artisan Craftsman ~ Ornate (Armor)		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)		DESC:Ornate armor grants a +2 circumstance bonus to Diplomacy or Intimidation checks.
