# CVS $Revision: $ $Author: $ -- Thu Aug  7 12:47:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# Spell Name		Output Name					Classes of caster						School			Sub-School			Spell Descriptors			Type				Components				Casting Time			Range			Item		Target Area or Effect			Duration				Save Info			Spell Resistance	XP Cost	Source Page		Description																												Temporary effect description							Temporary Bonus
Bestow Ancient Curse							CLASSES:Cleric=9						SCHOOL:Necromancy											TYPE:Divine			COMPS:V, DF, XP			CASTTIME:1 standard action	RANGE:Touch		ITEM:Potion	TARGETAREA:Creature touched		DURATION:Permanent		SAVEINFO:Will negates	SPELLRES:Yes	XPCOST:2000	SOURCEPAGE:p.	DESC:You bestow a curse that persists through generations.																				TEMPDESC:The curse persists across the generations.
Bestow Divine Curse							CLASSES:Cleric=7						SCHOOL:Transmutation										TYPE:Divine			COMPS:V, M, DF, PowerCheck	CASTTIME:1 full round		RANGE:Medium	ITEM:Potion	TARGETAREA:One creature			DURATION:Permanent		SAVEINFO:None		SPELLRES:No				SOURCEPAGE:p.	DESC:-6 to an ability score; -4 on attack rolls, saves, and checks; or 50%% chance of losing each action.												TEMPDESC:Applies penalty to attacks, saves, and skill checks.	TEMPBONUS:PC|SAVE|ALL|-4|TYPE=Temporary	TEMPBONUS:PC|COMBAT|TOHIT|-4|TYPE=Temporary	TEMPBONUS:PC|SKILL|ALL|-4|TYPE=Temporary
Borrowed Time								CLASSES:Blackguard=4|Cleric,Sorcerer,Wizard=5	SCHOOL:Necromancy											TYPE:Arcane.Divine	COMPS:V, M, PowerCheck		CASTTIME:3 days			RANGE:Personal			TARGETAREA:You				DURATION:See text			SAVEINFO:None		SPELLRES:No				SOURCEPAGE:p.	DESC:Animate yourself as one of the undead to complete a specific task.
Borrowed Time (Greater)	OUTPUTNAME:Borrowed Time, Greater	CLASSES:Cleric,Sorcerer,Wizard=7			SCHOOL:Necromancy											TYPE:Arcane.Divine	COMPS:V, M, PowerCheck		CASTTIME:3 days			RANGE:Personal			TARGETAREA:You				DURATION:See text			SAVEINFO:None		SPELLRES:No				SOURCEPAGE:p.	DESC:Animate yourself as one of the undead to complete a specific task.
Borrowed Time (Lesser)	OUTPUTNAME:Borrowed Time, Lesser	CLASSES:Blackguard,Cleric,Sorcerer,Wizard=3	SCHOOL:Necromancy											TYPE:Arcane.Divine	COMPS:V, M, PowerCheck		CASTTIME:3 days			RANGE:Personal			TARGETAREA:You				DURATION:See text			SAVEINFO:None		SPELLRES:No				SOURCEPAGE:p.	DESC:Animate yourself as one of the undead to complete a specific task.
Feign Undeath								CLASSES:Cleric=4|Sorcerer,Wizard=5			SCHOOL:Necromancy											TYPE:Arcane.Divine	COMPS:V, S, M, PowerCheck	CASTTIME:1 standard action	RANGE:Touch				TARGETAREA:Living creature touched	DURATION:2 minutes/level	SAVEINFO:Will Negates	SPELLRES:Yes			SOURCEPAGE:p.	DESC:You may deal your target with the physical aspects of a zombie.
Soul Anchor									CLASSES:Cleric,Sorcerer,Wizard=5			SCHOOL:Abjuration											TYPE:Arcane.Divine	COMPS:V, S				CASTTIME:1 standard action	RANGE:Touch		ITEM:Potion	TARGETAREA:Creature touched		DURATION: 1 minute/level	SAVEINFO:Will Negates	SPELLRES:Yes			SOURCEPAGE:p.	DESC:Bars extradimensional movement.
Tomb Ward									CLASSES:Cleric=9						SCHOOL:Abjuration											TYPE:Divine			COMPS:V, S, DF, PowerCheck	CASTTIME:1 day			RANGE:Touch				TARGETAREA:One tomb			DURATION:Permanent		SAVEINFO:None		SPELLRES:No				SOURCEPAGE:p.	DESC:Invoke a curse to protect a tomb from defilers.
Zone of Deception								CLASSES:Cleric=2						SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	TYPE:Divine			COMPS:V, S, DF			CASTTIME:1 standard action	RANGE:Close		ITEM:Potion	TARGETAREA:20-ft.-radius emanation	DURATION:1 minute/level		SAVEINFO:Will negates	SPELLRES:Yes			SOURCEPAGE:p.	DESC:Subjects within range cannot tell the truth.
#
Final Rest																	SCHOOL:Necromancy											TYPE:Divine			COMPS:V, S, DF			CASTTIME:1 standard action	RANGE:Touch				TARGETAREA:One newly dead body.	DURATION:Permanent		SAVEINFO:Will negates	SPELLRES:No				SOURCEPAGE:p.	DESC:It can resist to any attermpt to transformation into an undead creature (including Animate Dead and Create Undead spells and create spawn ability of undead creatures).

###Block:
# Spell Name				Classes of caster
Alarm.MOD					CLASSES:Monster Hunter=1
Chill Touch.MOD				CLASSES:Monster Hunter=1
Detect Magic.MOD				CLASSES:Monster Hunter=1
Detect Secret Doors.MOD			CLASSES:Monster Hunter=1
Detect Undead.MOD				CLASSES:Monster Hunter=1
Disrupt Undead.MOD			CLASSES:Monster Hunter=1
Hold Portal.MOD				CLASSES:Monster Hunter=1
Light.MOD					CLASSES:Monster Hunter=1
Protection from Chaos.MOD		CLASSES:Monster Hunter=1
Protection from Evil.MOD		CLASSES:Monster Hunter=1
Protection from Good.MOD		CLASSES:Monster Hunter=1
Protection from Law.MOD			CLASSES:Monster Hunter=1
Read Magic.MOD				CLASSES:Monster Hunter=1
Resistance.MOD				CLASSES:Monster Hunter=1
Arcane Lock.MOD				CLASSES:Monster Hunter=2
Continual Flame.MOD			CLASSES:Monster Hunter=2
Darkvision.MOD				CLASSES:Monster Hunter=2
Daze Monster.MOD				CLASSES:Monster Hunter=2
Expeditious Retreat.MOD			CLASSES:Monster Hunter=2
Knock.MOD					CLASSES:Monster Hunter=2
Magic Weapon.MOD				CLASSES:Monster Hunter=2
See Invisibility.MOD			CLASSES:Monster Hunter=2
Daylight.MOD				CLASSES:Monster Hunter=3
#Diminish Undead.MOD			CLASSES:Monster Hunter=3
Dispel Magic.MOD				CLASSES:Monster Hunter=3
Gentle Repose.MOD				CLASSES:Monster Hunter=3
Halt Undead.MOD				CLASSES:Monster Hunter=3
Magic Circle against Chaos.MOD	CLASSES:Monster Hunter=3
Magic Circle against Evil.MOD		CLASSES:Monster Hunter=3
Magic Circle against Good.MOD		CLASSES:Monster Hunter=3
Magic Circle against Law.MOD		CLASSES:Monster Hunter=3
Tongues.MOD					CLASSES:Monster Hunter=3
Break Enchantment.MOD			CLASSES:Monster Hunter=4
Detect Scrying.MOD			CLASSES:Monster Hunter=4
Heroism.MOD					CLASSES:Monster Hunter=4
Locate Creature.MOD			CLASSES:Monster Hunter=4
Remove Curse.MOD				CLASSES:Monster Hunter=4
Suppress Lycanthropy.MOD		CLASSES:Monster Hunter=4
Dispel Magic (Greater).MOD		CLASSES:Monster Hunter=5
Hold Monster.MOD				CLASSES:Monster Hunter=5
Repulsion.MOD				CLASSES:Monster Hunter=5

Vanish	DOMAIN:Mist=8	DESC:No description...
