
FzDClaws		KEY:Frenzied Disciple ~ Claws	SAB:Claws (Ex)	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|FzDClaws1|PREVAREQ:FDClawsLVL,1	ABILITY:Internal|AUTOMATIC|FzDClaws2|PREVAREQ:FDClawsLVL,2	ABILITY:Internal|AUTOMATIC|FzDClaws3|PREVAREQ:FDClawsLVL,3	BONUS:VAR|FDClawsLVL|1+(FrenziedDiscipleLVL>=7)+(FrenziedDiscipleLVL>=9)

#
FzDClaws1		VISIBLE:NO	CATEGORY:Internal	ABILITY:Internal|AUTOMATIC|FzDClaws1 (S)|PRESIZEEQ:S		ABILITY:Internal|AUTOMATIC|FzDClaws1 (M)|PRESIZEEQ:M		ABILITY:Internal|AUTOMATIC|FzDClaws1 (L)|PRESIZEEQ:L
FzDClaws1 (S)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws1	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3		PRESIZEEQ:S
FzDClaws1 (M)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws1	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d4		PRESIZEEQ:M
FzDClaws1 (L)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws1	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d6		PRESIZEEQ:L
FzDClaws2		VISIBLE:NO	CATEGORY:Internal	ABILITY:Internal|AUTOMATIC|FzDClaws2 (S)|PRESIZEEQ:S		ABILITY:Internal|AUTOMATIC|FzDClaws2 (M)|PRESIZEEQ:M		ABILITY:Internal|AUTOMATIC|FzDClaws2 (L)|PRESIZEEQ:L
FzDClaws2 (S)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws2	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,2d3		PRESIZEEQ:S
FzDClaws2 (M)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws2	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,2d4		PRESIZEEQ:M
FzDClaws2 (L)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws2	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,2d6		PRESIZEEQ:L
FzDClaws3		VISIBLE:NO	CATEGORY:Internal	ABILITY:Internal|AUTOMATIC|FzDClaws3 (S)|PRESIZEEQ:S		ABILITY:Internal|AUTOMATIC|FzDClaws3 (M)|PRESIZEEQ:M		ABILITY:Internal|AUTOMATIC|FzDClaws3 (L)|PRESIZEEQ:L
FzDClaws3 (S)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws3	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,2d3+2d4	PRESIZEEQ:S
FzDClaws3 (M)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws3	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,4d4		PRESIZEEQ:M
FzDClaws3 (L)	VISIBLE:NO	CATEGORY:Internal	TYPE:FzDClaws3	NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,2d6+2d4	PRESIZEEQ:L


###Block - Imagist
Imagist Class Feature ~ Inspired Smite Evil	CATEGORY:Special Ability	TYPE:Smite	DESC:Placeholder



























