### Specific EQUIPMENT:

Moonblood	COST:1500	TYPE:Consumable.Material	SPROP:Celestials use this silvery substance as warpaint, painting their faces and other exposed areas of their bodies with elaborately entwined holy runes before entering battle. Proper application of moonblood warpaint takes 1 hour and requires a DC 22 Craft (painting) check; a failed check means no benefits are gained and the moonblood is wasted. When the moonblood runes are properly applied, the warpaint grants a +2 sacred bonus to Armor Class. The warpaint lasts for 1 day, then is absorbed harmlessly into the skin. An evil creature that touches moonblood takes 1d6 points of damage. One application of moonblood costs 1,500 gp.	BONUS:COMBAT|AC|2|TYPE=Sacred|PREAPPLY:ANYPC



### Specific Armors and Shields
# Equipment Name
Asura Shield			TYPE:Shield
Devilhusk				TYPE:Armor
Vassal Armor			TYPE:Armor

### Specific Weapons:
Bow of the Solars			TYPE:Weapon.Ranged
Celestial Blade			TYPE:Weapon.Melee
Celestial Mace			TYPE:Weapon.Melee
Dart of the Phoenix		TYPE:Weapon.Ranged.Thrown
Demondoom				TYPE:Weapon.Melee
Hellpiercer				TYPE:Weapon.Melee
Nightblade of Arvandor		TYPE:Weapon.Melee

### RINGS:
Ring of Adamantine Touch	TYPE:Ring.Magic
Ring of Affliction		TYPE:Ring.Magic
Ring of Solar Wings		TYPE:Ring.Magic
Ring of Vengeance			TYPE:Ring.Magic

### STAFFS:
Staff of Rapture			TYPE:Staff.Magic
Sunstaff				TYPE:Staff.Magic

### WONDROUS ITEMS:
Antimagic Shackles		TYPE:Wondrous Item.Magic
Incense of Consecration		TYPE:Wondrous Item.Magic
Retributive Amulet		TYPE:Wondrous Item.Magic
Shackles of Silence		TYPE:Wondrous Item.Magic
Starmantle Cloak			TYPE:Wondrous Item.Magic
Thurible of Consecration	TYPE:Wondrous Item.Magic
Trumpet of Doom			TYPE:Wondrous Item.Magic
Trumpet of Healing		TYPE:Wondrous Item.Magic
Vambraces of Evil's Warding	TYPE:Wondrous Item.Magic

### Intelligent Items: 116+
Barsolidor, the Tyrant Bane	TYPE:Magic.IntelligentItem.Magic.Weapon.Melee
Caduceus				TYPE:Magic.IntelligentItem.Magic.Weapon.Melee
Ezrylon				TYPE:Magic.IntelligentItem.Magic.Weapon.Melee
Hwyrr, the Clarion Harp		TYPE:Magic.IntelligentItem.Magic.Weapon.Melee
Iasalas, the Watershod		TYPE:Magic.IntelligentItem.Magic.Weapon.Melee
Lunistra, the Heartstar		TYPE:Magic.IntelligentItem.Magic.Weapon.Melee
Seryl, the Laughing Bow		TYPE:Magic.IntelligentItem.Magic.Weapon.Melee
Torvion, the Fifth Shield	TYPE:Magic.IntelligentItem.Magic.Weapon.Melee
Zaethwar, the Sinflayer		TYPE:Magic.IntelligentItem.Magic.Weapon.Melee

### Major Artifacts:
Cup of Al'Akbar			TYPE:Artifact
Talisman of Al'Akbar		TYPE:Artifact
The Regalia of Good (Crown)	TYPE:Artifact
The Regalia of Good (Scepter)	TYPE:Artifact
The Regalia of Good (Orb)	TYPE:Artifact

###MISC:
Redeemed Demon Armor			TYPE:RedeemedItem.Magic
Redeemed Unholy Weapon			TYPE:RedeemedItem.Magic
Redeemed Nine Lives Stealer		TYPE:RedeemedItem.Magic
Redeemed Rod of the Viper		TYPE:RedeemedItem.Magic
Redeemed Darkskull			TYPE:RedeemedItem.Magic
Redeemed Robe of the Archmagi		TYPE:RedeemedItem.Magic
Redeemed Mace of Blood			TYPE:RedeemedItem.Magic
