# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

# Domain Name	Unique Key				Special ABility																																																																							Caster level					Source Page		Description																																																																								List of Domain Spells by Level
Alteration							SAB:Granted Power: You cast transmutation spells on living targets at +1 caster level.																																																																		SOURCEPAGE:p.102	DESC:Granted Power: You cast transmutation spells on living targets at +1 caster level.																																																											SPELLLEVEL:DOMAIN|Alteration=1|Enlarge Person|Alteration=2|Alter Self|Alteration=3|Gaseous Form|Alteration=4|Polymorph|Alteration=5|Baleful Polymorph|Alteration=6|Flesh to Stone|Alteration=7|Regenerate|Alteration=8|Polymorph Any Object|Alteration=9|Shapechange
Community		KEY:Community (Dragonlance)	SAB:Use calm emotions as a spell-like ability once per day. Gain +2 bonus on Diplomacy checks.																																																																	SOURCEPAGE:p.102	DESC:Use calm emotions as a spell-like ability once per day. Gain +2 bonus on Diplomacy checks.																																																										SPELLLEVEL:DOMAIN|Community (Dragonlance)=1|Bless|Community (Dragonlance)=2|Shield Other|Community (Dragonlance)=3|Prayer|Community (Dragonlance)=4|Status|Community (Dragonlance)=5|Telepathic Bond|Community (Dragonlance)=6|Heroes' Feast|Community (Dragonlance)=7|Refuge|Community (Dragonlance)=8|Heal (Mass)|Community (Dragonlance)=9|Miracle
Forge								SAB:Granted Power: You gain a +2 insight bonus on Craft and Appraise checks related to stone or metal items.																																																														SOURCEPAGE:p.102	DESC:Granted Power: You gain a +2 insight bonus on Craft and Appraise checks related to stone or metal items.																																																							SPELLLEVEL:DOMAIN|Forge=1|Magic Weapon|Forge=2|Heat Metal|Forge=3|Keen Edge|Forge=4|Minor Creation|Forge=5|Wall of Iron|Forge=6|Major Creation|Forge=7|Hardening|Forge=8|Repel Metal or Stone|Forge=9|Iron Body
Insight							SAB:Granted Power (Ex): You gain uncanny dodge, the extraordinary ability to react to danger before your senses would normally allow you to do so. You retain your Dexterity bonus to AC (if any) regardless of being caught flat-footed or struck by an invisible attacker. If you gain uncanny dodge from a second class (such as Barbarian or Rogue), you automatically gain improved uncanny dodge, as detailed in those class descriptions.								SOURCEPAGE:p.102	DESC:Granted Power (Ex): You gain uncanny dodge, the extraordinary ability to react to danger before your senses would normally allow you to do so. You retain your Dexterity bonus to AC (if any) regardless of being caught flat-footed or struck by an invisible attacker.   If you gain uncanny dodge from a second class (such as Barbarian or Rogue), you automatically gain improved uncanny dodge, as detailed in those class descriptions.	SPELLLEVEL:DOMAIN|Insight=1|True Strike|Insight=2|Augury|Insight=3|Locate Object|Insight=4|Divination|Insight=5|Commune|Insight=6|Owl's Wisdom (Mass)|Insight=7|Arcane Sight (Greater)|Insight=8|Moment of Prescience|Insight=9|Foresight
Liberation		KEY:Liberation (Dragonlance)	SAB:If you are affected by a charm, compulsion, or fear effect and fail your saving throw, you can attempt it again 1 round later at the same DC. You get only this one extra chance to succeed on your saving throw. This granted power is considered a supernatural ability.																																			SOURCEPAGE:p.103	DESC:If you are affected by a charm, compulsion, or fear effect and fail your saving throw, you can attempt it again 1 round later at the same DC. You get only this one extra chance to succeed on your saving throw. This granted power is considered a supernatural ability.																												SPELLLEVEL:DOMAIN|Liberation (Dragonlance)=1|Remove Fear|Liberation (Dragonlance)=2|Remove Paralysis|Liberation (Dragonlance)=3|Remove Curse|Liberation (Dragonlance)=4|Freedom of Movement|Liberation (Dragonlance)=5|Break Enchantment|Liberation (Dragonlance)=6|Dispel Magic (Greater)|Liberation (Dragonlance)=7|Refuge|Liberation (Dragonlance)=8|Mind Blank|Liberation (Dragonlance)=9|Unbinding
Meditation							SAB:Granted Power: Once per day, you can cast one spell as though it had the Empower Spell feat applied to it. However, you cast the spell at its normal level, not at two levels higher, and use the normal casting time of the spell. You need not know the Empower Spell feat to use this ability.																																SOURCEPAGE:p.103	DESC:Granted Power: Once per day, you can cast one spell as though it had the Empower Spell feat applied to it. However, you cast the spell at its normal level, not at two levels higher, and use the normal casting time of the spell. You need not know the Empower Spell feat to use this ability.																								SPELLLEVEL:DOMAIN|Meditation=1|Comprehend Languages|Meditation=2|Owl's Wisdom|Meditation=3|Locate Object|Meditation=4|Tongues|Meditation=5|Spell Resistance|Meditation=6|Find the Path|Meditation=7|Spell Turning|Meditation=8|Mind Blank|Meditation=9|Astral Projection
Mentalism		KEY:Mentalism (Dragonlance)	SAB:You gain a +2 bonus on Bluff, Diplomacy and Sense Motive checks. You also gain a +2 bonus on Will saves against Enchantment spells and effects.																																																								SOURCEPAGE:p.103	DESC:You gain a +2 bonus on Bluff, Diplomacy and Sense Motive checks. You also gain a +2 bonus on Will saves against Enchantment spells and effects.																																																	SPELLLEVEL:DOMAIN|Mentalism (Dragonlance)=1|Command|Mentalism (Dragonlance)=2|Detect Thoughts|Mentalism (Dragonlance)=3|Hold Person|Mentalism (Dragonlance)=4|Discern Lies|Mentalism (Dragonlance)=5|Command (Greater)|Mentalism (Dragonlance)=6|Hold Monster|Mentalism (Dragonlance)=7|Hold Person (Mass)|Mentalism (Dragonlance)=8|Charm Monster (Mass)|Mentalism (Dragonlance)=9|Dominate Monster
Necromancy							SAB:Granted Power (Su): Rebuke, command, or bolster undead as an evil Cleric. Use this ability a number of times per day equal to 3 + your Charisma modifier. This granted power is a supernatural ability.																																															SOURCEPAGE:p.103	DESC:Granted Power (Su): Rebuke, command, or bolster undead as an evil Cleric. Use this ability a number of times per day equal to 3 + your Charisma modifier. This granted power is a supernatural ability.																																							SPELLLEVEL:DOMAIN|Necromancy=1|Detect Undead|Necromancy=2|Death Knell|Necromancy=3|Halt Undead|Necromancy=4|Animate Dead|Necromancy=5|Slay Living|Necromancy=6|Create Undead|Necromancy=7|Destruction|Necromancy=8|Create Greater Undead|Necromancy=9|Energy Drain
Passion		KEY:Passion (Dragonlance)	SAB:Granted Power (Su): For a total time per day of 1 round per Cleric level, as a free action you can act as if under the effect of the rage spell. This granted power is a supernatural ability.																																																SOURCEPAGE:p.103	DESC:Granted Power (Su): For a total time per day of 1 round per Cleric level, as a free action you can act as if under the effect of the rage spell. This granted power is a supernatural ability.																																									SPELLLEVEL:DOMAIN|Passion (Dragonlance)=1|Confusion (Lesser)|Passion (Dragonlance)=2|Hideous Laughter|Passion (Dragonlance)=3|Rage|Passion (Dragonlance)=4|Crushing Despair|Passion (Dragonlance)=5|Fear|Passion (Dragonlance)=6|Heroism (Greater)|Passion (Dragonlance)=7|Song of Discord|Passion (Dragonlance)=8|Irresistible Dance|Passion (Dragonlance)=9|Weird
Pestilence		KEY:Pestilence (Dragonlance)	SAB:Immunity to the effects of all diseases, though clerics with this power can still carry infectious diseases.																																																														SOURCEPAGE:p.103	DESC:Immunity to the effects of all diseases, though clerics with this power can still carry infectious diseases.																																																							SPELLLEVEL:DOMAIN|Pestilence (Dragonlance)=1|Doom|Pestilence (Dragonlance)=2|Summon Monster II|Pestilence (Dragonlance)=3|Contagion|Pestilence (Dragonlance)=4|Poison|Pestilence (Dragonlance)=5|Plague of Rats|Pestilence (Dragonlance)=6|Eyebite|Pestilence (Dragonlance)=7|Scourge|Pestilence (Dragonlance)=8|Create Greater Undead|Pestilence (Dragonlance)=9|Otyugh Swarm
Restoration							SAB:Granted Power: You cast healing spells at +1 caster level.																																																															BONUS:CASTERLEVEL|SUBSCHOOL.Healing|1	SOURCEPAGE:p.104	DESC:Granted Power: You cast healing spells at +1 caster level.																																																															SPELLLEVEL:DOMAIN|Restoration=1|Remove Fear|Restoration=2|Restoration (Lesser)|Restoration=3|Remove Disease|Restoration=4|Restoration|Restoration=5|Raise Dead|Restoration=6|Heal|Restoration=7|Restoration (Greater)|Restoration=8|Resurrection|Restoration=9|True Resurrection
