# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

# Language	Type
Kenderspeak	TYPE:Spoken.Ergot
Ergot		TYPE:Spoken.Ergot
Solamnic	TYPE:Spoken.Ergot
Abanasinian	TYPE:Spoken.Ergot
High Ogre	TYPE:Spoken
Kothian	TYPE:Spoken.Kothian
Ogre		TYPE:Spoken.Ogre

# Living Languages - Pg.195
Abansinian	TYPE:Spoke.Ergot
Camptalk	TYPE:Spoke.Ergot
Dargoi	TYPE:Spoke.Elven
Dargonesti	TYPE:Spoke.Elven
Dimernesti	TYPE:Spoke.Elven
Gullytalk	TYPE:Spoke.None
Kalinese	TYPE:Spoke.Istarian
Kharolian	TYPE:Spoke.Ergot
Khur		TYPE:Spoke.Istarian
Nerakese	TYPE:Spoke.Ogre
Nordmaarian	TYPE:Spoke.Ergot
Saifhum	TYPE:Spoke.Ergot

# Dead Languages
Nestari	TYPE:Dead Language.Elven.Ancient Elven
Kolshet	TYPE:Dead Language.Ogre.Ancient Ogre
Ergothian	TYPE:Dead Language.Ergot.Ancient Human
