# CVS $Revision: $ $Author: $ -- Wed Mar  5 16:52:34 2014 -- reformated by prettylst.pl v1.51 (build 22988)

# Language	Type				Required Class
Abyssal	TYPE:Spoken.Infernal
Argon		TYPE:Spoken.Common
Aquan		TYPE:Spoken.Elven
Auran		TYPE:Spoken.Draconic
Celestial	TYPE:Spoken.Celestial
Common	TYPE:Spoken.Common
Daan		TYPE:Spoken.Daan
Daelkyr	TYPE:Spoken.Daelkyr
Draconic	TYPE:Spoken.Draconic
Druidic	TYPE:Spoken.Druidic	PRECLASS:1,Druid=1
Dwarven	TYPE:Spoken.Dwarven
Elven		TYPE:Spoken.Elven
Giant		TYPE:Spoken.Giant
Gnoll		TYPE:Spoken.Common
Goblin	TYPE:Spoken.Goblin
Halfling	TYPE:Spoken.Common
Ignan		TYPE:Spoken.Draconic
Infernal	TYPE:Spoken.Infernal
Irial		TYPE:Spoken.Draconic
Kythric	TYPE:Spoken.Daan
Mabran	TYPE:Spoken.Draconic
Orc		TYPE:Spoken.Goblin
Quori		TYPE:Spoken.Quori
Riedran	TYPE:Spoken.Old Common
Risian	TYPE:Spoken.Dwarven
Sylvan	TYPE:Spoken.Elven
Syranian	TYPE:Spoken.Celestial
Terran	TYPE:Spoken.Dwarven
Undercommon	TYPE:Spoken.Daelkyr
