# CVS $Revision: $ $Author: $ -- Sat Mar  1 22:57:43 2014 -- reformated by prettylst.pl v1.51 (build 22988)


# Ability Category							Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object						Plural description for UI				Display Location
ABILITYCATEGORY:Regional																CATEGORY:Regional
ABILITYCATEGORY:Region										EDITABLE:YES		EDITPOOL:YES	CATEGORY:Regional			TYPE:Region.FaerunRegion												DISPLAYLOCATION:Misc


ABILITYCATEGORY:Arcane Devotee Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Arcane DevoteeClassFeature			PLURAL:Arcane Devotee Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Divine Champion Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Divine ChampionClassFeature			PLURAL:Divine Champion Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Divine Disciple Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Divine DiscipleClassFeature			PLURAL:Divine Disciple Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Divine Seeker Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Divine SeekerClassFeature			PLURAL:Divine Seeker Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Evereskan Tomb Guardian Class Feature		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Evereskan Tomb GuardianClassFeature		PLURAL:Evereskan Tomb Guardian Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Eye of Horus-Re Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Eye of Horus-ReClassFeature			PLURAL:Eye of Horus-Re Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Hammer of Moradin Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Hammer of MoradinClassFeature			PLURAL:Hammer of Moradin Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Harper Agent Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Harper AgentClassFeature				PLURAL:Harper Agent Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Hathran Class Feature				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:HathranClassFeature				PLURAL:Hathran Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Incantrix Class Feature				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:IncantrixClassFeature				PLURAL:Incantrix Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Justiciar of Tyr Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Justiciar of TyrClassFeature			PLURAL:Justiciar of Tyr Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Monk of the Long Death Class Feature		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Monk of the Long DeathClassFeature		PLURAL:Monk of the Long Death Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Morninglord of Lathander Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Morninglord of LathanderClassFeature		PLURAL:Morninglord of Lathander Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Purple Dragon Knight Class Feature		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Purple Dragon KnightClassFeature		PLURAL:Purple Dragon Knight Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Runecaster Class Feature				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:RunecasterClassFeature				PLURAL:Runecaster Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Shaaryan Hunter Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Shaaryan HunterClassFeature			PLURAL:Shaaryan Hunter Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Shadow Adept Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Shadow AdeptClassFeature				PLURAL:Shadow Adept Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Shadow Thief of Amn Class Feature		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Shadow Thief of AmnClassFeature		PLURAL:Shadow Thief of Amn Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Spellguard of Silverymoon Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Spellguard of SilverymoonClassFeature	PLURAL:Spellguard of Silverymoon Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Zhentarim Spy Class Feature			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Zhentarim SpyClassFeature			PLURAL:Zhentarim Spy Class Features			DISPLAYLOCATION:Class Features

#ABILITYCATEGORY:xxx Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:xxxClassFeature	PLURAL:xxx Class Features	DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:xxx Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:xxxClassFeature	PLURAL:xxx Class Features	DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:xxx Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:xxxClassFeature	PLURAL:xxx Class Features	DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:xxx Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:xxxClassFeature	PLURAL:xxx Class Features	DISPLAYLOCATION:Class Features
