# CVS $Revision: $ $Author: $ -- Wed Feb 26 18:18:46 2014 -- reformated by prettylst.pl v1.51 (build 22988)
# Language		Type
Aglarondan		TYPE:Spoken.Written.Read.RegionalDialect	
Alzhedo		TYPE:Spoken.Written.Read.RegionalDialect	
Chessentan		TYPE:Spoken.Written.Read.RegionalDialect	
Chondathan		TYPE:Spoken.Written.Read.RegionalDialect	
Chultan		TYPE:Spoken.Written.Read.RegionalDialect	
Damaran		TYPE:Spoken.Written.Read.RegionalDialect
Dambrathan		TYPE:Spoken.Written.Read.RegionalDialect
Durpari		TYPE:Spoken.Written.Read.RegionalDialect
Halruaan		TYPE:Spoken.Written.Read.RegionalDialect
Illuskan		TYPE:Spoken.Written.Read.RegionalDialect
Lantanese		TYPE:Spoken.Written.Read.RegionalDialect
Loross		TYPE:Spoken.Written.Read.RegionalDialect
Midani		TYPE:Spoken.Written.Read.RegionalDialect
Mulhorandi		TYPE:Spoken.Written.Read.RegionalDialect
Netherese		TYPE:Spoken.Written.Read.RegionalDialect
Nexalan		TYPE:Spoken.Written.Read.RegionalDialect
Rashemi		TYPE:Spoken.Written.Read.RegionalDialect
Serusan		TYPE:Spoken.Written.Read.RegionalDialect
Shaaran		TYPE:Spoken.Written.Read.RegionalDialect
Shou Expatriate	TYPE:Spoken.Written.Read.RegionalDialect
Tashalan		TYPE:Spoken.Written.Read.RegionalDialect
Tethyrian		TYPE:Spoken.Written.Read.RegionalDialect
Thorass		TYPE:Spoken.Written.Read.RegionalDialect
Tuigan		TYPE:Spoken.Written.Read.RegionalDialect
Turmic		TYPE:Spoken.Written.Read.RegionalDialect
Uluik			TYPE:Spoken.Written.Read.RegionalDialect
Untheric		TYPE:Spoken.Written.Read.RegionalDialect
Undercommon	TYPE:Spoken.RegionalDialect

Kir-lanan		TYPE:Spoken.Written.Read.RegionalDialect
