# CVS $Revision: $ $Author: $ -- Wed Mar  5 16:52:34 2014 -- reformated by prettylst.pl v1.51 (build 22988)

# Weapon Name		Type
Lance (Light)

Aspergillum (Heavy)	TYPE:Simple.Bludgeoning
Battle Gauntlet		TYPE:Simple.Bludgeoning
Blade Boot			TYPE:Exotic.Slashing.Light
Blowgun			TYPE:Simple.Ranged.Piercing.RangedPiercing.Blowgun
Chakram			TYPE:Exotic.Ranged.Slashing.Thrown.Light.RangedSlashing
Claw Bracer			TYPE:Exotic.Piercing.Light
Cutlass			TYPE:Martial.Sword.Slashing.Piercing.Light
Katana			TYPE:Martial.Exotic.Melee.Slashing.MeleeSlashing.Sword.TwoHanded.TwoHandedMartial.OneHandedExotic
Khopesh			TYPE:Exotic.Slashing.Sword
Lasso				TYPE:Exotic.Ranged.Bludgeoning.Thrown.RangedBludgeoning
Maul				TYPE:Martial.Bludgeoning.Mace
Pincer Staff		TYPE:Exotic.Melee.Bludgeoning.MeleeBludgeoning.Polearm.TwoHanded.TwoHandedExotic
Saber				TYPE:Martial.Slashing.Sword
Scourge			TYPE:Exotic.Slashing.Whip
Wakizashi			TYPE:Martial.Melee.Piercing.MeleePiercing.Sword.Light.OneHandedMartial
# Halfspear is actually a 3.0 version of the 3.5 Shortspear
#Halfspear		TYPE:Martial.Piercing
