# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# Feat Name			Type			Source Page
Allied Defense		TYPE:General	SOURCEPAGE:p.19
Ankeg Tribe Ambush	TYPE:Regional	SOURCEPAGE:p.19
Cheetah Tribe Sprint	TYPE:Regional	SOURCEPAGE:p.19
Cover Your Tracks		TYPE:General	SOURCEPAGE:p.20
Eagle Tribe Vision	TYPE:Regional	SOURCEPAGE:p.20
Halruaan Adept		TYPE:Regional	SOURCEPAGE:p.20
Heat Tolerance		TYPE:General	SOURCEPAGE:p.20
Hold the Line		TYPE:General	SOURCEPAGE:p.20
Hyena Tribe Hunter	TYPE:Regional	SOURCEPAGE:p.20
Initiate of Loviatar	TYPE:Initiate	SOURCEPAGE:p.20
Lion Tribe Warrior	TYPE:Regional	SOURCEPAGE:p.20
Natural Scavenger		TYPE:General	SOURCEPAGE:p.21
Nomadic Trekker		TYPE:Regional	SOURCEPAGE:p.21
Resist Disease		TYPE:General	SOURCEPAGE:p.21
Rhinoceros Tribe Charge	TYPE:Regional	SOURCEPAGE:p.21
Selective Spell		TYPE:Metamagic	SOURCEPAGE:p.21
Tall Mouther Hunter	TYPE:Regional	SOURCEPAGE:p.21
Woodwise			TYPE:Regional	SOURCEPAGE:p.21
