# CVS $Revision: $ $Author: $ -- Wed Feb 26 18:18:46 2014 -- reformated by prettylst.pl v1.51 (build 22988)
# Language		Type
Aglarondan		TYPE:Spoken
Alzhedo		TYPE:Spoken
Chessentan		TYPE:Spoken
Chondathan		TYPE:Spoken
Chultan		TYPE:Spoken
Damaran		TYPE:Spoken
Dambrathan		TYPE:Spoken
Durpari		TYPE:Spoken
Halruaan		TYPE:Spoken
Illuskan		TYPE:Spoken
Lantanese		TYPE:Spoken
Loross		TYPE:Spoken
Midani		TYPE:Spoken
Mulhorandi		TYPE:Spoken
Netherese		TYPE:Spoken
Nexalan		TYPE:Spoken
Rashemi		TYPE:Spoken
Serusan		TYPE:Spoken
Shaaran		TYPE:Spoken
Shou			TYPE:Spoken
Tashalan		TYPE:Spoken
Tethyrian		TYPE:Spoken
Thorass		TYPE:Spoken
Tuigan		TYPE:Spoken
Turmic		TYPE:Spoken
Uluik			TYPE:Spoken
Untheric		TYPE:Spoken
#
Drow Sign Language	TYPE:Read
