# CVS $Revision: $ $Author: $ -- Thu Aug  7 12:47:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)


# Ability Category							Visible		Editable?		Change Pool?	Category of Object	Type of Object			Display Location
ABILITYCATEGORY:Human Language Default Language Choice	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Internal		TYPE:HumanDefaultLanguage	DISPLAYLOCATION:Race Traits

###Block:

# Ability Category					Visible		Editable?		Change Pool?	Category of Object		Specific choices list																																										Display Location
ABILITYCATEGORY:Samurai Bonus Feat			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability																																														DISPLAYLOCATION:Feats




ABILITYCATEGORY:Samurai Crab Bonus Feat		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT			ABILITYLIST:Armor Proficiency (Heavy)|Dodge|Mobility|Spring Attack|Endurance|Power Attack|Cleave|Improved Bull Rush|Improved Sunder|Great Cleave|Run|Weapon Focus (Battleaxe)|Weapon Focus (Greatclub)|Weapon Focus (Katana)|Weapon Focus (Warhammer)					DISPLAYLOCATION:Feats
ABILITYCATEGORY:Samurai Crane Bonus Feat		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT			ABILITYLIST:Dodge|Mobility|Spring Attack|Expertise|Improved Disarm|Improved Trip|Whirlwind Attack|Improved Initiative|Quick Draw|Skill Focus (Iaijutsu Focus)|Toughness|Weapon Focus (Katana)														DISPLAYLOCATION:Feats
ABILITYCATEGORY:Samurai Dragon Bonus Feat		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT			ABILITYLIST:Exotic Weapon Proficiency (Katana)|Improved Grapple|Choke Hold|Improved Unarmed Strike|Defensive Throw|Deflect Arrows|Grappling Block|Great Throw|Stunning Fist)|Power Attack|Cleave|Weapon Focus (Katana)										DISPLAYLOCATION:Feats
ABILITYCATEGORY:Samurai Lion Bonus Feat		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT			ABILITYLIST:Endurance|Expertise|Improved Disarm|Improved Trip|Whirlwind Attack|Improved Initiative|Iron Will|Ki Shout (Great Ki Shout)|Remain Conscious|Toughness|Weapon Focus (Katana)															DISPLAYLOCATION:Feats
ABILITYCATEGORY:Samurai Phoenix Bonus Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT			ABILITYLIST:Alertness|Blind-Fight|Combat Reflexes|Expertise|Improved Disarm|Improved Trip|Whirlwind Attack|Great Fortitude|Improved Initiative|Iron Will|Quick Draw|Weapon Focus (Katana)															DISPLAYLOCATION:Feats
ABILITYCATEGORY:Samurai Scorpion Bonus Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT			ABILITYLIST:Blind-Fight|Dodge|Mobility|Spring Attack)|Expertise|Improved Disarm|Improved Trip|Whirlwind Attack|Improved Initiative|Prone Attack|Quick Draw|Weapon Focus (Katana)																DISPLAYLOCATION:Feats
ABILITYCATEGORY:Samurai Unicorn Bonus Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT			ABILITYLIST:Alertness|Mounted Combat|Mounted Archery|Trample|Ride-By Attack|Spirited Charge|Point Blank Shot|Far Shot|Precise Shot|Rapid Shot|Shot on the Run|Weapon Focus (Spear)|Weapon Focus (Lance)|Weapon Focus (LongBow)|Weapon Focus (ShortBow)|Weapon Focus (Katana)	DISPLAYLOCATION:Feats
