# CVS $Revision: $ $Author: $ -- Fri May  3 14:36:53 2013 -- reformated by prettylst.pl v1.50 (build 19967)

# NPC Classes
# Ability Category					Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object				Plural description for UI		Display Location
ABILITYCATEGORY:Adept Class Feature			VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:AdeptClassFeature				PLURAL:Adept Class Features			DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Aristocrat Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:AristocratClassFeature			PLURAL:Aristocrat Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Commoner Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:CommonerClassFeature		PLURAL:Common Class Features			DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Expert Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:ExpertClassFeature			PLURAL:Expert Class Features			DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Warrior Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:WarriorClassFeature		PLURAL:Warrior Class Features			DISPLAYLOCATION:Class Features	

# Prestige Classes
ABILITYCATEGORY:Arcane Archer Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:ArcaneArcherClassFeature		PLURAL:Arcane Archer Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Arcane Trickster Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:ArcaneTricksterClassFeature	PLURAL:Arcane Trickster Class Features	DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Archmage Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:ArchmageClassFeature		PLURAL:Archmage Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Assassin Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:AssassinClassFeature		PLURAL:Assassin Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Blackguard Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:BlackguardClassFeature		PLURAL:Blackguard Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Dragon Disciple Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:DragonDiscipleClassFeature	PLURAL:Dragon Disciple Class Features	DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Duelist Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:DuelistClassFeature		PLURAL:Duelist Class Features			DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Dwarven Defender Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:DwarvenDefenderClassFeature	PLURAL:Dwarven Defender Class Features	DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Eldritch Knight Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:EldritchKnightClassFeature	PLURAL:Eldritch Knight Class Features	DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Hierophant Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:HierophantClassFeature		PLURAL:Hierophant Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Horizon Walker Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:HorizonWalkerClassFeature	PLURAL:Hierophant Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Loremaster Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:LoremasterClassFeature		PLURAL:Loremaster Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Mystic Theurge Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:MysticTheurgeClassFeature	PLURAL:Mystic Theurge Class Features	DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Red Wizard Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:RedWizardClassFeature		PLURAL:Red Wizard Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Shadowdancer Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:ShadowdancerClassFeature		PLURAL:Shadowdancer Class Features		DISPLAYLOCATION:Class Features	
ABILITYCATEGORY:Thaumaturgist Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		TYPE:ThaumaturgistClassFeature	PLURAL:Thaumaturgist Class Features		DISPLAYLOCATION:Class Features	


ABILITYCATEGORY:Spell-Like Ability Selection	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability		ABILITYLIST:Spell-Like Ability Selection ~ High Arcana			DISPLAYLOCATION:Class Features	
