# CVS $Revision: $ $Author: $ -- Fri May  3 14:36:53 2013 -- reformated by prettylst.pl v1.50 (build 19967)

# NPC Classes
# Ability Category				Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object				Plural description for UI		Display Location
ABILITYCATEGORY:Adept Ability			VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:AdeptClassAbility			PLURAL:Adept Class Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Aristocrat Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:AristocratClassAbility		PLURAL:Aristocrat Class Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Commoner Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:CommonerClassAbility		PLURAL:Common Class Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Expert Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ExpertClassAbility			PLURAL:Expert Class Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Warrior Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WarriorClassAbility		PLURAL:Warrior Class Abilities	DISPLAYLOCATION:Class Abilities

# Prestige Classes
ABILITYCATEGORY:Arcane Archer Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArcaneArcherClassAbility		PLURAL:Arcane Archer Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Arcane Trickster Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArcaneTricksterClassAbility	PLURAL:Arcane Trickster Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Archmage Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArchmageClassAbility		PLURAL:Archmage Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Assassin Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:AssassinClassAbility		PLURAL:Assassin Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Blackguard Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BlackguardClassAbility		PLURAL:Blackguard Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Dragon Disciple Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DragonDiscipleClassAbility	PLURAL:Dragon Disciple Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Duelist Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DuelistClassAbility		PLURAL:Duelist Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Dwarven Defender Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DwarvenDefenderClassAbility	PLURAL:Dwarven Defender Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Eldritch Knight Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:EldritchKnightClassAbility	PLURAL:Eldritch Knight Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Hierophant Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:HierophantClassAbility		PLURAL:Hierophant Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Horizon Walker Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:HorizonWalkerClassAbility	PLURAL:Hierophant Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Loremaster Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:LoremasterClassAbility		PLURAL:Loremaster Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Mystic Theurge Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MysticTheurgeClassAbility	PLURAL:Mystic Theurge Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Red Wizard Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:RedWizardClassAbility		PLURAL:Red Wizard Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Shadowdancer Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ShadowdancerClassAbility		PLURAL:Shadowdancer Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Thaumaturgist Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ThaumaturgistClassAbility	PLURAL:Thaumaturgist Abilities	DISPLAYLOCATION:Class Abilities
