# CVS $Revision: $ $Author: $ -- Wed Feb 26 18:18:46 2014 -- reformated by prettylst.pl v1.51 (build 22988)

# Weapon Name		Type
Blowgun			TYPE:Simple.Ranged
Kusari-Gama			TYPE:Exotic.Melee.Light

#Firearms		TYPE:Exotic	<--- Handled by EWP (Firearms) Standalone feat
#
Pistol			TYPE:Firearms
Musket			TYPE:Firearms

# Bombs don't require Proficiency
NoProfReq			TYPE:Auto

#Modern Era
Pistol (Automatic)	TYPE:Firearms
Pistol (Revolver		TYPE:Firearms
Rifle (Hunting)		TYPE:Firearms
Rifle (Automatic)		TYPE:Firearms
Shotgun			TYPE:Firearms
Grenade Launcher		TYPE:Firearms


#Futuristic		TYPE:Exotic	<--- Handled by EWP (Futuristic) Standalone feat
#Futuristic Era
Laser Pistol		TYPE:Futuristic
Antimatter Rifle		TYPE:Futuristic
Laser Rifle			TYPE:Futuristic
Flamer			TYPE:Futuristic
