# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

# Spell Name	Type		Classes of caster		School			Components	Casting Time			Range		Item		Target Area or Effect		Duration					Save Info		Spell Resistance	Source Page					Description
Corrupt Weapon	TYPE:Divine	CLASSES:Blackguard=1	SCHOOL:Transmutation	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	ITEM:Potion	TARGETAREA:Weapon touched	DURATION:(CASTERLEVEL) minutes	SAVEINFO:None	SPELLRES:No		SOURCEPAGE:PrestigeClasses	DESC:Weapon strikes true against good foes.

###Block: Modified Basic spells
# Assassin
# Spell Name				Classes of caster
Detect Poison.MOD				CLASSES:Assassin=1
Disguise Self.MOD				CLASSES:Assassin=1
Feather Fall.MOD				CLASSES:Assassin=1
Ghost Sound.MOD				CLASSES:Assassin=1
Jump.MOD					CLASSES:Assassin=1
Obscuring Mist.MOD			CLASSES:Assassin=1
Sleep.MOD					CLASSES:Assassin=1
True Strike.MOD				CLASSES:Assassin=1

Alter Self.MOD				CLASSES:Assassin=2
Cat's Grace.MOD				CLASSES:Assassin=2
Darkness.MOD				CLASSES:Assassin=2
Fox's Cunning.MOD				CLASSES:Assassin=2
Illusory Script.MOD			CLASSES:Assassin=2
Invisibility.MOD				CLASSES:Assassin=2
Pass without Trace.MOD			CLASSES:Assassin=2
Spider Climb.MOD				CLASSES:Assassin=2
Undetectable Alignment.MOD		CLASSES:Assassin=2

Deep Slumber.MOD				CLASSES:Assassin=3
Deeper Darkness.MOD			CLASSES:Assassin=3
False Life.MOD				CLASSES:Assassin=3
Magic Circle against Good.MOD		CLASSES:Assassin=3
Misdirection.MOD				CLASSES:Assassin=3
Nondetection.MOD				CLASSES:Assassin=3

Clairaudience/Clairvoyance.MOD	CLASSES:Assassin=4
Dimension Door.MOD			CLASSES:Assassin=4
Freedom of Movement.MOD			CLASSES:Assassin=4
Glibness.MOD				CLASSES:Assassin=4
Invisibility (Greater).MOD		CLASSES:Assassin=4
Locate Creature.MOD			CLASSES:Assassin=4
Modify Memory.MOD				CLASSES:Assassin=4
Poison.MOD					CLASSES:Assassin=4

# Blackguard
Cause Fear.MOD				CLASSES:Blackguard=1
Cure Light Wounds.MOD			CLASSES:Blackguard=1
Doom.MOD					CLASSES:Blackguard=1
Inflict Light Wounds.MOD		CLASSES:Blackguard=1
Magic Weapon.MOD				CLASSES:Blackguard=1
Summon Monster I.MOD			CLASSES:Blackguard=1

Bull's Strength.MOD			CLASSES:Blackguard=2
Cure Moderate Wounds.MOD		CLASSES:Blackguard=2
Darkness.MOD				CLASSES:Blackguard=2
Death Knell.MOD				CLASSES:Blackguard=2
Eagle's Splendor.MOD			CLASSES:Blackguard=2
Inflict Moderate Wounds.MOD		CLASSES:Blackguard=2
Shatter.MOD					CLASSES:Blackguard=2
Summon Monster II.MOD			CLASSES:Blackguard=2

Contagion.MOD				CLASSES:Blackguard=3
Cure Serious Wounds.MOD			CLASSES:Blackguard=3
Deeper Darkness.MOD			CLASSES:Blackguard=3
Inflict Serious Wounds.MOD		CLASSES:Blackguard=3
Protection from Energy.MOD		CLASSES:Blackguard=3
Summon Monster III.MOD			CLASSES:Blackguard=3

Cure Critical Wounds.MOD		CLASSES:Blackguard=4
Freedom of Movement.MOD			CLASSES:Blackguard=4
Inflict Critical Wounds.MOD		CLASSES:Blackguard=4
Poison.MOD					CLASSES:Blackguard=4
Summon Monster IV.MOD			CLASSES:Blackguard=4
