# CVS $Revision: $ $Author: $ -- Sun Dec  8 22:17:49 2013 -- reformated by prettylst.pl v1.50 (build 22352)


# Language			Type						Required Ability
Aboleth			TYPE:Spoken
Aquan				TYPE:Spoken.Written.Read.Elven
Auran				TYPE:Spoken.Written.Read.Draconic
Blink Dog			TYPE:Spoken
Drow Sign Language	TYPE:Spoken
Ettin Pidgin		TYPE:Spoken
Formian			TYPE:Spoken
Grimlock			TYPE:Spoken
Ignan				TYPE:Spoken.Written.Read.Draconic
Sahuagin			TYPE:Spoken
Sphinx			TYPE:Spoken
Treant			TYPE:Spoken
Telepathy			TYPE:Telepathy				PREABILITY:1,CATEGORY=Special Ability,TYPE.Telepathy
Worg				TYPE:Spoken

Kuo-toan			TYPE:Spoken
Githyanki			TYPE:Spoken
Githzerai			TYPE:Spoken
Slaad				TYPE:Spoken
Yuan-Ti			TYPE:Spoken
