# Fri Jun 16 18:38:57 2023 -- reformatted by PCGen TidyLst v1.04.00

# Deity Name	Domains							Description of Deity/Title	Deity Weapon	Assigned Groups	FACT:Symbol
None			DOMAINS:ANY|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE	DESC:For No Deity Choices	DEITYWEAP:ANY	GROUP:UNSELECTED	FACT:Symbol|None

###Block: PHB Deities
# Deity Name		SORTKEY		Unique Key			Domains										Deity Weapon				Align		Source, Long Desc.		Source, Short Desc.	Source Page		FACTSET:Pantheon
Boccob			SORTKEY:Gods_a	KEY:Boccob			DOMAINS:Knowledge,Magic,Trickery|PREALIGN:LN,NG,TN,NE,CN		DEITYWEAP:Quarterstaff			ALIGN:TN	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.106	FACTSET:Pantheon|Base|PH
Corellon Larethian	SORTKEY:Gods_a	KEY:Corellon Larethian	DOMAINS:Chaos,Good,Protection,War|PREALIGN:NG,CG,CN			DEITYWEAP:Longsword			ALIGN:CG	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.106	FACTSET:Pantheon|Base|PH
Ehlonna			SORTKEY:Gods_a	KEY:Ehlonna			DOMAINS:Animal,Good,Plant,Sun|PREALIGN:LG,NG,CG				DEITYWEAP:Longbow				ALIGN:NG	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH
Erythnul			SORTKEY:Gods_a	KEY:Erythnul		DOMAINS:Chaos,Evil,Trickery,War|PREALIGN:NE,CN,CE			DEITYWEAP:Morningstar			ALIGN:CE	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH
Fharlanghn			SORTKEY:Gods_a	KEY:Fharlanghn		DOMAINS:Luck,Protection,Travel|PREALIGN:LN,NG,TN,NE,CN		DEITYWEAP:Quarterstaff			ALIGN:TN	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH
Garl Glittergold		SORTKEY:Gods_a	KEY:Garl Glittergold	DOMAINS:Good,Protection,Trickery|PREALIGN:LG,NG,CG			DEITYWEAP:Battleaxe			ALIGN:NG	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH
Gruumsh			SORTKEY:Gods_a	KEY:Gruumsh			DOMAINS:Chaos,Evil,Strength,War|PREALIGN:NE,CN,CE			DEITYWEAP:Spear				ALIGN:CE	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH
Heironeous			SORTKEY:Gods_a	KEY:Heironeous		DOMAINS:Good,Law,War|PREALIGN:LG,LN,NG					DEITYWEAP:Longsword			ALIGN:LG	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH
Hextor			SORTKEY:Gods_a	KEY:Hextor			DOMAINS:Destruction,Evil,Law,War|PREALIGN:LN,LE,NE			DEITYWEAP:Flail				ALIGN:LE	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH
Kord				SORTKEY:Gods_a	KEY:Kord			DOMAINS:Chaos,Good,Luck,Strength|PREALIGN:NG,CG,CN			DEITYWEAP:Greatsword			ALIGN:CG	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH
Moradin			SORTKEY:Gods_a	KEY:Moradin			DOMAINS:Earth,Good,Law,Protection|PREALIGN:LG,LN,NG			DEITYWEAP:Warhammer			ALIGN:LG	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.107	FACTSET:Pantheon|Base|PH|FavoredWeaponWarhammer
Nerull			SORTKEY:Gods_a	KEY:Nerull			DOMAINS:Death,Evil,Trickery|PREALIGN:LN,NE,CN				DEITYWEAP:Scythe				ALIGN:NE	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.108	FACTSET:Pantheon|Base|PH
Obad-Hai			SORTKEY:Gods_a	KEY:Obad-Hai		DOMAINS:Air,Animal,Earth,Fire,Plant,Water|PREALIGN:LN,NG,TN,NE,CN	DEITYWEAP:Quarterstaff			ALIGN:TN	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.108	FACTSET:Pantheon|Base|PH
Olidammara			SORTKEY:Gods_a	KEY:Olidammara		DOMAINS:Chaos,Luck,Trickery|PREALIGN:CG,CN,CE				DEITYWEAP:Rapier				ALIGN:CN	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.108	FACTSET:Pantheon|Base|PH
Pelor				SORTKEY:Gods_a	KEY:Pelor			DOMAINS:Good,Healing,Strength,Sun|PREALIGN:LG,NG,CG			DEITYWEAP:Mace (Light)|Mace (Heavy)	ALIGN:NG	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.108	FACTSET:Pantheon|Base|PH
