# CVS $Revision: $ $Author: $ -- Sat Jan  4 10:42:33 2014 -- reformated by prettylst.pl v1.50 (build 22746)




# Language	Type							Var. Min. Value
Common	TYPE:Spoken.Written.Read.Common

# Races in PHB
Dwarven	TYPE:Spoken.Written.Read.Dwarven
Elven		TYPE:Spoken.Written.Read.Elven
Gnome		TYPE:Spoken.Written.Read.Dwarven
Halfling	TYPE:Spoken.Written.Read.Common

# Referenced by Races
Giant		TYPE:Spoken.Written.Read.Dwarven
Gnoll		TYPE:Spoken.Written.Read.Common
Goblin	TYPE:Spoken.Written.Read.Dwarven
Orc		TYPE:Spoken.Written.Read.Dwarven
Terran	TYPE:Spoken.Written.Read.Dwarven
Undercommon	TYPE:Spoken.Written.Read.Elven

# Referenced by Classes
Abyssal	TYPE:Spoken.Written.Read.Cleric.Infernal
Celestial	TYPE:Spoken.Written.Read.Cleric.Celestial
Draconic	TYPE:Spoken.Written.Read.Wizard.Draconic
Infernal	TYPE:Spoken.Written.Read.Cleric.Infernal
Sylvan	TYPE:Spoken.Written.Read.Druid.Elven

# Only Available to Druids
Druidic	TYPE:Druid.Secret.Druidic			PREVARGTEQ:DruidicLanguage,1


###Block - Monster Manual
# Language			Type						Required Ability
Aboleth			TYPE:Spoken
Aquan				TYPE:Spoken.Written.Read.Elven
Auran				TYPE:Spoken.Written.Read.Draconic
Blink Dog			TYPE:Spoken
Drow Sign Language	TYPE:Spoken
Ettin Pidgin		TYPE:Spoken
Formian			TYPE:Spoken
Grimlock			TYPE:Spoken
Ignan				TYPE:Spoken.Written.Read.Draconic
Sahuagin			TYPE:Spoken
Sphinx			TYPE:Spoken
Treant			TYPE:Spoken
Telepathy			TYPE:Telepathy				PREABILITY:1,CATEGORY=Special Ability,TYPE.Telepathy
Worg				TYPE:Spoken

Kuo-toan			TYPE:Spoken
Githyanki			TYPE:Spoken
Githzerai			TYPE:Spoken
Slaad				TYPE:Spoken
Yuan-Ti			TYPE:Spoken


