# CVS $Revision: $ $Author: $ -- Fri May  3 14:36:53 2013 -- reformated by prettylst.pl v1.50 (build 19967)

# Misc for PCGen
Grapple				TYPE:Auto.Simple
Spells (Ray)			TYPE:Auto.Simple
Spells (Touch)			TYPE:Auto.Simple

# Name of Proficiency		Weapon groups
# Weapon Name			Type
Gauntlet				TYPE:Simple.Unarmed
Strike (Unarmed)			TYPE:Simple.Unarmed
# Inconsistency in how Unarmed Strike vs. Strike, Unarmed
Unarmed Strike			TYPE:Simple.Unarmed
#- Light
Dagger				TYPE:Simple
Dagger (Punching)			TYPE:Simple
Gauntlet (Spiked)			TYPE:Simple.Unarmed
Mace (Light)			TYPE:Simple
Sickle				TYPE:Simple
#- One-Handed
Club					TYPE:Simple
Mace (Heavy)			TYPE:Simple
Morningstar				TYPE:Simple
Shortspear				TYPE:Simple
#- Two-Handed
Longspear				TYPE:Simple
Quarterstaff			TYPE:Simple
Spear					TYPE:Simple
#- Ranged
Crossbow (Heavy)			TYPE:Simple
Crossbow (Light)			TYPE:Simple
Dart					TYPE:Simple
Javelin				TYPE:Simple
Sling					TYPE:Simple


# MARTIAL
#- Light
Axe (Throwing)			TYPE:Martial
Hammer (Light)			TYPE:Martial
Handaxe				TYPE:Martial
Kukri					TYPE:Martial
Pick (Light)			TYPE:Martial
Sap					TYPE:Martial
Spiked Armor			TYPE:Martial
Sword (Short)			TYPE:Martial
#- One-Handed
Battleaxe				TYPE:Martial
Flail					TYPE:Martial
Longsword				TYPE:Martial
Pick (Heavy)			TYPE:Martial
Rapier				TYPE:Martial
Scimitar				TYPE:Martial
Shieldbash				TYPE:Martial
Trident				TYPE:Martial
Warhammer				TYPE:Martial
#- Two-Handed
Falchion				TYPE:Martial
Glaive				TYPE:Martial
Greataxe				TYPE:Martial
Greatclub				TYPE:Martial
Flail (Heavy)			TYPE:Martial
Greatsword				TYPE:Martial
Guisarme				TYPE:Martial
Halberd				TYPE:Martial
Lance					TYPE:Martial
Ranseur				TYPE:Martial
Scythe				TYPE:Martial
#- Ranged Weapons
Longbow				TYPE:Martial.Bow
Shortbow				TYPE:Martial.Bow

# Exotic
#- Light
Kama					TYPE:Exotic
Nunchaku				TYPE:Exotic
Sai					TYPE:Exotic
Siangham				TYPE:Exotic
#- One-Handed
Sword (Bastard)			TYPE:Martial.Exotic
Waraxe (Dwarven)			TYPE:Exotic
Whip					TYPE:Exotic
#- Two-Handed
Axe (Orc Double)			TYPE:Exotic
Chain (Spiked)			TYPE:Exotic
Flail (Dire)			TYPE:Exotic
Hammer (Gnome Hooked)		TYPE:Exotic
Sword (Two-Bladed)		TYPE:Exotic
Urgrosh (Dwarven)			TYPE:Exotic
#- Ranged
Bolas					TYPE:Exotic
Crossbow (Hand)			TYPE:Exotic
Crossbow (Repeating Heavy)	TYPE:Exotic
Crossbow (Repeating Light)	TYPE:Exotic
Net					TYPE:Exotic
Shuriken				TYPE:Exotic




###Block: Weapon Groups:
Dagger.MOD				TYPE:Dagger
Dagger (Punching).MOD		TYPE:Dagger
