# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# Misc for PCGen
# Weapon Name			Type
Grapple				TYPE:Auto.Simple.SimpleMelee
Spells (Ray)			TYPE:Auto.Simple
Spells (Touch)			TYPE:Auto.Simple.SimpleMelee
Ranged Spell			TYPE:Auto.Simple.Ranged.SimpleRanged

# Name of Proficiency		Weapon groups
# Weapon Name			Type
Gauntlet				TYPE:Simple.Unarmed.Melee.SimpleMelee
Strike (Unarmed)			TYPE:Simple.Unarmed.Melee.SimpleMelee
# Inconsistency in how Unarmed Strike vs. Strike, Unarmed
Unarmed Strike			TYPE:Simple.Unarmed.Melee.SimpleMelee
#- Light
Dagger				TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight.MeleeRanged
Dagger (Punching)			TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight
Gauntlet (Spiked)			TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight.Unarmed
Mace (Light)			TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight
Sickle				TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight
#- One-Handed
Club					TYPE:Simple.Melee.SimpleMelee.OneHanded.OneHandedMelee.OneHandedSimpleMelee
Mace (Heavy)			TYPE:Simple.Melee.SimpleMelee.OneHanded.OneHandedMelee.OneHandedSimpleMelee
Morningstar				TYPE:Simple.Melee.SimpleMelee.OneHanded.OneHandedMelee.OneHandedSimpleMelee
Shortspear				TYPE:Simple.Melee.SimpleMelee.OneHanded.OneHandedMelee.OneHandedSimpleMelee.Spear
#- Two-Handed
Longspear				TYPE:Simple.Melee.SimpleMelee.TwoHanded.TwoHandedMelee.TwoHandedSimpleMelee.Spear
Quarterstaff			TYPE:Simple.Melee.SimpleMelee.TwoHanded.TwoHandedMelee.TwoHandedSimpleMelee
Spear					TYPE:Simple.Melee.SimpleMelee.TwoHanded.TwoHandedMelee.TwoHandedSimpleMelee.Spear
#- Ranged
Crossbow (Heavy)			TYPE:Simple.Ranged.SimpleRanged.Crossbow
Crossbow (Light)			TYPE:Simple.Ranged.SimpleRanged.Crossbow
Dart					TYPE:Simple.Ranged.Thrown.SimpleRanged.SimpleThrown
Javelin				TYPE:Simple.Ranged.Thrown.SimpleRanged.SimpleThrown
Sling					TYPE:Simple.Ranged.SimpleRanged


# MARTIAL
#- Light
Axe (Throwing)			TYPE:Martial.Melee.Light.MartialMelee.MeleeLight.MartialLight.Thrown.MartialThrown
Hammer (Light)			TYPE:Martial.Melee.Light.MartialMelee.MeleeLight.MartialLight.Hammer
