# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)


# From Player's Guide - FR
# Weapon Name		Type
Lance (Light)

Aspergillum (Heavy)	TYPE:Simple.Bludgeoning
Battle Gauntlet		TYPE:Simple.Bludgeoning
Blade Boot			TYPE:Exotic.Slashing.Light
Blowgun			TYPE:Simple.Ranged.Piercing.RangedPiercing.Blowgun
Chakram			TYPE:Exotic.Ranged.Slashing.Thrown.Light.RangedSlashing
Claw Bracer			TYPE:Exotic.Piercing.Light
Cutlass			TYPE:Martial.Sword.Slashing.Piercing.Light
Katana			TYPE:Martial.Exotic.Melee.Slashing.MeleeSlashing.Sword.TwoHanded.TwoHandedMartial.OneHandedExotic
Khopesh			TYPE:Exotic.Slashing.Sword
Lasso				TYPE:Exotic.Ranged.Bludgeoning.Thrown.RangedBludgeoning
Maul				TYPE:Martial.Bludgeoning.Mace
Pincer Staff		TYPE:Exotic.Melee.Bludgeoning.MeleeBludgeoning.Polearm.TwoHanded.TwoHandedExotic
Saber				TYPE:Martial.Slashing.Sword
Scourge			TYPE:Exotic.Slashing.Whip
Wakizashi			TYPE:Martial.Melee.Piercing.MeleePiercing.Sword.Light.OneHandedMartial
