# CVS $Revision: $ $Author: $ -- Thu Aug 14 01:14:25 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AE	SOURCEWEB:www.wizards.com	SOURCEDATE:2003-03

###Weapons
##Martial Weapons-melee
# Weapon Name			Type
Lucerne Hammer			TYPE:Martial.Melee.MartialMelee.Piercing
Maul					TYPE:Martial.Melee.MartialMelee.Bludgeoning
##Exotic Weapons-melee
#Tiny
Claw Bracer				TYPE:Exotic.Melee.ExoticMelee.Piercing
Panther Claw			TYPE:Exotic.Melee.ExoticMelee.Piercing.Slashing
Stump Knife				TYPE:Exotic.Melee.ExoticMelee.Piercing
Tiger Claws				TYPE:Exotic.Melee.ExoticMelee.Piercing
Triple Dagger			TYPE:Exotic.Melee.ExoticMelee.Piercing
Ward Cestus				TYPE:Exotic.Melee.ExoticMelee.Bludgeoning
#Small
Battlepick (Gnome)		TYPE:Exotic.Melee.ExoticMelee.Piercing
Gauntlet (Bladed)			TYPE:Exotic.Melee.ExoticMelee.Slashing
Sai ~ Arms and Equipment	TYPE:Exotic.Melee.ExoticMelee.Piercing
Sapara				TYPE:Exotic.Melee.ExoticMelee.Slashing
Sword (Butterfly)			TYPE:Exotic.Melee.ExoticMelee.Slashing
Tonfa					TYPE:Exotic.Melee.ExoticMelee.Bludgeoning
War Fan				TYPE:Exotic.Melee.ExoticMelee.Slashing
#Medium-Size
Chain-and-Dagger			TYPE:Exotic.Melee.ExoticMelee.Piercing
Khopesh				TYPE:Exotic.Melee.ExoticMelee.Slashing
Longsword (Mercurial)		TYPE:Exotic.Melee.ExoticMelee.Slashing
#Large
Duom					TYPE:Exotic.Melee.ExoticMelee.Piercing
Greatsword (Mercurial)		TYPE:Exotic.Melee.ExoticMelee.Slashing
Gyrspike				TYPE:Exotic.Melee.ExoticMelee.Bludgeoning.Slashing
Mace (Double)			TYPE:Exotic.Melee.ExoticMelee.Bludgeoning
Manti					TYPE:Exotic.Melee.ExoticMelee.Piercing
Scimitar (Double)			TYPE:Exotic.Melee.ExoticMelee.Slashing
Three-Section Staff		TYPE:Exotic.Melee.ExoticMelee.Bludgeoning
#Huge
Fullblade				TYPE:Exotic.Melee.ExoticMelee.Slashing
##Exotic Weapons-ranged
#Tiny
Fukimi-bari				TYPE:Exotic.Ranged.Thrown.Piercing
Skiprock (Halfling)		TYPE:Exotic.Ranged.Thrown.Bludgeoning
#Small
Bolas (Two-ball)			TYPE:Exotic.Ranged.Thrown.Bludgeoning
Calculus (Gnome)			TYPE:Exotic.Ranged.Projectile.Special
Chakram				TYPE:Exotic.Ranged.Thrown.Slashing
Throwing Iron			TYPE:Exotic.Ranged.Thrown.Slashing
#Not needed.  Source material says need proficiency in Whip to get Whip-dagger
#Whip-dagger					TYPE:Exotic.Ranged.Slashing
#Medium-size
Gauntlet (Spring-loaded)	TYPE:Exotic.Ranged.Projectile.Piercing
Javelin (Spinning)		TYPE:Exotic.Ranged.Thrown.Piercing
#Large
Crossbow (Great)			TYPE:Exotic.Ranged.Projectile.Piercing
Double Bow (Elven)		TYPE:Exotic.Ranged.Projectile.Piercing
Harpoon				TYPE:Exotic.Ranged.Thrown.Piercing
Shotput (Orc)			TYPE:Exotic.Ranged.Thrown.Bludgeoning

# Monk
Sword (Butterfly)MOD		TYPE:Monk
Sai ~ Arms and Equipment.MOD	TYPE:Monk
Tiger Claws.MOD			TYPE:Monk
Tonfa.MOD				TYPE:Monk
Three-Section Staff.MOD		TYPE:Monk
War Fan.MOD				TYPE:Monk
