# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)
SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AE	SOURCEWEB:www.wizards.com	SOURCEDATE:2003-03

# Armor Name	Type
Bark			TYPE:Light
Bondleaf Wrap	TYPE:Light
Bone			TYPE:Light
Cord			TYPE:Light
Leather Scale	TYPE:Light
Moon-ivy		TYPE:Light
Wicker		TYPE:Light
Wood			TYPE:Light
Brigandine		TYPE:Medium
Lamellar		TYPE:Medium
Ring			TYPE:Medium
Shell			TYPE:Medium
Coral			TYPE:Heavy
Dendritic		TYPE:Heavy
Stone (Dwarven)	TYPE:Heavy
