# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)
#ABILITYCATEGORY:Barbarian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Barbarian Class Feature	PLURAL:Barbarian Class Features	DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:Barbarian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Barbarian Class Feature	PLURAL:Barbarian Class Features	DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:Barbarian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Barbarian Class Feature	PLURAL:Barbarian Class Features	DISPLAYLOCATION:Class Features
# Ability Category							Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object						Plural description for UI					Display Location
ABILITYCATEGORY:Vile Spellcasting Type				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:VileSpells						PLURAL:Vile Spellcasting Types				DISPLAYLOCATION:Feats


ABILITYCATEGORY:Disciple of Dispater Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Disciple of Dispater Class Feature		PLURAL:Disciple of Dispater Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Cancer Mage Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Cancer Mage Class Feature			PLURAL:Cancer Mage Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Demonologist Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Demonologist Class Feature			PLURAL:Demonologist Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Diabolist Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Diabolist Class Feature				PLURAL:Diabolist Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Disciple of Asmodeus Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Disciple of Asmodeus Class Feature		PLURAL:Disciple of Asmodeus Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Disciple of Baalzebul Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Disciple of Baalzebul Class Feature		PLURAL:Disciple of Baalzebul Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Disciple of Mammon Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Disciple of Mammon Class Feature		PLURAL:Disciple of Mammon Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Disciple of Mephistopheles Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Disciple of Mephistopheles Class Feature	PLURAL:Disciple of Mephistopheles Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Lifedrinker Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Lifedrinker Class Feature			PLURAL:Lifedrinker Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Mortal Hunter Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Mortal Hunter Class Feature			PLURAL:Mortal Hunter Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Soul Eater Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Soul Eater Class Feature				PLURAL:Soul Eater Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Thrall of Demogorgon Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO						CATEGORY:Special Ability	TYPE:Thrall of Demogorgon Class Feature		PLURAL:Thrall of Demogorgon Class Features		DISPLAYLOCATION:Class Features
