# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

#Warlock
#	Warlock Least Invocation
#	Warlock Lesser Invocation
#	Warlock Greater Invocation
#	Warlock Dark Invocation
#Warmage
#	Advanced Learning
#	Warmage Sudden Ability
#	Metamagic Feat
#Wu Jen
#	Elemental Mastery
#	Taboo
#
#
#
#

# Ability Category								Visible		Editable?		Change Pool?	Category of Object		Type of Object							Plural description for UI					Display Location
ABILITYCATEGORY:Bonus Spell Cast Selection				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BonusSpellCast															DISPLAYLOCATION:Feats
ABILITYCATEGORY:Bonus Spell Known Selection				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BonusSpellKnown															DISPLAYLOCATION:Feats



ABILITYCATEGORY:Warlock Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Warlock Class Feature					PLURAL:Warlock Class Features					DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Warmage Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Warmage Class Feature					PLURAL:Warmage Class Features					DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Wu Jen Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Wu Jen Class Feature					PLURAL:Wu Jen Class Features					DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Acolyte of the Skin Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Acolyte of the Skin Class Feature			PLURAL:Acolyte of the Skin Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Alienist Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Alienist Class Feature					PLURAL:Alienist Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Argent Savant Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Argent Savant Class Feature				PLURAL:Argent Savant Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Blood Magus Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Blood Magus Class Feature				PLURAL:Blood Magus Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Effigy Master Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Effigy Master Class Feature				PLURAL:Effigy Master Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Elemental Savant Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Elemental Savant Class Feature				PLURAL:Elemental Savant Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Enlightened Fist Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Enlightened Fist Class Feature				PLURAL:Enlightened Fist Class Features			DISPLAYLOCATION:Class Features
