# CVS $Revision: $ $Author: $ -- Fri Dec 12 02:40:59 2014 -- reformated by prettylst.pl v1.51 (build 25712)

###Block: Feat Support for Champion of the Wild ACF.
# CotW - Archery
# Feat Name					Type
Improved Rapid Shot.MOD			TYPE:ChampionOfTheWildArchery
Ranged Disarm.MOD				TYPE:ChampionOfTheWildArchery
Ranged Pin.MOD				TYPE:ChampionOfTheWildArchery
Ranged Sunder.MOD				TYPE:ChampionOfTheWildArchery
Sharp-Shooting.MOD			TYPE:ChampionOfTheWildArchery

#Two-Weapon Combat:
Greater Two-Weapon Defense.MOD	TYPE:ChampionOfTheWildTwoWeaponFighting
Improved Two-Weapon Defense.MOD	TYPE:ChampionOfTheWildTwoWeaponFighting

Eyes in the Back of Your Head.MOD	TYPE:ChampionOfTheWild
Improved Favored Enemy.MOD		TYPE:ChampionOfTheWild
