# CVS $Revision: $ $Author: $ -- Wed Mar  5 16:52:34 2014 -- reformated by prettylst.pl v1.51 (build 22988)

# Ability Category					Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object				Display Location
ABILITYCATEGORY:Contemplative Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ContemplativeClassFeatures	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Divine Oracle Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Divine OracleClassFeatures	DISPLAYLOCATION:Class Features

ABILITYCATEGORY:Favored Soul Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Favored SoulClassFeatures		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Favored Soul Resistance		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Favored SoulResistanceType	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Shugenja Class Feature		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ShugenjaClassFeatures		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Spirit Shaman Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Spirit ShamanClassFeatures	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Pious Templar Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Pious TemplarClassFeatures	DISPLAYLOCATION:Class Features

ABILITYCATEGORY:Pious Templar Weapon Specialization	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	ABILITYLIST:Pious Templar Weapon Specialization	DISPLAYLOCATION:Class Features
