# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)




# Deity Name	Unique Key		Domains									Deity Weapon			Align		Pantheon		Source Page		SORTKEY
Bahamut		KEY:Bahamut		DOMAINS:Air,Cold,Good,Luck,Protection|PREALIGN:LN,NG,LG	DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LG	PANTHEON:Base|CD	SOURCEPAGE:p.108	SORTKEY:Gods_a
Kurtulmak		KEY:Kurtulmak	DOMAINS:Evil,Law,Luck,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Spear			ALIGN:LE	PANTHEON:Base|CD	SOURCEPAGE:p.113	SORTKEY:Gods_a
Lolth			KEY:Lolth		DOMAINS:Chaos,Destruction,Evil,Trickery|PREALIGN:CN,NE,CE	DEITYWEAP:Whip			ALIGN:LE	PANTHEON:Base|CD	SOURCEPAGE:p.114	SORTKEY:Gods_a
Tiamat		KEY:Tiamat		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE	DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LE	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a

###Block: Greyhawk Deities

#Beltar	KEY:Beltar		DOMAINS:Chaos, Earth, Evil, War|PREALIGN:LN,NE,LE		DEITYWEAP:Gauntlet (Spiked)	ALIGN:CE	PANTHEON:Greyhawk|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Bralm		KEY:Bralm		DOMAINS:Animal, Community*, Law, Pact*,Strength|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:TN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Celestian	KEY:Celestian	DOMAINS:Knowledge, Oracle*, Protection,Travel|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:TN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Cyndor	KEY:Cyndor		DOMAINS:Law, Oracle*, Protection, Travel|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Delleb	KEY:Delleb		DOMAINS:Good, Knowledge, Law, Magic|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LG	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
