# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)
SOURCELONG:Complete Mage	SOURCESHORT:CM	SOURCEWEB:http://www.wizards.com/default.asp?x=products/dndacc/953847200	SOURCEDATE:2006-10

###Block: Abjurant Champion
# Ability Name		Unique Key							Category of Ability		Type														Description																																																																																											Source Page
Spellcasting		KEY:Abjurant Champion ~ Spellcasting		CATEGORY:Special Ability	TYPE:Class Feature.Abjurant Champion Class Feature.SpecialQuality				DESC:At each level, you gain new spells per day and an increase in caster level (and spells known, if applicable) as if you had also gained a level in an arcane spellcasting class to which you belonged before adding the prestige class level. You do not, however, gain any other benefit a character of that class would have gained. If you had more than one arcane spellcasting class before becoming an abjurant champion, you must decide to which class to add each level for the purpose of determining spells per day, caster level, and spells known.	SOURCEPAGE:p.50
Abjurant Armor		KEY:Abjurant Champion ~ Abjurant Armor		CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Abjurant Champion Class Feature.SpecialQuality	DESC:Any time you cast an abjuration spell that grants you an armor bonus or shield bonus to AC, you can increase the value of the bonus by your abjurant champion class level. Abjurant champions rely on mage armor, shield, and similar spells instead of actual armor.																																																SOURCEPAGE:p.50
Extended Abjuration	KEY:Abjurant Champion ~ Extended Abjuration	CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Abjurant Champion Class Feature.SpecialQuality	DESC:You depend on your abjuration spells to protect you in combat. Double the duration of abjuration spells you cast, as if you had applied the Extend Spell feat to them (but without any change in level or casting time).																																																								SOURCEPAGE:p.50
Swift Abjuration		KEY:Abjurant Champion ~ Swift Abjuration		CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Abjurant Champion Class Feature.SpecialQuality	DESC:Beginning at 2nd level, you can cast abjuration spells as a swift action, as if you had applied the Quicken Spell feat to them (but without any change in level). The maximum level of spell you can quicken in this way is equal to 1/2 your class level (rounded up).																																																SOURCEPAGE:p.50
Arcane Boost		KEY:Abjurant Champion ~ Arcane Boost		CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Abjurant Champion Class Feature.SpecialQuality	DESC:Beginning at 4th level, you gain the ability to burn arcane energy to empower your martial abilities. As a swift action, you can spend one of your uncast spells or spell slots to grant yourself one of the following insight bonuses for 1 round. . Bonus on attack rolls equal to the spell's level. . Bonus on weapon damage rolls equal to twice the spell's level. . Bonus to AC equal to the spell's level. . Bonus on saving throws equal to the spell's level. . Resistance to acid, cold, electricity, fire, and sonic equal to 5 x the spell's level.	SOURCEPAGE:p.50
Martial Arcanist		KEY:Abjurant Champion ~ Martial Arcanist		CATEGORY:Special Ability	TYPE:Extraordinary.Class Feature.Abjurant Champion Class Feature.SpecialQuality	DESC:At 5th level, you master the art of combining your militant and mystical training. From this point on, your caster level in a chosen arcane spellcasting class is equal to your base attack bonus (unless it would otherwise be higher). For example, a 7th-level fighter/1st-level wizard/5th-level abjurant champion has a base attack bonus of +12 (and thus a caster level of 12th). You can apply this benefit to only one arcane class to which you have added spellcasting levels by your advancement as an abjurant champion.					SOURCEPAGE:p.50

###Block: Eldritch Disciple
# Ability Name			Unique Key								Category of Ability		Type														Define					Description																																																																																																																																																																																																			Auto Feat					Ability																																																																																																																																				Bonus Ability Pool									Damage Reduction		Source Page		Aspects
Invocations				KEY:Eldritch Disciple ~ Invocations				CATEGORY:Special Ability	TYPE:Class Feature.Eldritch Disciple Class Feature.SpecialQuality										DESC:At each level, you gain new invocations known and an increase in caster level as if you had also gained a level in an invocation-using class to which you belonged before adding the prestige class level. (This includes eldritch blast) You do not, however, gain any other benefit a character of that class would have gained. If you had more than one invocation-using class before becoming an eldritch disciple, you must decide to which class to add each level for the purpose of determining caster level and invocations known.																																																																																																																																																																																																																																																																							SOURCEPAGE:p.53
