# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

# Ability Category						Visible		Editable?		Change Pool?	Category of Object		Type of Object					Plural description for UI			Display Location
ABILITYCATEGORY:Abjurant Champion Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Abjurant Champion Class Feature	PLURAL:Abjurant Champion Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Eldritch Disciple Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Eldritch Disciple Class Feature	PLURAL:Eldritch Disciple Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Eldritch Theurge Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Eldritch Theurge Class Feature		PLURAL:Eldritch Theurge Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Enlightened Spirit Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Enlightened Spirit Class Feature	PLURAL:Enlightened Spirit Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Holy Scourge Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Holy Scourge Class Feature		PLURAL:Holy Scourge Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Lyric Thaumaturge Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Lyric Thaumaturge Class Feature	PLURAL:Lyric Thaumaturge Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Master Specialist Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Master Specialist Class Feature	PLURAL:Master Specialist Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Nightmare Spinner Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Nightmare Spinner Class Feature	PLURAL:Nightmare Spinner Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Ultimate Magus Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Ultimate Magus Class Feature		PLURAL:Ultimate Magus Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Unseen Seer Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Unseen Seer Class Feature		PLURAL:Unseen Seer Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Wild Soul Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Wild Soul Class Feature			PLURAL:Wild Soul Class Features		DISPLAYLOCATION:Class Features
#
ABILITYCATEGORY:Gift of the Divine Patron			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron										DISPLAYLOCATION:Class Features
