# CVS $Revision: $ $Author: $ -- Thu Aug  7 12:47:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# Rings
# Equipment Name				Type						Cost		Weight	Source Page		Special Property
Deadwalker's Ring				TYPE:Magic.Ring				COST:4000	WT:0		SOURCEPAGE:p.126	SPROP:While you wear the ring, any undead you create by a spell (such as animate dead) gain +2 hit points per HD. This benefit doesn't stack with the extra hit points granted by the desecrate spell. Aura/Caster Level: Moderate necromancy. CL 7th.
Ring of Arcane Supremacy		TYPE:Magic.Ring				COST:12000	WT:0		SOURCEPAGE:p.126	SPROP:The ring grants its wearer the ability to reroll a caster level check made to overcome spell resistance with an arcane spell or invocation. You must take the result of the reroll, even if it's worse than the original roll. Aura/Caster Level: Faint abjuration. CL 3rd.
Ring of Enduring Arcana			TYPE:Magic.Ring				COST:6000	WT:0		SOURCEPAGE:p.126	SPROP:You are considered four levels higher than your actual caster level whenever another character attempts to dispel or counter one of your spells. Aura/Caster Level: Moderate abjuration. CL 9th
Ring of Instant Escape			TYPE:Magic.Ring				COST:18000	WT:0		SOURCEPAGE:p.126	SPROP:When you are subject to a harmful effect that allows a Reflex save to reduce or negate it (such as a fireball or a dragon's breath), you can activate a ring of instant escape to be instantly transported elsewhere, as per dimension door (PH 221), although the range is limited to 40 feet. This occurs just before the effect resolves, so you are unaffected by it (assuming your destination is outside the area of the effect). Aura/Caster Level: Moderate conjuration. CL 7th
Ring of Instant Escape			TYPE:Magic.Ring				COST:32000	WT:0		SOURCEPAGE:p.126	SPROP:When you are subject to a harmful effect that allows a Reflex save to reduce or negate it (such as a fireball or a dragon's breath), you can activate a ring of instant escape to be instantly transported elsewhere, as per dimension door (PH 221), although the range is limited to 40 feet. This occurs just before the effect resolves, so you are unaffected by it (assuming your destination is outside the area of the effect).  The rare ring of elusive escape also turns you invisible (as the invisibility spell) and leaves behind a major image (PH 254) of yourself. Both of these effects last for 1 round. The image looks as though it has taken damage from the harmful effect and reacts appropriately to further attacks as well, as though you were concentrating on it for the length of its duraton. Aura/Caster Level: Moderate conjuration and illusion. CL 7th.
Ring of Mighty Summons			TYPE:Magic.Ring				COST:14000	WT:0		SOURCEPAGE:p.127	SPROP:When you use this ring while casting a summoning spell, any creature you summon with the spell has maximum hit points per Hit Die. However, the duration of the spell is halved (to a minimum of 1 round). Aura/Caster Level: Moderate conjuration. CL 6th
Spellguard Rings				TYPE:Magic.Ring				COST:4000	WT:0		SOURCEPAGE:p.127	SPROP:In order for them to function, both spellguard rings must be worn-the gold ring by a spellcaster, the bronze one by anyone else. When the rings are activated, the wearer of the bronze ring becomes immune to any spell cast by the wearer of the gold ring, as long as that spell is cast within 1 round. The rings can be useful for pulling off certain tactical maneuvers, such as letting the spellcaster lob a fireball into the midst of a horde of orcs, even though his paladin companion stands right in the center of them. The construction costs and price below are for a pair of matched rings. If one ring of a pair is lost or destroyed, the other becomes useless. Aura/Caster Level: Moderate abjuration. CL 7th.
# Rods
Rod of Eldritch Power (Least)		TYPE:Magic.Rod				COST:4000	WT:0		SOURCEPAGE:p.127	SPROP:Each rod of eldritch power has one invocation- either a blast shape invocation or an eldritch essence invocation-contained within it. You can will it to apply this invocation to any eldritch blast you fire while holding it. This allows you to make use of blast shape or eldritch essence invocations you might not normally have, but it does not change the normal restriction that only one invocation of each type can be applied to any given blast. Faint, no school. CL 1st.
Rod of Eldritch Power (Lesser)	TYPE:Magic.Rod				COST:16000	WT:0		SOURCEPAGE:p.127	SPROP:Each rod of eldritch power has one invocation- either a blast shape invocation or an eldritch essence invocation-contained within it. You can will it to apply this invocation to any eldritch blast you fire while holding it. This allows you to make use of blast shape or eldritch essence invocations you might not normally have, but it does not change the normal restriction that only one invocation of each type can be applied to any given blast. Moderate, no school. CL 6th.
Rod of Eldritch Power (Greater)	TYPE:Magic.Rod				COST:36000	WT:0		SOURCEPAGE:p.127	SPROP:Each rod of eldritch power has one invocation- either a blast shape invocation or an eldritch essence invocation-contained within it. You can will it to apply this invocation to any eldritch blast you fire while holding it. This allows you to make use of blast shape or eldritch essence invocations you might not normally have, but it does not change the normal restriction that only one invocation of each type can be applied to any given blast. Moderate, no school. CL 11th.
Rod of Eldritch Power (Dark)		TYPE:Magic.Rod				COST:64000	WT:0		SOURCEPAGE:p.127	SPROP:Each rod of eldritch power has one invocation- either a blast shape invocation or an eldritch essence invocation-contained within it. You can will it to apply this invocation to any eldritch blast you fire while holding it. This allows you to make use of blast shape or eldritch essence invocations you might not normally have, but it does not change the normal restriction that only one invocation of each type can be applied to any given blast. Strong, no school. CL 16th.
Rod of Elemental Might			TYPE:Magic.Rod				COST:9600	WT:0		SOURCEPAGE:p.128	SPROP:You gain the benefits of elemental mastery (+2 effective caster level when casting spells of that element, and a +2 competence bonus on saves against spells of that element) applied to whichever element the rod represents. This benefit is in addition to whichever elemental mastery you already possess. If you are already a master of the rod's element, the item grants you no further benefits. Aura/Caster Level: Moderate, no school. CL 17th.
Rod of Magical Precision		TYPE:Magic.Rod				COST:12000	WT:0		SOURCEPAGE:p.128	SPROP:While you are holding a rod of magical precision, any ranged attack you make with a spell or spell-like ability at an opponent engaged in melee does not take the standard - 4 penalty on your attack roll. In addition, you can choose for your spell or spell-like ability to ignore the miss chance granted to a target by concealment or total concealment. In the case of a target that has total concealment, you must still aim at the correct square. Aura/Caster Level: Faint divination. CL 3rd.
Rod of Many Wands				TYPE:Magic.Rod				COST:27000	WT:0		SOURCEPAGE:p.128	SPROP:With this rod, you can trigger multiple wands at once. Although you are not required to fill all three depressions, you cannot selectively activate the wands that you have loaded; activating the rod triggers every wand connected to it. This process drains a number of charges from each wand equal to the number of wands loaded into the rod. For instance, if you have fully loaded the rod, each use drains three charges from each wand. Aura/Caster Level: Moderate, no school. CL 17th.
Rod of Shadowblending			TYPE:Magic.Rod				COST:9000	WT:0		SOURCEPAGE:p.128	SPROP:A rod of shadowblending infuses your normal illusions with shadow, making them partially real. This effect allows you to transform any casting of either minor image or major image into a casting of shadow conjuration, and any casting of major image into shadow evocation. Aura/Caster Level: Moderate illusion. CL 9th.
Rod of Spell Channeling (Lesser)	TYPE:Magic.Rod				COST:9000	WT:0		SOURCEPAGE:p.129	SPROP:You can cast any spell with a range greater than touch or 0 feet with its source as your familiar, rather than from your own person. If the spell affects one or more targets, both you and your familiar must have line of sight to any target selected. For all other purposes (including attack rolls, save DCs, and so on), treat the spell as if you were the caster. You can apply this effect to spells of 3rd level or lower if using a lesser rod of spell channeling, to spells of 6th level or lower if using a normal rod of spell channeling, and to spells of 9th level or lower if using a greater rod of spell channeling. Aura/Caster Level: Strong, no school. CL 17th
Rod of Spell Channeling			TYPE:Magic.Rod				COST:32000	WT:0		SOURCEPAGE:p.129	SPROP:You can cast any spell with a range greater than touch or 0 feet with its source as your familiar, rather than from your own person. If the spell affects one or more targets, both you and your familiar must have line of sight to any target selected. For all other purposes (including attack rolls, save DCs, and so on), treat the spell as if you were the caster. You can apply this effect to spells of 3rd level or lower if using a lesser rod of spell channeling, to spells of 6th level or lower if using a normal rod of spell channeling, and to spells of 9th level or lower if using a greater rod of spell channeling. Aura/Caster Level: Strong, no school. CL 17th
Rod of Spell Channeling (Greater)	TYPE:Magic.Rod				COST:73000	WT:0		SOURCEPAGE:p.129	SPROP:You can cast any spell with a range greater than touch or 0 feet with its source as your familiar, rather than from your own person. If the spell affects one or more targets, both you and your familiar must have line of sight to any target selected. For all other purposes (including attack rolls, save DCs, and so on), treat the spell as if you were the caster. You can apply this effect to spells of 3rd level or lower if using a lesser rod of spell channeling, to spells of 6th level or lower if using a normal rod of spell channeling, and to spells of 9th level or lower if using a greater rod of spell channeling. Aura/Caster Level: Strong, no school. CL 17th
Rod of Spellholding			TYPE:Magic.Rod				COST:9000	WT:0		SOURCEPAGE:p.129	SPROP:You can hold a touch spell in the rod, allowing you to cast other spells or to touch other creatures, without triggering the spell. (Normally, you cannot cast other spells while holding a touch spell, and any creature you touch suffers the effect.) You can use the held spell by using a standard action and making a melee touch attack; the held spell is expended if you succeed on your attack roll, and it has the normal effect. The rod cannot hold a spell indefinitely, however; the spell fades in 6 minutes if you have not already used it. The spell is also lost if the rod of spellholding ever leaves your hands. Aura/Caster Level: Moderate, no school. CL 6th.
Warbringer's Rod				TYPE:Magic.Rod				COST:8312	WT:0		SOURCEPAGE:p.129	SPROP:A warbringer's rod functions as a +1 heavy mace. If the wielder has any feats that apply only to a specific weapon (such as Weapon Focus), he can apply the feats' benefit to this weapon as well. In addition, when it is activated, the rod casts both bear's endurance and bull's strength on the wielder simultaneously. These spells remain active as long as the wielder holds the rod (up to the normal duration of each spell). Aura/Caster Level: Faint transmutation. CL 5th
# Staffs
Assassin's Staff				TYPE:Magic.Staff				COST:39000	WT:0		SOURCEPAGE:p.130	SPROP:An assassin's staff allows the wielder to produce the following spell effects: . pall of twilight (page 112), 1 charge . vital strike (page 122), 1 charge . deathsight (page 102), 2 charges . unseen strike (page 122), 2 charges Aura/Caster Level: Moderate divination and illusion. CL 8th.
Dreamstaff					TYPE:Magic.Staff				COST:54000	WT:0		SOURCEPAGE:p.130	SPROP:A dreamstaff allows the wielder to produce the following spell effects: . deep slumber 1 charge . endless slumber (page 103), 2 charges . dream, 3 charges . nightmare, 3 charges Aura/Caster Level: Moderate enchantment and illusion. CL 11th.
Magebane Staff				TYPE:Magic.Staff				COST:37000	WT:0		SOURCEPAGE:p.130	SPROP:A magebane staff allows the wielder to produce the following spell effects: . arcane turmoil (page 96), 1 charge . Nystul's magic aura, 1 charge . break enchantment, 2 charges . Otiluke's suppressing field (page 112), 2 charges Aura/Caster Level: Moderate abjuration or strong abjuration (greater). CL 9th.
Magebane Staff (Greater)		TYPE:Magic.Staff				COST:56000	WT:0		SOURCEPAGE:p.130	SPROP:A staff of lifeless touch allows the wielder to produce the following spell effects: ghoul touch, 1 charge spectral hand, 1 charge vampiric touch, 2 charges cryptwarden's grasp (page 100), 3 charges touch of Vecna (page 120), 3 charges Aura/Caster Level: Strong necromancy. CL 13th.
Staff of Lifeless Touch			TYPE:Magic.Staff				COST:38250	WT:0		SOURCEPAGE:p.130	SPROP:A staff of malediction allows the wielder to produce the following spell effects: . death's call (page 101), 1 charge . suggestion, 1 charge . Vecna's malevolent whisper (page 122), 2 charges . wail of the banshee, 5 charges Aura/Caster Level: Strong enchantment and necromancy. CL 17th.
Staff of Malediction			TYPE:Magic.Staff				COST:67575	WT:0		SOURCEPAGE:p.131	SPROP:A staff of malediction allows the wielder to produce the following spell effects: . death's call (page 101), 1 charge . suggestion, 1 charge . Vecna's malevolent whisper (page 122), 2 charges . wail of the banshee, 5 charges Aura/Caster Level: Strong enchantment and necromancy. CL 17th.
Staff of Ooze				TYPE:Magic.Staff				COST:27000	WT:0		SOURCEPAGE:p.131	SPROP:A staff of ooze allows the wielder to produce the following spell effects: . grease, 1 charge . incendiary slime (page 108), 1 charge . resinous tar (page 115), 1 charge . caustic mire (page 98), 2 charges Aura/Caster Level: Moderate conjuration and transmutation. CL 7th.
Staff of Tricks				TYPE:Magic.Staff				COST:13500	WT:0		SOURCEPAGE:p.131	SPROP:A staff of tricks allows the wielder to produce the following spell effects: . summon component (page 118), 1 charge . summon instrument, 1 charge . unseen servant, 1 charge . summon weapon (page 118), 2 charges Aura/Caster Level: Moderate conjuration. CL 8th.
# Wondrous Items
Amulet of Spell Conversion		TYPE:Magic.Wondrous.Amulet		COST:18000	WT:1		SOURCEPAGE:p.132	SPROP:An amulet of spell conversion allows you to lose one spell you have prepared for the day and replace it with another spell of equal or lower level. The new spell must be one that is already scribed in your spellbook. You can now cast that spell as though you had prepared it normally. Aura/Caster Level: Moderate, no school. CL 11th.
