# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

# Ability Category						Visible		Editable?		Change Pool?	Category of Object		Type of Object					Plural description for UI			Display Location
ABILITYCATEGORY:Skill Tricks					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SkillTrick												DISPLAYLOCATION:Class Features
#
ABILITYCATEGORY:Avenging Executioner Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:AvengingExecutioner Class Feature	PLURAL:Avenging Executioner Class Feature	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Battle Trickster Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BattleTrickste Class Feature		PLURAL:Battle Trickster Class Feature	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Cloaked Dancer Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:CloakedDancer Class Feature		PLURAL:Cloaked Dancer Class Feature		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Combat Trapsmith Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:CombatTrapsmith Class Feature		PLURAL:Combat Trapsmith Class Feature	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Fortune's Friend Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:FortunesFriend Class Feature		PLURAL:Fortune's Friend Class Feature	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Gray Guard Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:GrayGuard Class Feature			PLURAL:Gray Guard Class Feature		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Magical Trickster Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MagicalTrickster Class Feature		PLURAL:Magical Trickster Class Feature	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Malconvoker Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Malconvoker Class Feature		PLURAL:Malconvoker Class Feature		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Master of Masks Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MasterOfMasks Class Feature		PLURAL:Master of Masks Class Feature	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Mountebank Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Mountebank Class Feature			PLURAL:Mountebank Class Feature		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Psibond Agent Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PsibondAgent Class Feature		PLURAL:Psibond Agent Class Feature		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Spellwarp Sniper Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SpellwarpSniper Class Feature		PLURAL:Spellwarp Sniper Class Feature	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Uncanny Trickster Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:UncannyTrickster Class Feature		PLURAL:Uncanny Trickster Class Feature	DISPLAYLOCATION:Class Features
#
ABILITYCATEGORY:Persona Masks Known				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PersonaMasks					PLURAL:Persona Masks Known			DISPLAYLOCATION:Class Features
