# CVS $Revision: $ $Author: $ -- Sat Jan  4 10:49:58 2014 -- reformated by prettylst.pl v1.50 (build 22746)

# Exotic - Ranged
# Weapon Name		Type
Blowgun (Greater)		TYPE:Weapon.Exotic.Ranged.Thrown
#Bolas (Barbed)	TYPE:Weapon.Exotic.Ranged.Thrown
Boomerang			TYPE:Weapon.Exotic.Ranged.Thrown
Greatbow			TYPE:Weapon.Exotic.Ranged.Standard.Piercing.TwoHanded.Container.Projectile.Bow.Greatbow

# Exotic - Melee
Buckler Axe (Dwarven)	TYPE:Weapon.Exotic.Melee.Standard.Slashing.Light.Dwarven.Axe
Lightblade (Elven)	TYPE:Weapon.Exotic.Melee.Standard.Piercing.Light.Elven.Sword
Tortoise Blade (Gnome)	TYPE:Weapon.Exotic.Melee.Standard.Piercing.Light.Gnome.Dagger
Maul				TYPE:Weapon.Exotic.Martial.Melee.Standard.Bludgeoning.TwoHanded.Mace
Pick (Dire)			TYPE:Weapon.Martial.Exotic.Melee.Standard.Piercing.TwoHanded.Pick
Scourge			TYPE:Weapon.Exotic.Melee.Standard.Slashing.OneHanded.Whip
Thinblade (Elven)		TYPE:Weapon.Exotic.Melee.Standard.Piercing.OneHanded.Elven.Sword
Warmace			TYPE:Weapon.Martial.Exotic.Melee.Standard.Bludgeoning.TwoHanded.Mace
Greatspear			TYPE:Weapon.Exotic.Melee.Ranged.Standard.Piercing.TwoHanded.Reach.Spear
Hammer (Double)		TYPE:Weapon.Exotic.Melee.Double.Standard.Bludgeoning.Hammer
Lajatang			TYPE:Weapon.Exotic.Melee.Standard.Slashing.TwoHanded.Double.Quarterstaff
Mancatcher			TYPE:Weapon.Exotic.Melee.Standard.Bludgeoning.TwoHanded.Double.Reach
Poleaxe (Heavy)		TYPE:Weapon.Exotic.Melee.Standard.Piercing.Slashing.TwoHanded.Reach.Polearm


Manacles			TYPE:Exotic
