# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)
SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEDATE:2003-12

### COMPLETE WARRIOR - Dec 2003
# Spell Name			Unique Key					Type		Classes of caster					Domains granting the spell	School			Sub-School			Descriptor				Components		Casting Time			Range				Item		Target Area or Effect						Duration								Save Info								Spell Resistance					Source Page			Description
Augment Familiar									TYPE:Arcane	CLASSES:Hexblade=1|Sorcerer,Wizard=2						SCHOOL:Transmutation										COMPS:V,S		CASTTIME:1 standard action	RANGE:Close			ITEM:Potion	TARGETAREA:Your familiar					DURATION:Concentration + (CASTERLEVEL) rounds		SAVEINFO:Fort negates (harmless)				SPELLRES:Yes (harmless)				SOURCEPAGE:p.116		DESC:Your Familiar becomes more powerful.|!PRERULE:1,DisplayFullSpell
Cloak of Bravery									TYPE:Divine	CLASSES:Paladin=2|Cleric=3			DOMAINS:Courage=3			SCHOOL:Abjuration						DESCRIPTOR:Mind-Affecting	COMPS:V,S		CASTTIME:1 standard action	RANGE:60 ft.		ITEM:Potion	TARGETAREA:60-ft.-radius emanation centered on you	DURATION:(CASTERLEVEL*10) minutes				SAVEINFO:Will negates (harmless)				SPELLRES:Yes (harmless)				SOURCEPAGE:p.117		DESC:You and your allies gain a bonus on saves against fear.|!PRERULE:1,DisplayFullSpell
Cloak of Bravery, Greater	KEY:Cloak of Bravery (Greater)	TYPE:Divine								DOMAINS:Courage=9			SCHOOL:Abjuration						DESCRIPTOR:Mind-Affecting	COMPS:V,S		CASTTIME:1 standard action	RANGE:1 mile; see text			TARGETAREA:1-mile-radius emanation centered on you	DURATION:(CASTERLEVEL) hours					SAVEINFO:Will negates (harmless)				SPELLRES:Yes (harmless)				SOURCEPAGE:p.117		DESC:You and your allies gain a bonus on saves against fear.|!PRERULE:1,DisplayFullSpell
Cursed Blade									TYPE:Arcane	CLASSES:Assassin,Hexblade=4								SCHOOL:Necromancy											COMPS:V		CASTTIME:1 standard action	RANGE:Touch					TARGETAREA:One melee weapon					DURATION:(CASTERLEVEL) minutes				SAVEINFO:None							SPELLRES:No						SOURCEPAGE:p.117		DESC:Wounds dealt by weapon can't be healed.|!PRERULE:1,DisplayFullSpell
Hound of Doom									TYPE:Arcane	CLASSES:Hexblade=3									SCHOOL:Illusion		SUBSCHOOL:Shadow							COMPS:V,S		CASTTIME:1 round			RANGE:Close			ITEM:Potion	TARGETAREA:Shadowy hound					DURATION:(CASTERLEVEL) minutes (D) or until destroyed	SAVEINFO:None							SPELLRES:No						SOURCEPAGE:p.117-118	DESC:Creates shadowy protector.|!PRERULE:1,DisplayFullSpell
Lion's Roar										TYPE:Divine								DOMAINS:Courage=8			SCHOOL:Evocation						DESCRIPTOR:Sonic			COMPS:V,S,DF	CASTTIME:1 standard action	RANGE:120 ft.				TARGETAREA:120-ft.-radius burst centered on you		DURATION:Instantaneous or (CASTERLEVEL) minutes		SAVEINFO:Fort partial or Will negates (harmless)	SPELLRES:Yes or Yes (harmless); see text	SOURCEPAGE:p.118		DESC:Deals ((CASTERLEVEL+1)/2)d8 to enemies; allies get +1 on attack and saves against fear, plus temporary hp.|!PRERULE:1,DisplayFullSpell
Phantom Threat									TYPE:Arcane	CLASSES:Bard,Hexblade=1									SCHOOL:Illusion		SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V,S		CASTTIME:1 standard action	RANGE:Close			ITEM:Potion	TARGETAREA:One creature						DURATION:(CASTERLEVEL) rounds					SAVEINFO:Will negates						SPELLRES:Yes					SOURCEPAGE:p.118		DESC:Subject thinks it's flanked.|!PRERULE:1,DisplayFullSpell
Valiant Fury									TYPE:Divine								DOMAINS:Courage=5			SCHOOL:Transmutation										COMPS:V,S,DF	CASTTIME:1 standard action	RANGE:Close					TARGETAREA:One living creature				DURATION:(CASTERLEVEL) rounds					SAVEINFO:Will negates (harmless)				SPELLRES:Yes (harmless)				SOURCEPAGE:p.118		DESC:+4 Str, Con;+2 Will Saves; extra attacks; cures 1d8+(min(CASTERLEVEL,20)).|!PRERULE:1,DisplayFullSpell

###Block: Full Spell Descriptions
# Spell Name				Description
Augment Familiar.MOD			DESC:This spell grants your familiar a +4 enhancement bonus to Strength, Dexterity and Constitution, damage reduction 5/magic, and a +2 resistance bonus on saving throws.|PRERULE:1,DisplayFullSpell
Cloak of Bravery.MOD			DESC:All allies within the emanation (including you) gain a morale bonus on saves against fear effects equal to your caster level (to a maximum of +10 at 10th level).|PRERULE:1,DisplayFullSpell
Cloak of Bravery (Greater).MOD	DESC:As cloak of bravery, except all allies within the emanation (including you) are immune to fear effects and gain a +2 morale bonus on attack rolls. Allies who don't have line of sight to you are unaffected.|PRERULE:1,DisplayFullSpell
Cursed Blade.MOD				DESC:A weapon affected by this spell deals wounds that can't be healed in the usual fashion. Any damage dealt by the weapon (not including damage from special weapon properties such as flaming, holy, wounding, and so on) cannot be cured by any means until the damaged individual has received a remove curse spell (or some other effect that neutralizes a curse). If a creature is slain by a weapon that is under the effect of this spell, it can't be raised from the dead unless a remove curse spell (or similar effect) is cast on the body or a true resurrection spell is used.|PRERULE:1,DisplayFullSpell
Hound of Doom.MOD				DESC:You shape the essence of the Plane of Shadow to create a powerful doglike companion that serves you loyally for the duration of the spell. The hound of doom has the statistics of a dire wolf (see page 65 of the Monster Manual) with the following adjustments: It gains a deflection bonus to Armor Class equal to your Charisma bonus, its hit points when created are equal to your full normal hit points, and it uses your base attack bonus instead of its own (adding its +7 bonus from Strength and -1 penalty from size as normal). You can command a hound of doom as a move action just as if it were fully trained to perform all the tricks listed in the Handle Animal skill (see page 74 of the Player's Handbook). If a hound of doom's hit points are reduced to 0, it is destroyed. A hound of doom is treated as a magical beast for the purpose of spells and effects, but it can also be dispelled. You can only have one hound of doom in existence at a time. If you cast a second hound of doom spell while the first is still active, the first hound is instantly dispelled.|PRERULE:1,DisplayFullSpell
Lion's Roar.MOD				DESC:You emit a titanic roar that deals 1d8 points of sonic damage per two caster levels to all enemies within the spell's area and stuns them for 1 round. A successful Fortitude save halves the damage and negates the stunning effect. In addition, all allies within the spell's area gain a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+20 temporary hit points at caster level 20th).|PRERULE:1,DisplayFullSpell
Phantom Threat.MOD			DESC:You create the sensation in the subject's mind that he is threatened by more foes than he actually faces. Though the subject doesn't actually perceive any additional enemies (and thus doesn't waste any attacks on the phantasm), a creature affected by this spell is considered flanked, even if not threatened by other creatures. No amount of convincing by others can help the victim of this spell avoid its effect-only a successful saving throw against the spell when initially cast can help the target.|PRERULE:1,DisplayFullSpell
Valiant Fury.MOD				DESC:The affected creature gains a +4 morale bonus to Strength and Constitution and a +2 morale bonus on Will saves. In addition, when making a full attack, the affected creature may make one additional attack with any weapon he is holding. The attack is made using the creature's full base attack bonus, plus any modifiers appropriate to the situation. (This effect is not cumulative with similar effects, such as that provided by the haste spell, nor does it actually grant an extra action, so you can't use it to cast a second spell or otherwise take an extra action in the round.)|PRERULE:1,DisplayFullSpell

###Block: Hexblade Class Spell List
# Spell Name				Classes of caster
Alarm.MOD					CLASSES:Hexblade=1
Arcane Mark.MOD				CLASSES:Hexblade=1
Augment Familiar.MOD			CLASSES:Hexblade=1
Cause Fear.MOD				CLASSES:Hexblade=1
Charm Person.MOD				CLASSES:Hexblade=1
Detect Magic.MOD				CLASSES:Hexblade=1
Disguise Self.MOD				CLASSES:Hexblade=1
Entropic Shield.MOD			CLASSES:Hexblade=1
Expeditious Retreat.MOD			CLASSES:Hexblade=1
Identify.MOD				CLASSES:Hexblade=1
Light.MOD					CLASSES:Hexblade=1
Magic Weapon.MOD				CLASSES:Hexblade=1
Mount.MOD					CLASSES:Hexblade=1
Magic Aura.MOD				CLASSES:Hexblade=1
Phantom Threat.MOD			CLASSES:Hexblade=1
Prestidigitation.MOD			CLASSES:Hexblade=1
Protection from Chaos.MOD		CLASSES:Hexblade=1
Protection from Evil.MOD		CLASSES:Hexblade=1
Protection from Good.MOD		CLASSES:Hexblade=1
Protection from Law.MOD			CLASSES:Hexblade=1
Read Magic.MOD				CLASSES:Hexblade=1
Sleep.MOD					CLASSES:Hexblade=1
Hideous Laughter.MOD			CLASSES:Hexblade=1
Undetectable Alignment.MOD		CLASSES:Hexblade=1
