# CVS $Revision: $ $Author: $ -- Thu Aug  7 12:47:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Draconomicon	SOURCESHORT:Dr	SOURCEDATE:2004-11

CATEGORY=Internal|Default.MOD	DEFINE:BreathWeaponLine|0	BONUS:VAR|BreathWeaponLine|max((SIZE-1)*20,30)|TYPE=Base	DEFINE:BreathWeaponCone|0	BONUS:VAR|BreathWeaponCone|max((SIZE-1)*10,15)|TYPE=Base		DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDuration|0


Frightful Presence	KEY:Awakened Frightful Presence	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary.MindAffecting.Fear	VISIBLE:YES	DESC:%1 ft (Will DC %2)|AwakenedFrightfulPresRange|AwakenedFrightfulPresenceDC|PREVARGT:AwakenedFrightfulPresRange,0	DESC:Your very presence unsettling to foes. It takes effect automatically when you perform some sort of dramatic action (such as charging, attacking, or snarling). Opponents with fewer hit dice than your racial hitdice within range who witness the action may become frightened or shaken.	SERVESAS:ABILITY=Special Ability|Frightful Presence		DEFINE:AwakenedFrightfulPresRange|0	DEFINE:AwakenedFrightfulPresenceDC|0	BONUS:VAR|AwakenedFrightfulPresenceDC|10+(HD/2)+CHA			BONUS:VAR|AwakenedFrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)																				SOURCEPAGE:Drac
# TO DO set up Familiar
Dragon Familiar		CATEGORY:Special Ability	TYPE:Companion

# Ability Name								Clear Description	Description																																																																																					Source Page
CATEGORY=Special Ability|Vulnerability to Acid.MOD		DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from Acid, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilityAcidLvl,0	DESC:You take quarter again as much (+25%%) damage as normal from Acid, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilityAcidLvl,1	DESC:You have suppressed your vulnerability to Acid|PREVAREQ:VulnerabilityAcidLvl,2									SOURCEPAGE:p.305
CATEGORY=Special Ability|Vulnerability to Cold.MOD		DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from Cold, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilityColdLvl,0	DESC:You take quarter again as much (+25%%) damage as normal from Cold, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilityColdLvl,1	DESC:You have suppressed your vulnerability to Cold|PREVAREQ:VulnerabilityColdLvl,2									SOURCEPAGE:p.305
CATEGORY=Special Ability|Vulnerability to Fire.MOD		DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from Fire, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilityFireLvl,0	DESC:You take quarter again as much (+25%%) damage as normal from Fire, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilityFireLvl,1	DESC:You have suppressed your vulnerability to Fire|PREVAREQ:VulnerabilityFireLvl,2									SOURCEPAGE:p.305
CATEGORY=Special Ability|Vulnerability to Electricity.MOD	DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from Electricity, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilityElectricityLvl,0	DESC:You take quarter again as much (+25%%) damage as normal from Electricity, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilityElectricityLvl,1	DESC:You have suppressed your vulnerability to Electricity|PREVAREQ:VulnerabilityElectricityLvl,2	SOURCEPAGE:p.305
CATEGORY=Special Ability|Vulnerability to Sonic.MOD		DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from Sonic, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilitySonicLvl,0	DESC:You take quarter again as much (+25%%) damage as normal from Sonic, regardless of whether a saving throw is allowed, or if the save is a success or failure|PREVAREQ:VulnerabilitySonicLvl,1	DESC:You have suppressed your vulnerability to Sonic|PREVAREQ:VulnerabilitySonicLvl,2							SOURCEPAGE:p.305

###Block: Class Abilities
# Bloodscaled Fury
# Ability Name			Unique Key											Category of Ability		Type																	Description																																																																																																																																																																																																																																																														Virtual Feat																																																		Ability																																																																																									Modify VAR																																																																																																													Source Page
Weapon and Armor Proficiency	KEY:Bloodscaled Fury ~ Weapon and Armor Proficiency				CATEGORY:Special Ability	TYPE:Bloodscaled Fury Class Feature.Class Features.SpecialQuality							DESC:A bloodscaled fury gains no proficiency with any weapons, armor, or shields.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														SOURCEPAGE:p.87
Fearsome Presence			KEY:Bloodscaled Fury ~ Fearsome Presence						CATEGORY:Special Ability	TYPE:Extraordinary.Bloodscaled Fury Class Feature.Class Features.SpecialQuality				DESC:A bloodscaled fury is a terror to behold, and the seething fury that churns in its heart inspires terror in all who lay eyes on it. The dragon's frightful presence becomes more powerful: The saving throw DC to resist the ability is increased by the dragon's class level. Creatures with Hit Dice equal to or less than 1/2 the dragon's class level + 4 are panicked if they fail their saving throws, while creatures with more Hit Dice are shaken. Both fear effects last for 6d6 rounds (rather than the usual 4d6).																																																																																																																																																																																																																																																																																																																																																																																																																																						SOURCEPAGE:p.87
