
CLASS:Dragonfire Adept	HD:8	TYPE:Base.PC.Prestige.Monster	SOURCEPAGE:p.24	DEFINE:Dragonfire_AdeptLVL|0	BONUS:VAR|Dragonfire_AdeptLVL|CL
CLASS:Dragonfire Adept	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*1/2|TYPE=Base.REPLACE|PREVAREQ:UseAlternateBABProgression,0	
CLASS:Dragonfire Adept	BONUS:VAR|ClassBABPoor|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalBAB,1
CLASS:Dragonfire Adept	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2
CLASS:Dragonfire Adept	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3
CLASS:Dragonfire Adept	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2
CLASS:Dragonfire Adept	STARTSKILLPTS:4	CSKILL:Appraise|Bluff|Climb|Concentration|TYPE=Craft|Decipher Script|Diplomacy|Intimidate|Jump|TYPE=Knowledge|Listen|Search|Sense Motive|Speak Language|Spellcraft|Spot|Use Magic Device
###Block
1	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Weapon and Armor Proficiency
1	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Invocations
1	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Breath Weapon
1	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Dragontouched
2	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Breath Effect
2	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Scales
4	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Dragonkin
6	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Damage Reduction
19	ABILITY:Dragonfire Adept Class Feature|AUTOMATIC|Dragonfire Adept ~ Immunities
