# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

# Class Name		Max Level
CLASS:Barbarian.MOD	MAXLEVEL:NOLIMIT
24:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Barbarian Feat|1

# Class Name	Max Level
CLASS:Bard.MOD	MAXLEVEL:NOLIMIT
23:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Bard Feat|1

# Class Name	Max Level
CLASS:Cleric.MOD	MAXLEVEL:NOLIMIT
23:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Cleric Feat|1

# Class Name	Max Level
CLASS:Druid.MOD	MAXLEVEL:NOLIMIT
22									BONUS:VAR|WildShapeTimes|(CL-18)/4
24:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Druid Feat|1

# Class Name	Max Level
CLASS:Fighter.MOD	MAXLEVEL:NOLIMIT
22:REPEATLEVEL:2	BONUS:ABILITYPOOL|Epic Fighter Feat|1

# Class Name	Max Level
CLASS:Monk.MOD	MAXLEVEL:NOLIMIT
25:REPEATLEVEL:5	BONUS:ABILITYPOOL|Epic Monk Feat|1

# Class Name	Max Level
CLASS:Paladin.MOD	MAXLEVEL:NOLIMIT
23:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Paladin Feat|1

# Class Name	Max Level
CLASS:Ranger.MOD	MAXLEVEL:NOLIMIT
23:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Ranger Feat|1

# Class Name	Max Level
CLASS:Rogue.MOD	MAXLEVEL:NOLIMIT
24:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Rogue Selection|1

# Class Name		Max Level
CLASS:Sorcerer.MOD	MAXLEVEL:NOLIMIT
23:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Sorcerer Feat|1

# Class Name	Max Level
CLASS:Wizard.MOD	MAXLEVEL:NOLIMIT
23:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Wizard Feat|1

# Class Name		Max Level
CLASS:Arcane Archer.MOD	MAXLEVEL:NOLIMIT
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Arcane Archer Feat|1


# Class Name			Max Level
CLASS:Arcane Trickster.MOD	MAXLEVEL:NOLIMIT
11:REPEATLEVEL:1									ADD:SPELLCASTER|Arcane
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Arcane Trickster Feat|1


# Class Name		Max Level
CLASS:Assassin.MOD	MAXLEVEL:NOLIMIT
11										BONUS:VAR|DeathAttack|(-1*(floor((CL-10)/2)))
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Assassin Feat|1


# Class Name		Max Level
CLASS:Blackguard.MOD	MAXLEVEL:NOLIMIT
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Blackguard Feat|1

# Epic Skill Focus (Knowledge (Arcana)) doesn't work

# Class Name			Max Level
CLASS:Dragon Disciple.MOD	MAXLEVEL:NOLIMIT
13											BONUS:COMBAT|AC|EpicDDNA|TYPE=NaturalArmor.STACK	BONUS:VAR|EpicDDNA|floor((CL-10)/3)								DEFINE:EpicDDNA|0
13																				BONUS:VAR|BreathWeaponDice|EpicDDBW	BONUS:VAR|EpicDDBW|2*floor((CL-9)/4)	DEFINE:EpicDDBW|0
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Dragon Disciple Feat|1


# Class Name	Max Level
CLASS:Duelist.MOD	MAXLEVEL:NOLIMIT
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Duelist Feat|1


# Class Name			Max Level
CLASS:Dwarven Defender.MOD	MAXLEVEL:NOLIMIT
15:REPEATLEVEL:5	BONUS:ABILITYPOOL|Epic Dwarven Defender Feat|1


# Class Name			Max Level
CLASS:Eldritch Knight.MOD	MAXLEVEL:NOLIMIT
11:REPEATLEVEL:1									ADD:SPELLCASTER|Arcane
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Eldritch Knight Feat|1


# Class Name			Max Level
CLASS:Horizon Walker.MOD	MAXLEVEL:NOLIMIT
11:REPEATLEVEL:1	BONUS:ABILITYPOOL|Improved Terrain Mastery|1
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Horizon Walker Feat|1


# Class Name		Max Level
CLASS:Loremaster.MOD	MAXLEVEL:NOLIMIT
11:REPEATLEVEL:1								ADD:SPELLCASTER|ANY
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Loremaster Selection|1


# Class Name			Max Level
