# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

# Ability Category								Visible		Editable?		Change Pool?	Category of Object		Type of Object					Plural description for UI				Display Location
ABILITYCATEGORY:Archivist Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Archivist Class Feature	PLURAL:Archivist Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Dread Necromancer Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Dread Necromancer Class Feature	PLURAL:Dread Necromancer Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Corrupt Avenger Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Corrupt Avenger Class Feature	PLURAL:Corrupt Avenger Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Death Delver Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Death Delver Class Feature	PLURAL:Death Delver Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Dread Witch Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Dread Witch Class Feature	PLURAL:Dread Witch Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Fiend-Blooded Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Fiend-Blooded Class Feature	PLURAL:Fiend-Blooded Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Purifier of the Hallowed Doctrine Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Purifier of the Hallowed Doctrine Class Feature	PLURAL:Purifier of the Hallowed Doctrine Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Tainted Scholar Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Tainted Scholar Class Feature	PLURAL:Tainted Scholar Class Features		DISPLAYLOCATION:Class Features


ABILITYCATEGORY:Dread Necromancer Advanced Learning	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Dread Necromancer Advanced Learning	PLURAL:Dread Necromancer Advanced Learning	DISPLAYLOCATION:Class Features


