# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# Class Name		Hit Dice	Type			Source Page		Define				Combat bonus								Modify VAR					Bonus
CLASS:Dread Necromancer	HD:6		TYPE:Base.PC	SOURCEPAGE:p.84	DEFINE:DreadNecromancerLVL|0	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*1/2|TYPE=Base.REPLACE|PREVAREQ:UseAlternateBABProgression,0	BONUS:VAR|DreadNecromancerLVL|CL	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Fortitude,BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3
# Class Name		Restricted AL
CLASS:Dread Necromancer	!PREALIGN:LG,CG,NG
# Class Name		Skill Pts/Lvl	Class Skill
CLASS:Dread Necromancer	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE=Craft|Decipher Script|Disguise|Hide|Intimidate|Knowledge (arcana)|Knowledge (Religion)|TYPE=Profession|Spellcraft
# Class Name		Spell Stat		Spell Type		Memorize	Automatically Known Spell Levels											Caster level
CLASS:Dread Necromancer	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	BONUS:CASTERLEVEL|Dread Necromancer|CL
###Block
1	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Spellcasting|Dread Necromancer ~ Weapon and Armor Proficiency
1	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Charnel Touch|Dread Necromancer ~ Rebuke Undead
2	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Lich Body
3	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Negative Energy Burst
4	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Advanced Learning|Dread Necromancer ~ Mental Bastion
5	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Fear Aura
6	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Scabrous Touch
7	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Summon Familiar
8	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Undead Mastery
9	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Negative Energy Resistance
10	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Light Fortification
17	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Enervating Touch
19	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Craft Wondrous Item
20	ABILITY:Dread Necromancer Class Feature|AUTOMATIC|Dread Necromancer ~ Lich Transformation
###Block
2	BONUS:VAR|DreadNecromancerDR|2
7	BONUS:VAR|DreadNecromancerDR|2
11	BONUS:VAR|DreadNecromancerDR|2
15	BONUS:VAR|DreadNecromancerDR|2
###Block
1	CAST:3
2	CAST:4
3	CAST:5
4	CAST:6,3
5	CAST:6,4
6	CAST:6,5,3
7	CAST:6,6,4
8	CAST:6,6,5,3
9	CAST:6,6,6,4
10	CAST:6,6,6,5,3
11	CAST:6,6,6,6,4
12	CAST:6,6,6,6,5,3
13	CAST:6,6,6,6,6,4
14	CAST:6,6,6,6,6,5,3
15	CAST:6,6,6,6,6,6,4
16	CAST:6,6,6,6,6,6,5,3
17	CAST:6,6,6,6,6,6,6,4
18	CAST:6,6,6,6,6,6,6,5,3
19	CAST:6,6,6,6,6,6,6,6,4
20	CAST:6,6,6,6,6,6,6,6,5
