

#ABILITYCATEGORY:Bard Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Bard Class Feature		PLURAL:Bard Class Features		DISPLAYLOCATION:Class Features

ABILITYCATEGORY:Death's Chosen Class Feature		VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Death's Chosen Class Feature		PLURAL:Death's Chosen Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Dirgesinger Class Feature			VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Dirgesinger Class Feature		PLURAL:Dirgesinger Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Master of Radiance Class Feature	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Master of Radiance Class Feature	PLURAL:Master of Radiance Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Master of Shrouds Class Feature		VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Master of Shrouds Class Feature	PLURAL:Master of Shrouds Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Pale Master Class Feature			VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Pale Master Class Feature		PLURAL:Pale Master Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Sacred Purifier Class Feature		VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Sacred Purifier Class Feature		PLURAL:Sacred Purifier Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:True Necromancer Class Feature		VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:True Necromancer Class Feature		PLURAL:True Necromancer Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Ephemeral Exemplar Class Feature	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Ephemeral Exemplar Class Feature	PLURAL:Ephemeral Exemplar Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Lurking Terror Class Feature		VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Lurking Terror Class Feature		PLURAL:Lurking Terror Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Master Vampire Class Feature		VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Master Vampire Class Feature		PLURAL:Master Vampire Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Tomb Warden Class Feature			VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO	CATEGORY:Special Ability	TYPE:Tomb Warden Class Feature		PLURAL:Tomb Warden Class Features		DISPLAYLOCATION:Class Features
