# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)
# Feat Name				Type				Required Ability										Restricted Ability							Required AL				Req. Att.	Required Check Base		Required Class			Required Feat								Prohibited Feat			Required Lvl	Required Race										Req. Special Ability	Required Skill				Required Spell School		Required Stat	Required Template		Required Text												Multiple?	Choose								Selections	Add Spell Lvl	Bonus to HP			Source Page
Baleful Moan			TYPE:Monstrous																																									PREFEAT:1,Daunting Presence														PRERACE:1,RACETYPE=Undead	PRERACE:1,RACESUBTYPE=Incorporeal																																																										SOURCEPAGE:p.24
Bolster Resistance		TYPE:General																																									PREFEAT:1,Corpsecrafter																																																																																			SOURCEPAGE:p.25
Contagious Paralysis		TYPE:Monstrous																																																																																													PRETEXT:Paralysis as an extraordinary or supernatural ability.																								SOURCEPAGE:p.25
Corpsecrafter			TYPE:General																																																																																																																															SOURCEPAGE:p.25
Corrupted Wild Shape		TYPE:Monstrous																																									PREABILITY:1,CATEGORY=Special Ability,TYPE.Wild Shape															PRERACE:1,RACETYPE=Undead																																																											SOURCEPAGE:p.25
Daunting Presence			TYPE:General.Fighter																												PRETOTALAB:1																																																								PRESTAT:1,CHA=13																																						SOURCEPAGE:p.25
Deadly Chill			TYPE:General																																									PREFEAT:1,Corpsecrafter																																																																																			SOURCEPAGE:p.25
Death Master			TYPE:Monstrous																													PRETOTALAB:1											PREFEAT:1,Daunting Presence														PRERACE:1,RACETYPE=Undead																							PRESTAT:1,CHA=13																																						SOURCEPAGE:p.26
Destruction Retribution		TYPE:General																																									PREFEAT:1,Corpsecrafter																																																																																			SOURCEPAGE:p.26
Divine Accuracy			TYPE:Divine			PREABILITY:1,CATEGORY=Special Ability,TYPE.Turn Undead,Rebuke Undead																																																																																																																		SOURCEPAGE:p.26
Empowered Ability Damage	TYPE:Monstrous																																																											PRERACE:1,RACETYPE=Undead	PRERACE:1,RACESUBTYPE=Incorporeal																	PRESTAT:1,CHA=11					PRETEXT:supernatural ability to drain or damage an ability score.																								SOURCEPAGE:p.26
Empower Turning			TYPE:General		PREABILITY:1,CATEGORY=Special Ability,TYPE.Turn Undead,Rebuke Undead																																																																																																																		SOURCEPAGE:p.26
Endure Sunlight			TYPE:Monstrous																																																																																													PRETEXT:Sunlight powerlessness or sunlight-related weakness.																								SOURCEPAGE:p.26
Enduring Life			TYPE:General																																																																																																																															SOURCEPAGE:p.26
Energize Spell			TYPE:Metamagic																								PREALIGN:LG,LN,NG,TN,CG,CN																							!PREABILITY:1,CATEGORY=Special Ability,TYPE.Rebuke Undead																																																												ADDSPELLLEVEL:1					SOURCEPAGE:p.26
Enervate Spell			TYPE:Metamagic														!PREABILITY:1,CATEGORY=Special Ability,TYPE.Turn Undead	PREALIGN:LE,NG,NE,CG,CN,CE																																																																																												ADDSPELLLEVEL:1					SOURCEPAGE:p.26
Eviscerator				TYPE:Monstrous																													PRETOTALAB:1											PREFEAT:3,Death Master,Daunting Presence,Improved Critical									PRERACE:1,RACETYPE=Undead																							PRESTAT:1,CHA=13																																						SOURCEPAGE:p.26
Fell Animate			TYPE:Metamagic																																																																																																																								ADDSPELLLEVEL:3					SOURCEPAGE:p.26
Fell Drain				TYPE:Metamagic																																																																																																																								ADDSPELLLEVEL:2					SOURCEPAGE:p.27
Fell Frighten			TYPE:Metamagic																																																																																																																								ADDSPELLLEVEL:2					SOURCEPAGE:p.27
Fell Weaken				TYPE:Metamagic																																																																																																																								ADDSPELLLEVEL:1					SOURCEPAGE:p.27
Ghost Scarred			TYPE:General																																																																											PRESKILL:1,Knowledge (Religion)=8																																															SOURCEPAGE:p.27
Ghostly Grasp			TYPE:Monstrous																																																											PRERACE:1,RACESUBTYPE=Incorporeal																						PRESTAT:1,CHA=15																																							SOURCEPAGE:p.27
Graft Flesh (Aboleth)		TYPE:General.GraftFlesh																																																										PRERACE:1,Aboleth														PRESKILL:1,Heal=10																																																	SOURCEPAGE:p.27
Graft Flesh (Beholder)		TYPE:General.GraftFlesh																																																																										PRESKILL:1,Heal=10																																																	SOURCEPAGE:p.27
Graft Flesh (Fiendish)		TYPE:General.GraftFlesh																																																																										PRESKILL:1,Heal=10											PRETEMPLATE:1,Fiend																																			SOURCEPAGE:p.27
Graft Flesh (Illithid)		TYPE:General.GraftFlesh																																																										PRERACE:1,Mind Flayer													PRESKILL:1,Heal=10																																																	SOURCEPAGE:p.27
Graft Flesh (Undead)		TYPE:General.GraftFlesh																																																																										PRESKILL:1,Heal=10																																																	SOURCEPAGE:p.27
Graft Flesh (Yuan-Ti)		TYPE:General.GraftFlesh																																																										PRERACE:1,Yuan-Ti (Pureblood),Yuan-Ti (Halfblood),Yuan-Ti (Abomination)					PRESKILL:1,Heal=10																																																	SOURCEPAGE:p.27
Harden Flesh			TYPE:General																																									PREFEAT:1,Corpsecrafter																																																																																			SOURCEPAGE:p.27
Heighten Turning			TYPE:General																																									PREFEAT:1,Extra Turning																																										PRESTAT:1,CHA=13																																							SOURCEPAGE:p.27
Improved Energy Drain		TYPE:General																																																																																						PRESTAT:1,CHA=15					PRETEXT:energy drain supernatural ability.																											SOURCEPAGE:p.27
Improved Paralysis		TYPE:Monstrous																																									PREFEAT:1,Ability Focus (Paralysis)													PRERACE:1,RACETYPE=Undead																														PRETEXT:Paralysis special ability																													SOURCEPAGE:p.27
Improved Toughness		TYPE:General																															PRECHECKBASE:1,Fortitude=2																																																																																								BONUS:HP|CURRENTMAX|TL	SOURCEPAGE:p.27
Improved Turn Resistance	TYPE:General																																																											PRERACE:1,RACETYPE=Undead																																																																SOURCEPAGE:p.27
Lasting Life			TYPE:General																																									PREFEAT:2,Endurance,Enduring Life																																																																																	SOURCEPAGE:p.28
Life Drain				TYPE:Monstrous																																																																																						PRESTAT:1,CHA=13					PRETEXT:Energy drain supernatural ability																												SOURCEPAGE:p.28
Lifebond				TYPE:Monstrous																																																											PRERACE:1,RACETYPE=Undead																							PRESTAT:1,CHA=11																			MULT:YES	CHOOSE:NOCHOICE	STACK:YES														SOURCEPAGE:p.28
Lifesense				TYPE:Monstrous																																																																																						PRESTAT:1,CHA=13					PRETEXT:No Con score																															SOURCEPAGE:p.28
Mother Cyst				TYPE:Monstrous																																				PRECLASS:1,SPELLCASTER=1																																			PRESKILL:1,Knowledge (Religion)=2																																															SOURCEPAGE:p.28
Necromantic Might			TYPE:General																																									PREFEAT:1,Necromantic Presence																																																																																	SOURCEPAGE:p.28
Necromantic Presence		TYPE:General																																																																																																																															SOURCEPAGE:p.28
Necrotic Rserve			TYPE:General																																																																																						PRESTAT:1,CHA=13					PRETEXT:supernatural ability to drain or damage an ability score or drain energy.																					SOURCEPAGE:p.28
Necropotent				TYPE:General																																				PRECLASS:1,Fighter=4		PREFEAT:1,Weapon Specialization																																																													MULT:YES	CHOOSE:WEAPONPROFICIENCY|FEAT=Weapon Specialization	SELECT:1								SOURCEPAGE:p.29
Nimble Bones			TYPE:General																																									PREFEAT:1,Corpsecrafter																																																																																			SOURCEPAGE:p.29
Positive Energy Resistance	TYPE:Monstrous																																																											PRERACE:1,RACETYPE=Undead																																																																SOURCEPAGE:p.29
Profane Lifeleech			TYPE:Divine																																										PREABILITY:1,CATEGORY=Special Ability,TYPE.Rebuke Undead																																																																													SOURCEPAGE:p.29
Profane Vigor			TYPE:Divine																																										PREABILITY:1,CATEGORY=Special Ability,TYPE.Rebuke Undead																																										PRESTAT:1,CHA=11																																	SOURCEPAGE:p.29
Quicken Manifestation		TYPE:Monstrous																																																																																													PRETEXT:Ability to manifest from the Ethereal Plane to the Material Plane.																						SOURCEPAGE:p.29
Quicken Turning			TYPE:General		PREABILITY:1,CATEGORY=Special Ability,TYPE.Turn Undead,Rebuke Undead																																																																																																																		SOURCEPAGE:p.29
Requiem				TYPE:General																																									PREABILITY:1,CATEGORY=Special Ability,TYPE.Bardic Music																															PRESKILL:1,TYPE.Perform=8																																										SOURCEPAGE:p.29
Sacred Vengeance			TYPE:Divine			PREABILITY:1,CATEGORY=Special Ability,TYPE.Turn Undead																																																																																																																				SOURCEPAGE:p.30
Sacred Vitality			TYPE:Divine			PREABILITY:1,CATEGORY=Special Ability,TYPE.Turn Undead																																																																																																																				SOURCEPAGE:p.30
Spell Drain				TYPE:Monstrous																																				PRECLASS:1,SPELLCASTER=5	PREFEAT:1,Improved Energy Drain																																								PRESTAT:1,CHA=15					PRETEXT:Energy drain supernatural ability																												SOURCEPAGE:p.30
Spurn Death's Touch		TYPE:Divine			PREABILITY:1,CATEGORY=Special Ability,TYPE.Turn Undead																																																																																																																				SOURCEPAGE:p.30
Stitched Flesh Familiar		TYPE:General																																																																							PREABILITY:1,CATEGORY=Special Ability,TYPE.Familiar							PRESPELLSCHOOL:3,Necromancy=0																																					SOURCEPAGE:p.30
Tomb-Born Fortitude		TYPE:General																								PREALIGN:LN,LE,TN,NE,CN,CE													PREFEAT:1,Tomb-Tainted Soul																																																																																		SOURCEPAGE:p.30
Tomb-Born Resilience		TYPE:General																								PREALIGN:LN,LE,TN,NE,CN,CE													PREFEAT:1,Tomb-Tainted Soul																																																																																		SOURCEPAGE:p.30
Tomb-Born Vitality		TYPE:General																								PREALIGN:LN,LE,TN,NE,CN,CE													PREFEAT:1,Tomb-Tainted Soul																																																																																		SOURCEPAGE:p.31
Tomb-Tainted Soul			TYPE:General																								PREALIGN:LN,LE,TN,NE,CN,CE																																																																																																			SOURCEPAGE:p.31
Undead Leadership			TYPE:General																								PREALIGN:LN,LE,TN,NE,CN,CE																												PRELEVEL:MIN=6																	PRESKILL:1,Knowledge (Religion)=6																																															SOURCEPAGE:p.31
Unquenchable Flame of Life	TYPE:General																																																																																																																															SOURCEPAGE:p.31
Vampire Hunter			TYPE:General																																																																											PRESKILL:1,Knowledge (Religion)=6																																															SOURCEPAGE:p.31

###Block: Descriptions
# Ability					Description
Baleful Moan.MOD				DESC:Your hollow cry strikes fear into the hearts of the living.
Bolster Resistance.MOD			DESC:Undead you raise or create are more resistant to turning than normal.
Contagious Paralysis.MOD		DESC:Your paralyzing attack is contagious.
Corpsecrafter.MOD				DESC:Undead you raise or create are tougher than normal.
Corrupted Wild Shape.MOD		DESC:You have learned to use the necromantic energy that powers your undead form to overcome the inability of undead creatures to wild shape. You can assume the form of an undead, rotten creature with the use of your wild shape ability.
Daunting Presence.MOD			DESC:You are skilled at inducing fear in your opponents.
Deadly Chill.MOD				DESC:Undead you raise or create deal more damage than normal.
Death Master.MOD				DESC:Foes are especially afraid of your critical hits.
Destruction Retribution.MOD		DESC:Undead you raise or create harbor a retributive curse that is unleashed if they are destroyed.
Divine Accuracy.MOD			DESC:You can channel positive energy to give your allies melee attacks another chance to strike true against incorporeal creatures.
Empowered Ability Damage.MOD		DESC:Your ability damage (or ability drain) special attack is more potent than normal.
Empower Turning.MOD			DESC:You can turn or rebuke greater numbers of undead with a single turning attempt.
Endure Sunlight.MOD			DESC:Your vulnerability to sunlight is reduced
Enduring Life.MOD				DESC:You can ignore the effect of negative levels for a short time.
Energize Spell.MOD			DESC:Your spells channel positive energy to deal extra damage to undead creatures, but are less effective against other opponents.
Enervate Spell.MOD			DESC:Your spells channel negative energy to deal extra damage to living creatures, but are less effective against unliving opponents.
Eviscerator.MOD				DESC:The allies of your foes are especially afraid of your critical hits.
Fell Animate.MOD				DESC:Living foes slain by your spell may rise as zombies.
Fell Drain.MOD				DESC:Living foes damaged by your spell also gain a negative level.
Fell Frighten.MOD				DESC:Living foes damaged by your spell are also shaken.
Fell Weaken.MOD				DESC:Living foes damaged by your spell are also weakened.
Ghost Scarred.MOD				DESC:You are adept at fighting incorporeal undead
Ghostly Grasp.MOD				DESC:You can handle corporeal objects even while incorporeal.
Graft Flesh (Aboleth).MOD		DESC:You can apply a certain type of grafts to other living creatures or to yourself.
Graft Flesh (Beholder).MOD		DESC:You can apply a certain type of grafts to other living creatures or to yourself.
Graft Flesh (Fiendish).MOD		DESC:You can apply a certain type of grafts to other living creatures or to yourself.
Graft Flesh (Illithid).MOD		DESC:You can apply a certain type of grafts to other living creatures or to yourself.
Graft Flesh (Undead).MOD		DESC:You can apply a certain type of grafts to other living creatures or to yourself.
Graft Flesh (Yuan-Ti).MOD		DESC:You can apply a certain type of grafts to other living creatures or to yourself.
Harden Flesh.MOD				DESC:Undead you raise or create can better handle themselves in a fight.
Heighten Turning.MOD			DESC:You can affect more powerful undead with your turning or rebuking attempts.
Improved Energy Drain.MOD		DESC:You draw extra power from your energy-drained victims.
Improved Paralysis.MOD			DESC:You are better at paralyzing your victims.
Improved Toughness.MOD			DESC:You are significantly tougher than normal.
Improved Turn Resistance.MOD		DESC:You have a better than normal chance to resist turning.
Lasting Life.MOD				DESC:You can shed negative levels with an act of will.
Life Drain.MOD				DESC:You drain additional life energy from your foes.
Lifebond.MOD				DESC:Select a specific living creature that is friendly to you. You create a special bond with that creature.
Lifesense.MOD				DESC:You see the light that all living creatures emit.
Mother Cyst.MOD				DESC:You gain the ability to cast necrotic cyst spells by growing a cyst of your own.
Necromantic Might.MOD			DESC:Undead you control gain benefits when they are near you.
Necromantic Presence.MOD		DESC:Undead you control are harder to turn when they are near you.
Necrotic Rserve.MOD			DESC:You are not immediately destroyed when your hit points fall to 0 or lower.
Necropotent.MOD				DESC:Your special melee or ranged attack with one type of weapon is especially effective against undead.
Nimble Bones.MOD				DESC:Undead you raise or create are faster and more nimble than normal.
Positive Energy Resistance.MOD	DESC:You are resistant to the damage dealt by positive energy effects.
Profane Lifeleech.MOD			DESC:You can channel negative energy to draw the life force from nearby living creatures.
Profane Vigor.MOD				DESC:You can channel negative energy to heal nearby undead allies of physical damage.
Quicken Manifestation.MOD		DESC:You can manifest from the Ethereal Plane with a moments thought.
Quicken Turning.MOD			DESC:You can turn or rebuke undead with a moment's thought.
Requiem.MOD					DESC:Your bardic music affects undead creatures.
Sacred Vengeance.MOD			DESC:You can channel energy to deal extra damage against undead in melee.
Sacred Vitality.MOD			DESC:You can channel positive energy to gain protection from damage to your abilities or your life force.
Spell Drain.MOD				DESC:You can cast any spell that you drain from a creatures mind.
Spurn Death's Touch.MOD			DESC:You can channel divine energy to remove some of the harmful effects of attacks made by undead creatures.
Stitched Flesh Familiar.MOD		DESC:When you are ready and able to acquire a new familiar, you may choose to gain a stitched flesh familiar.
Tomb-Born Fortitude.MOD			DESC:The power of undeath taints you, body and soul. Its power has hardened your flesh and given it the foul look of the grave.
Tomb-Born Resilience.MOD		DESC:The power of undeath taints you, deadening your mind and body to the effects of mindcontrolling magic, poison, and disease.
Tomb-Born Vitality.MOD			DESC:The power of undeath taints you, body and soul. Its power has removed your need to sleep and eat.
Tomb-Tainted Soul.MOD			DESC:Your soul is tainted by the foul touch of undeath.
Undead Leadership.MOD			DESC:You gain the service of loyal undead followers.
Unquenchable Flame of Life.MOD	DESC:You are hardened to the attacks of the undead.
Vampire Hunter.MOD			DESC:Your knowledge of vampires has given you the extraordinary ability to detect subtle signs of their presence and to resist their dominating gaze ability.

###Block: Benefit
# Ability					Benefit
Baleful Moan.MOD				BENEFIT:You can emit a moan as a standard action. All living creatures within a 30-foot spread must succeed on a Will save (DC 10 + 1/2 your HD + your Cha modifier) or become shaken for 1 minute. This is a supernatural, sonic, necromantic, mindaffecting, fear effect. A creature that successfully saves against the moan cannot be affected by your moan for 24 hours.
Bolster Resistance.MOD			BENEFIT:Each undead you raise or create with any necromancy spell gains +4 turn resistance.
Contagious Paralysis.MOD		BENEFIT:Any creature paralyzed by your special attack can confer paralysis to other creatures that touch it. Any creature touching a creature that you have paralyzed is immediately affected as if you had delivered a paralyzing attack upon it (using the same save DC to resist, if allowed). If a creature successfully saves against your contagious paralysis attack, it cant be affected by your attack for 24 hours.
Corpsecrafter.MOD				BENEFIT:Each undead you raise or create with any necromancy spell gains a +4 enhancement bonus to Strength and +2 hit points per Hit Die.
Corrupted Wild Shape.MOD		BENEFIT:You can use your wild shape ability even though you are undead. The ability functions just as if you were a living creature using the ability, with the following exceptions. You do not gain a Constitution score in the new form, and you retain all the immunities of the undead type while in your new form. The form you assume looks half-decayed, with missing patches of fur and rotted, worm-eaten flesh. While you are in this form, the rank odor of death hangs around you.
Daunting Presence.MOD			BENEFIT:You may take a standard action to awe an opponent. The opponent must be within 30 feet, have line of sight to you, and have an Intelligence score. If the opponent fails a Will saving throw (DC 10 + 1/2 your character level + your Cha modifier), it is shaken for 10 minutes. This feat has no effect on a creature that is already shaken.
Deadly Chill.MOD				BENEFIT:Each corporeal undead you raise or create with any necromancy spell deals an extra 1d6 points of cold damage with its natural weapons.
Death Master.MOD				BENEFIT:Whenever you score a critical hit with a melee attack against a living foe, the foe is also shaken for 1 minute. This is a mind-affecting, fear effect.
Destruction Retribution.MOD		BENEFIT:Each undead you raise or create with any necromancy spell releases a burst of negative energy upon its destruction, dealing 1d6 points of damage plus an additional 1d6 points per 2 Hit Dice to every creature within a 10-foot spread (Reflex DC 15 half). This damage comes from negative energy, and it therefore heals undead creatures.
Divine Accuracy.MOD			BENEFIT:Spend one of your turn or rebuke attempts to grant all your allies (including yourself) within a 60-foot burst the ability to reroll their miss chance with melee attacks whenever they miss a foe because of a miss chance caused by incorporealness. This effect lasts for 1 minute and can be used once per missed attack.
Empowered Ability Damage.MOD		BENEFIT:All variable, numeric effects of an empowered ability damage or ability drain special attack are increased by 50%%. For example, an allip with this feat drains 1-1/2 times the normal amount of Wisdom (roll 1d4 and multiply the result by 1-1/2).
Empower Turning.MOD			BENEFIT:You can turn or rebuke more undead than usual. After adding your cleric level and Charisma modifier to your turning damage roll, multiply the result by 1-1/2.
Endure Sunlight.MOD			BENEFIT:You can resist all dangerous effects of sunlight for a number of rounds equal to 1 + your Charisma modifier (minimum 1 round). After this time, if you are still exposed to sunlight, you take the normal effects as appropriate for your kind.
Enduring Life.MOD				BENEFIT:Whenever you would gain a negative level, you can ignore the penalties and other ill effects associated with that negative level for a number of minutes equal to your Constitution bonus (if any). For example, if Tordek (Con 15) is struck by a wight, he gains one negative level. However, he can ignore the 1 penalty on attack rolls, saves, ability checks, and skill checks associated with that negative level for 2 minutes, since his Constitution bonus is +2. (If Tordek were a spellcaster, he would also avoid losing a spell slot for 2 minutes.) You also gain a +4 bonus on Fortitude saves to remove negative levels.
Energize Spell.MOD			BENEFIT:Your spells are infused with positive energy. An energized spell deals an extra 50%% damage to undead creatures, but deals 50%% less damage to nonundead creatures and to objects. An energized spell uses up a spell slot one level higher than the spells actual level.
Enervate Spell.MOD			BENEFIT:Your spells are infused with negative energy. An enervated spell deals an extra 50%% damage to living creatures, but deals 50%% less damage to constructs, undead, and objects. An enervated spell uses up a spell slot two levels higher than the spells actual level.
Eviscerator.MOD				BENEFIT:Whenever you score a critical hit with a melee attack against a living foe, creatures within 30 feet that are allied to that foe are shaken for 1 minute. This is a mind-affecting, fear effect.
Fell Animate.MOD				BENEFIT:You can alter a spell that deals damage to foes. Any living creature that could normally be raised as a zombie and that does not possess more than double your Hit Dice, when slain outright by a fell animated spell, rises as a zombie under your control at the beginning of your next action. Even if you kill several creatures with a single fell animated spell, you cant create more Hit Dice of undead than twice your caster level. The standard rules for controlling undead (see animate dead, page 198 of the Players Handbook) apply to newly created undead gained through this metamagic feat. A fell animated spell uses up a spell slot three levels higher than the spells actual level.
Fell Drain.MOD				BENEFIT:You can alter a spell that deals damage to foes so that any living creature that is dealt damage also gains a negative level. If the subject has at least as many negative levels as Hit Dice, it dies. Assuming the subject survives, the negative level disappears (without requiring a Fortitude save) after a number of hours equal to your caster level (maximum 15). A fell draining spell uses up a spell slot two levels higher than the spells actual level.
