# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)


# Ability Category					Visible		Editable?		Change Pool?	Category of Object		Type of Object				Plural description for UI		Display Location
ABILITYCATEGORY:Goliath Race Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Goliath Race Trait			PLURAL:Goliath Race Traits		DISPLAYLOCATION:Race Traits
ABILITYCATEGORY:Whisper Gnome Race Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WhisperGnome Race Trait		PLURAL:Whisper Gnome Race Traits	DISPLAYLOCATION:Race Traits


# Class Features
ABILITYCATEGORY:Dwarf Cleric Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Dwarf Cleric Class Feature	PLURAL:Dwarf Cleric Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Battlesmith Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Battlesmith Class Feature	PLURAL:Battlesmith Class Features	DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:Barbarian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Barbarian Class Feature	PLURAL:Barbarian Class Features	DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:Barbarian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Barbarian Class Feature	PLURAL:Barbarian Class Features	DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:Barbarian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Barbarian Class Feature	PLURAL:Barbarian Class Features	DISPLAYLOCATION:Class Features

ABILITYCATEGORY:Stonechild Race Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Stonechild Race Trait			PLURAL:Stonechild Race Traits		DISPLAYLOCATION:Race Traits
ABILITYCATEGORY:Feral Gargun Race Trait				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Feral Gargun Race Trait			PLURAL:Feral Gargun Race Traits		DISPLAYLOCATION:Race Traits

ABILITYCATEGORY:Feral Gargun Race Progression		POOL:POOL_Feral_Gargun_Race_Choice		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Internal		TYPE:Feral_Gargun_Race_Selection					DISPLAYLOCATION:Race Traits
ABILITYCATEGORY:Stonechild Race Progression	POOL:POOL_Stonechild_Race_Choice	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Internal	TYPE:Stonechild_Race_Selection				DISPLAYLOCATION:Race Traits
