Race Traits ~ Spellscale	CATEGORY:Internal			ABILITY:Spellscale Race Trait|AUTOMATIC|Spellscale ~ Racial Traits|Spellscale ~ Blood Quickening


Spellscale Racial Traits	KEY:Spellscale ~ Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellscaleRaceTrait
	DESC:Blood Quickening: Each day, a spellscale can perform a draconic meditation to gain a benefit. Variations of this meditation are described in the Blood-Quickening Meditations sidebar, page 25.

Blood Quickening	KEY:Spellscale ~ Blood Quickening	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellscaleRaceTrait	DESC:Each day, a spellscale can perform a draconic meditation to gain a benefit. Variations of this meditation are described in the Blood-Quickening Meditations sidebar, page 25.


#COMMENT: This should be a given for Kobolds.
CATEGORY=Internal|Race Traits ~ Kobold.MOD	BONUS:ABILITYPOOL|Kobold Draconic Rite of Passage|1


#ABILITY:Kobold Race Trait|AUTOMATIC|Kobold  ~ Racial Traits

#Kobold Racial Traits	KEY:Kobold ~ Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality
#	DESC:+1 natural armor bonus.
#	DESC:Darkvision: Kobolds can see in the dark up to 60 feet. Darkvision is black and white only, but it is otherwise like normal sight. Kobolds can function just fine with no light at all.
#	DESC:All kobolds add Craft (trapmaking) to their list of class skills.
#	DESC:+2 racial bonus on Craft (trapmaking), Profession (miner), and Search checks.
#	DESC:Light Sensitivity: Kobolds are dazzled in bright sunlight or within the radius of a daylight spell.


#Darkvision	KEY:Kobold ~ Darkvision	CATEGORY:Special Ability	TYPE:KoboldRaceTrait	DESC:Kobolds can see in the dark up to 60 feet. Darkvision is black and white only, but it is otherwise like normal sight. Kobolds can function just fine with no light at all.
#	DESC:All kobolds add Craft (trapmaking) to their list of class skills.
#	DESC:+2 racial bonus on Craft (trapmaking), Profession (miner), and Search checks.
#	DESC:Light Sensitivity: Kobolds are dazzled in bright sunlight or within the radius of a daylight spell.



###Block: Template - Draconic Creature
Saves	KEY:Draconic Creature ~ Saves	CATEGORY:Special Ability	TYPE:SpecialQuality	DESC:Draconic creatures have a +4 racial bonus on saves against magic sleep effects and paralysis.	ASPECT:SaveInfo|+4 racial bonus on saves against magic sleep effects and paralysis.

###Block: Misc
Draconic Rite of Passage	KEY:Kobold ~ Draconic Rite of Passage	COST:1	PRERACE:1,Kobold%	BONUS:HP|CURRENTMAX|-1	CATEGORY:Special Ability	TYPE:KoboldDraconicRiteOfPassage.SpecialQuality	BONUS:ABILITYPOOL|Kobold SLA|1	DESC:The Draconic Rite of Passage awakens the sorcerous power within the blood of kobolds.	PRETEXT:Only kobolds can undergo the Draconic Rite of Passage. A kobold requires no one else to perform the rite; it is a solitary activity.	BENEFIT:Upon completing this rite, a kobold chooses any 1st-level sorcerer spell. He can now use that spell once per day as a spell-like ability, using his character level as his caster level. Each day, a kobold must complete the Searching for the Dragon meditation (see above) in order to recharge this spell-like ability for the day. No kobold can benefi t from this rite more than once. Time: A kobold who undergoes this rite must fi rst endure nine days of fasting. Immediately thereafter, the kobold must succeed on a DC 10 Concentration check to enter a deep trance that lasts for 24 hours. If the check fails, the rite must begin anew. Cost: This rite requires sacrifi cing a gem of at least 100 gp in value. The kobold also permantly loses 1 hit point upon completion of the rite.
No Draconic Rite of Passage	KEY:Kobold ~ No Draconic Rite of Passage	COST:1	PRERACE:1,Kobold%		CATEGORY:Special Ability	TYPE:KoboldDraconicRiteOfPassage

# PH Spells Only
Alarm	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Alarm	ABILITY:Spell-Like Ability|AUTOMATIC|Alarm	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|AlarmTimes|1	BONUS:VAR|AlarmLVL|TL		
Endure Elements	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Endure Elements	ABILITY:Spell-Like Ability|AUTOMATIC|Endure Elements	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|EndureElementsTimes|1	BONUS:VAR|EndureElementsLVL|TL		
Hold Portal	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Hold Portal	ABILITY:Spell-Like Ability|AUTOMATIC|Hold Portal	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|HoldPortalTimes|1	BONUS:VAR|HoldPortalLVL|TL		
Protection from Chaos	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Protection from Chaos	ABILITY:Spell-Like Ability|AUTOMATIC|Protection from Chaos	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ProtectionFromChaosTimes|1	BONUS:VAR|ProtectionFromChaosLVL|TL		
Protection from Evil	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Protection from Evil	ABILITY:Spell-Like Ability|AUTOMATIC|Protection from Evil	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ProtectionFromEvilTimes|1	BONUS:VAR|ProtectionFromEvilLVL|TL		
Protection from Good	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Protection from Good	ABILITY:Spell-Like Ability|AUTOMATIC|Protection from Good	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ProtectionFromGoodTimes|1	BONUS:VAR|ProtectionFromGoodLVL|TL		
Protection from Law	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Protection from Law	ABILITY:Spell-Like Ability|AUTOMATIC|Protection from Law	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ProtectionFromLawTimes|1	BONUS:VAR|ProtectionFromLawLVL|TL		
Shield	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Shield	ABILITY:Spell-Like Ability|AUTOMATIC|Shield	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ShieldTimes|1	BONUS:VAR|ShieldLVL|TL		
# Conjuration
Grease	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Grease	ABILITY:Spell-Like Ability|AUTOMATIC|Grease	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|GreaseTimes|1	BONUS:VAR|GreaseLVL|TL		
Mage Armor	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Mage Armor	ABILITY:Spell-Like Ability|AUTOMATIC|Mage Armor	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|MageArmorTimes|1	BONUS:VAR|MageArmorLVL|TL		
Mount	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Mount	ABILITY:Spell-Like Ability|AUTOMATIC|Mount	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|MountTimes|1	BONUS:VAR|MountLVL|TL		
Obscuring Mist	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Obscuring Mist	ABILITY:Spell-Like Ability|AUTOMATIC|Obscuring Mist	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ObscuringMistTimes|1	BONUS:VAR|ObscuringMistLVL|TL		
Summon Monster I	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Summon Monster I	ABILITY:Spell-Like Ability|AUTOMATIC|Summon Monster I	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|SummonMonsterITimes|1	BONUS:VAR|SummonMonsterILVL|TL		
Unseen Servant	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Unseen Servant	ABILITY:Spell-Like Ability|AUTOMATIC|Unseen Servant	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|UnseenServantTimes|1	BONUS:VAR|UnseenServantLVL|TL		
# Divination
Comprehend Languages	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Comprehend Languages	ABILITY:Spell-Like Ability|AUTOMATIC|Comprehend Languages	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ComprehendLanguagesTimes|1	BONUS:VAR|ComprehendLanguagesLVL|TL		
