

ABILITYCATEGORY:Elf Wizard Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		POOL:Pool_ElfWizardFeat	CATEGORY:FEAT						PLURAL:Elf Wizard Bonus Feats	DISPLAYLOCATION:Feats	ABILITYLIST:Defensive Archery|Far Shot|Point Blank Shot|Precise Shot|Rapid Shot|Weapon Focus (longbow)|Weapon Focus (shortbow)


ABILITYCATEGORY:Ruathar Martial Weapon Proficiency	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT		DISPLAYLOCATION:Class Features	ABILITYLIST:Martial Weapon Proficiency(longsword)|Martial Weapon Proficiency(rapier)|Martial Weapon Proficiency(longbow)|Martial Weapon Proficiency(shortbow)

# Class Features
ABILITYCATEGORY:Arcane Hierophant Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		TYPE:Arcane Hierophant Class Feature	CATEGORY:Special Ability		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Champion of Corellon Larethian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		TYPE:Champion of Corellon Larethian Class Feature	CATEGORY:Special Ability		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Luckstealer Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		TYPE:Luckstealer Class Feature	CATEGORY:Special Ability		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Ruathar Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		TYPE:Ruathar Class Feature	CATEGORY:Special Ability		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Skypledged Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		TYPE:Skypledged Class Feature	CATEGORY:Special Ability		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Stormtalon Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		TYPE:Stormtalon Class Feature	CATEGORY:Special Ability		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Whisperknife Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		TYPE:Whisperknife Class Feature	CATEGORY:Special Ability		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Wildrunner Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		TYPE:Wildrunner Class Feature	CATEGORY:Special Ability		DISPLAYLOCATION:Class Features
