# CVS $Revision: $ $Author: $ -- Mon Jun  3 22:31:18 2013 -- reformated by prettylst.pl v1.50 (build 19967)

# Skill Name				Key Stat	Untrained?		Type							Source Page
Knowledge (Hearth Wisdom)		KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge.Standard	SOURCEPAGE:p.10
Knowledge (Literature)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge.Standard	SOURCEPAGE:p.10
Knowledge (Mathematics)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge.Standard	SOURCEPAGE:p.10
Knowledge (Politics)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge.Standard	SOURCEPAGE:p.10
Knowledge (Streetwise)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge.Standard	SOURCEPAGE:p.10
Knowledge (War)				KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge.Standard	SOURCEPAGE:p.10
# Master Samurai Class References this:
Knowledge (Code of Martial Honor)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge.Standard	SOURCEPAGE:p.29
# Weapon Master Class References this:
Knowledge (Weaponry)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge.Standard	SOURCEPAGE:p.39
