
CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

															


#----DESERT WIND															
BLISTERING FLOURISH	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	SOURCEPAGE:p.52	SPELLKNOWN:CLASS|Swordsage=1|BLISTERING FLOURISH	PREVARGTEQ:SwordsageInitiatorManeuverLVL,1	ASPECT:Initiation Action|1 standard action	ASPECT:Range|30 ft.	ASPECT:Target Area|30-ft.-radius burst centered on you	ASPECT:Duration|1 minute	ASPECT:Save Info|Fortitude negates	DESC:Your weapon bursts into flames as you twirl it over your head. With a flourish, you cause the fire to explode with a blinding flash. When you use this strike, you generate a burst of brilliant light. Any creature other than you caught in this maneuver's area must make a Fortitude save (DC 11 + your Wis modifier) or be dazzled for 1 minute. This maneuver is a supernatural ability.				
BURNING BLADE	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Boost	ASPECT:Descriptor|Fire	SOURCEPAGE:p.52	SPELLKNOWN:CLASS|Swordsage=1|BURNING BLADE	PREVARGTEQ:SwordsageInitiatorManeuverLVL,1	ASPECT:Initiation Action|1 swift action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|End of turn	DESC:Your blade bursts into flame as it sweeps toward your foe in an elegant arc. A subtle yet precise twisting of your blade unlocks the power of flame. When you initiate this maneuver, fire trails from your melee weapon. For the rest of your turn, your melee attacks deal an extra 1d6 points of fire damage + 1 point per initiator level. This maneuver is a supernatural ability.				
BURNING BRAND	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Boost	ASPECT:Descriptor|Fire	SOURCEPAGE:p.52	SPELLKNOWN:CLASS|Swordsage=2|BURNING BRAND	PREVARGTEQ:SwordsageInitiatorManeuverLVL,2	ASPECT:Initiation Action|1 swift action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|End of turn	DESC:Your weapon transforms into a roaring gout of flame. As you swing your burning blade, it stretches out beyond your normal reach to scorch your foes. When you initiate this maneuver, your weapon turns into a burning brand for the rest of your turn. The brand increases your reach by 5 feet, and your melee attacks made with the brand deal fire damage equal to your normal melee damage. You still gain all the normal benefits from a high Strength score, feats, and other effects that increase your melee damage. For example, an attack with a longsword that normally deals 1d8+4 points of slashing damage would instead deal 1d8+4 points of fire damage. You otherwise attack with your weapon as normal. This maneuver is a supernatural ability.				
DEATH MARK	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.52	SPELLKNOWN:CLASS|Swordsage=3|DEATH MARK	PREVARGTEQ:SwordsageInitiatorManeuverLVL,3	ASPECT:Initiation Action|1 standard action	ASPECT:Range|Melee attack	ASPECT:Target Area|One creature	ASPECT:Target Area|Variable spread; see text	ASPECT:Duration|Instantaneous	ASPECT:Save Info|Reflex half; see text	DESC:As your weapon strikes your foe, his body convulses as waves of flame run down your blade into his body. The fire causes him to briefly glow with a brilliant internal fire before the flames erupt from his body in a terrible explosion. When you use the strike, you channel overwhelming fiery energy into the body of your foe. In addition to dealing normal melee damage with your attack, you cause fire to erupt from your enemy's body in a spread. The radius of the spread is determined by the size of the target creature, as indicated on the table below. All creatures in the area, including your enemy, take 6d6 points of fire damage, with a Reflex save (DC 13 + your Wis modifier) for half. This radius is centered on the creature's position. You have immunity to the fire damage from your own death mark. This maneuver is a supernatural ability.		
DESERT TEMPEST	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	SOURCEPAGE:p.52	SPELLKNOWN:CLASS|Swordsage=6|DESERT TEMPEST	PREVARGTEQ:SwordsageInitiatorManeuverLVL,6	PREABILITY:2,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 full-round action	ASPECT:Range|Personal	ASPECT:Target Area|You	DESC:You move in a blur, leaving scorch marks in your wake as you twirl around the battlefi eld, slicing into your foes as you move. As part of this maneuver, you move up to your speed. Each time you exit a square adjacent to an enemy, you can first make a single melee attack against that foe. You cannot attack a single enemy more than once with this maneuver. Your movement provokes attacks of opportunity, as normal.					
DISTRACTING EMBER	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Boost	SOURCEPAGE:p.52	SPELLKNOWN:CLASS|Swordsage=1|DISTRACTING EMBER	PREVARGTEQ:SwordsageInitiatorManeuverLVL,1	ASPECT:Initiation Action|1 swift action	ASPECT:Range|30 ft.	ASPECT:Target Area| One summoned fire elemental	ASPECT:Duration|End of turn	DESC:A wave of heat sweeps over the area, forms a small dust funnel, and ignites into flame next to your foe. This boost allows you to conjure a Small fire elemental (MM 99) to threaten your enemy, providing you or an ally with the benefit of a flanking position. You can use this ability to place the elemental in any space within range. The elemental remains until the end of your current turn. It threatens all creatures within its reach. It takes no actions or attacks of opportunity during your turn. This maneuver is a supernatural ability.					
DRAGON'S FLAME	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.53	SPELLKNOWN:CLASS|Swordsage=5|DRAGON'S FLAME	PREVARGTEQ:SwordsageInitiatorManeuverLVL,5	PREABILITY:2,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 standard action	ASPECT:Range|30 ft.	ASPECT:Target Area|Cone	ASPECT:Duration|Instantaneous	ASPECT:Save Info|Reflex half	DESC:With a defiant roar, you summon your ki and unleash it, igniting it with a combination of your meditative focus and seething fury. As a master of the Desert Wind advances in his studies, he learns to stoke raging fires with his ki. This maneuver allows you to generate a gout of fire similar to a dragon's burning breath. With this maneuver, you blast forth a cone of fire that deals 6d6 points of fire damage to everything in the area. Creatures in the area can attempt Reflex saves (DC 15 + your Wis modifier) for half damage. This maneuver is a supernatural ability.		
FAN THE FLAMES	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.53	SPELLKNOWN:CLASS|Swordsage=3|FAN THE FLAMES	PREVARGTEQ:SwordsageInitiatorManeuverLVL,3	PREABILITY:1,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 standard action	ASPECT:Range|30 ft.	ASPECT:Target Area|One creature	DESC:Flickering flame dances across your blade, then springs toward your target as you sweep your sword through the air. A skilled Desert Wind adept can gather flame within his weapon and hurl it through the air. When you initiate this maneuver, you launch a fist-sized ball of white-hot fire at a single opponent. If you make a successful ranged touch attack, your target takes 6d6 points of fire damage. This maneuver is a supernatural ability.				
FIERY ASSAULT	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind.Stance	ASPECT:Descriptor|Fire	SOURCEPAGE:p.53	SPELLKNOWN:CLASS|Swordsage=6|FIERY ASSAULT	PREVARGTEQ:SwordsageInitiatorManeuverLVL,6	PREABILITY:2,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 swift action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|Stance	DESC:Fire dances along your arms and across your weapon, lending burning energy to every attack you make. While you are in this stance, every melee attack you make deals an extra 1d6 points of fire damage. This stance is a supernatural ability.			
FIRE RIPOSTE	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Counter	ASPECT:Descriptor|Fire	SOURCEPAGE:p.53	SPELLKNOWN:CLASS|Swordsage=2|FIRE RIPOSTE	PREVARGTEQ:SwordsageInitiatorManeuverLVL,2	PREABILITY:1,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 immediate action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|Instantaneous	DESC:You focus the pain from a wound you have just suffered into a fiery manifestation of revenge. When a creature successfully strikes you with a melee or natural weapon, you can use this maneuver to give yourself the ability to make an immediate melee touch attack. If your attack hits, your target takes 4d6 points of fire damage. This maneuver is a supernatural ability.			
FIRESNAKE	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.53	SPELLKNOWN:CLASS|Swordsage=4|FIRESNAKE	PREVARGTEQ:SwordsageInitiatorManeuverLVL,4	PREABILITY:2,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 standard action	ASPECT:Range|60 ft.	ASPECT:Target Area|Special	ASPECT:Duration|Instantaneous	ASPECT:Save Info|Reflex half	DESC:You drive your weapon into the ground, causing a gout of fire to jet into the air. The fire flows back to the ground and creeps ahead like a serpent, sweeping over your enemies and roasting them where they stand. When you initiate this maneuver, you cause a line of fire to twist across an area to burn your enemies. This line is 60 feet long. Unlike a standard line, a firesnake can bend and twist to hit your foes. A firesnake starts in an adjacent square. It can move up to 60 feet each round. It can move out of your line of sight or line of effect, but you gain no special knowledge of the areas it moves into. If a firesnake moves into a creature's space, that creature takes 6d6 points of fire damage, with a Reflex save (DC 14 + your Wis modifier) for half damage. A creature can only take damage from the firesnake once in a single round. It makes the saving throw and takes damage the first time that the firesnake touches it. After that, a firesnake has no effect on that creature. A firesnake must move along the ground. It cannot fly, and it pays the standard movement penalties for diffi cult terrain and other effects. This maneuver is a supernatural ability.		
