# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# This doesn't take into account (Paladin) spells from other sources.  No way to 'Remove spells from a spell list'
# Spell Name				Classes of caster							Description
Protection from Law.MOD			CLASSES:Paladin=1[PRECLASS:1,Paladin of Freedom=1]

Magic Circle against Law.MOD		CLASSES:Paladin=3[PRECLASS:1,Paladin of Freedom=1]
Remove Curse.MOD				CLASSES:Paladin=3[PRECLASS:1,Paladin of Freedom=1]

Dispel Law.MOD				CLASSES:Paladin=4[PRECLASS:1,Paladin of Freedom=1]
Freedom of Movement.MOD			CLASSES:Paladin=4[PRECLASS:1,Paladin of Freedom=1]

Bane.MOD					CLASSES:Paladin of Slaughter=1
Cause Fear.MOD				CLASSES:Paladin of Slaughter=1
Corrupt Weapon.MOD			CLASSES:Paladin of Slaughter=1
Create Water.MOD				CLASSES:Paladin of Slaughter=1
Curse Water.MOD				CLASSES:Paladin of Slaughter=1
Detect Poison.MOD				CLASSES:Paladin of Slaughter=1
Detect Undead.MOD				CLASSES:Paladin of Slaughter=1
Divine Favor.MOD				CLASSES:Paladin of Slaughter=1
Endure Elements.MOD			CLASSES:Paladin of Slaughter=1
Inflict Light Wounds.MOD		CLASSES:Paladin of Slaughter=1
Magic Weapon.MOD				CLASSES:Paladin of Slaughter=1
Protection from Good.MOD		CLASSES:Paladin of Slaughter=1
Protection from Law.MOD			CLASSES:Paladin of Slaughter=1
Read Magic.MOD				CLASSES:Paladin of Slaughter=1
Resistance.MOD				CLASSES:Paladin of Slaughter=1
Virtue.MOD					CLASSES:Paladin of Slaughter=1

Bull's Strength.MOD			CLASSES:Paladin of Slaughter=2
Cure Light Wounds.MOD			CLASSES:Paladin of Slaughter=2
Darkness.MOD				CLASSES:Paladin of Slaughter=2
Delay Poison.MOD				CLASSES:Paladin of Slaughter=2
Eagle's Splendor.MOD			CLASSES:Paladin of Slaughter=2
Inflict Moderate Wounds.MOD		CLASSES:Paladin of Slaughter=2
Owl's Wisdom.MOD				CLASSES:Paladin of Slaughter=2
Resist Energy.MOD				CLASSES:Paladin of Slaughter=2
Undetectable Alignment.MOD		CLASSES:Paladin of Slaughter=2

Blindness/Deafness.MOD			CLASSES:Paladin of Slaughter=3
Cure Moderate Wounds.MOD		CLASSES:Paladin of Slaughter=3
Deeper Darkness.MOD			CLASSES:Paladin of Slaughter=3
Dispel Magic.MOD				CLASSES:Paladin of Slaughter=3
Magic Weapon (Greater).MOD		CLASSES:Paladin of Slaughter=3
Heal Mount.MOD				CLASSES:Paladin of Slaughter=3
Prayer.MOD					CLASSES:Paladin of Slaughter=3
Inflict Serious Wounds.MOD		CLASSES:Paladin of Slaughter=3
Magic Circle against Good.MOD		CLASSES:Paladin of Slaughter=3
Magic Circle against Law.MOD		CLASSES:Paladin of Slaughter=3

Break Enchantment.MOD			CLASSES:Paladin of Slaughter=4
Cure Serious Wounds.MOD			CLASSES:Paladin of Slaughter=4
Dispel Good.MOD				CLASSES:Paladin of Slaughter=4
Dispel Law.MOD				CLASSES:Paladin of Slaughter=4
Inflict Critical Wounds.MOD		CLASSES:Paladin of Slaughter=4
Poison.MOD					CLASSES:Paladin of Slaughter=4

Bane.MOD					CLASSES:Paladin of Tyranny=1
Corrupt Weapon.MOD			CLASSES:Paladin of Tyranny=1
Create Water.MOD				CLASSES:Paladin of Tyranny=1
Curse Water.MOD				CLASSES:Paladin of Tyranny=1
Detect Poison.MOD				CLASSES:Paladin of Tyranny=1
Detect Undead.MOD				CLASSES:Paladin of Tyranny=1
Divine Favor.MOD				CLASSES:Paladin of Tyranny=1
Doom.MOD					CLASSES:Paladin of Tyranny=1
Endure Elements.MOD			CLASSES:Paladin of Tyranny=1
Inflict Light Wounds.MOD		CLASSES:Paladin of Tyranny=1
Magic Weapon.MOD				CLASSES:Paladin of Tyranny=1
Protection from Good.MOD		CLASSES:Paladin of Tyranny=1
Protection from Chaos.MOD		CLASSES:Paladin of Tyranny=1
Read Magic.MOD				CLASSES:Paladin of Tyranny=1
Resistance.MOD				CLASSES:Paladin of Tyranny=1
Virtue.MOD					CLASSES:Paladin of Tyranny=1

Bull's Strength.MOD			CLASSES:Paladin of Tyranny=2
Cure Light Wounds.MOD			CLASSES:Paladin of Tyranny=2
Darkness.MOD				CLASSES:Paladin of Tyranny=2
Delay Poison.MOD				CLASSES:Paladin of Tyranny=2
Eagle's Splendor.MOD			CLASSES:Paladin of Tyranny=2
Hold Person.MOD				CLASSES:Paladin of Tyranny=2
Inflict Moderate Wounds.MOD		CLASSES:Paladin of Tyranny=2
Owl's Wisdom.MOD				CLASSES:Paladin of Tyranny=2
Resist Energy.MOD				CLASSES:Paladin of Tyranny=2
Undetectable Alignment.MOD		CLASSES:Paladin of Tyranny=2

Bestow Curse.MOD				CLASSES:Paladin of Tyranny=3
Cure Moderate Wounds.MOD		CLASSES:Paladin of Tyranny=3
Deeper Darkness.MOD			CLASSES:Paladin of Tyranny=3
Discern Lies.MOD				CLASSES:Paladin of Tyranny=3
Dispel Magic.MOD				CLASSES:Paladin of Tyranny=3
Magic Weapon (Greater).MOD		CLASSES:Paladin of Tyranny=3
Heal Mount.MOD				CLASSES:Paladin of Tyranny=3
Prayer.MOD					CLASSES:Paladin of Tyranny=3
Inflict Serious Wounds.MOD		CLASSES:Paladin of Tyranny=3
Magic Circle against Good.MOD		CLASSES:Paladin of Tyranny=3
Magic Circle against Chaos.MOD	CLASSES:Paladin of Tyranny=3

Break Enchantment.MOD			CLASSES:Paladin of Tyranny=4
Cure Serious Wounds.MOD			CLASSES:Paladin of Tyranny=4
Dispel Good.MOD				CLASSES:Paladin of Tyranny=4
Dispel Chaos.MOD				CLASSES:Paladin of Tyranny=4
Dominate Person.MOD			CLASSES:Paladin of Tyranny=4
Inflict Critical Wounds.MOD		CLASSES:Paladin of Tyranny=4

Unholy Sword				CLASSES:Paladin of Slaughter,Paladin of Tyranny=4	DESC:There is no official spell of this name.


#1st-
Comprehend Languages.MOD		CLASSES:Ranger (Urban Ranger)=1
Detect Chaos.MOD				CLASSES:Ranger (Urban Ranger)=1
Detect Good.MOD				CLASSES:Ranger (Urban Ranger)=1
Detect Evil.MOD				CLASSES:Ranger (Urban Ranger)=1
Detect Law.MOD				CLASSES:Ranger (Urban Ranger)=1
Detect Secret Doors.MOD			CLASSES:Ranger (Urban Ranger)=1
Message.MOD					CLASSES:Ranger (Urban Ranger)=1
#2nd-
Detect Thoughts.MOD			CLASSES:Ranger (Urban Ranger)=2
Knock.MOD					CLASSES:Ranger (Urban Ranger)=2
Locate Object.MOD				CLASSES:Ranger (Urban Ranger)=2
Eagle's Splendor.MOD			CLASSES:Ranger (Urban Ranger)=2
#3rd-
Discern Lies.MOD				CLASSES:Ranger (Urban Ranger)=2
Invisibility.MOD				CLASSES:Ranger (Urban Ranger)=2
Speak with Dead.MOD			CLASSES:Ranger (Urban Ranger)=2
Tongues.MOD					CLASSES:Ranger (Urban Ranger)=2
#4th-
Dimensional Anchor.MOD			CLASSES:Ranger (Urban Ranger)=4
Locate Creature.MOD			CLASSES:Ranger (Urban Ranger)=4
Mage's Faithful Hound.MOD		CLASSES:Ranger (Urban Ranger)=4
True Seeing.MOD				CLASSES:Ranger (Urban Ranger)=4

# Cloistered Cleric
#0-
Message.MOD					CLASSES:Cleric (Cloistered Cleric)=0
#1st-
Erase.MOD					CLASSES:Cleric (Cloistered Cleric)=1
Identify.MOD				CLASSES:Cleric (Cloistered Cleric)=1
Unseen Servant.MOD			CLASSES:Cleric (Cloistered Cleric)=1
#2nd-
