
# Class Name	Hit Dice	Type			Abbreviation	Source Page		Save checks bonus											Combat bonus
CLASS:Thaumaturge	HD:6		TYPE:Base.PC	FACT:Abb|Tha		SOURCEPAGE:p.6	BONUS:SAVE|BASE.Fortitude,BASE.Reflex|CL/3	BONUS:SAVE|BASE.Will|CL/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*1/2		BONUS:VAR|Thaumaturge|1	DEFINE:Thaumaturge|0	DEFINE:ThaumaturgeLVL|0	BONUS:VAR|ThaumaturgeLVL|CL
#	FACT:Abb|Thu	FACT:SpellType|Divine
# Class Name	Required AL
CLASS:Thaumaturge	PREALIGN:CN,NE,CE
# Class Name	Skill Pts/Lvl	Class Skill
CLASS:Thaumaturge	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE=Craft|Diplomacy|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|TYPE=Profession|Scry|Spellcraft
# Class Name	Spell Stat		Spell Type		Memorize
CLASS:Thaumaturge	SPELLSTAT:CHA	FACT:SpellType|Divine	MEMORIZE:YES
###Block
1	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple
###Block
1	SAB:Soulbound
1	SAB:Summon Familiar
4	SAB:Lesser Corruption
###Block
1	CAST:3,1
2	CAST:4,2
3	CAST:4,2,1
4	CAST:5,3,2
5	CAST:5,3,2,1
6	CAST:5,3,3,2
7	CAST:6,4,3,2,1
8	CAST:6,4,3,3,2
9	CAST:6,4,4,3,2,1
10	CAST:6,4,4,3,3,2
11	CAST:6,5,4,4,3,2,1
12	CAST:6,5,4,4,3,3,2
13	CAST:6,5,5,4,4,3,2,1
14	CAST:6,5,5,4,4,3,3,2
15	CAST:6,5,5,5,4,4,3,2,1
16	CAST:6,5,5,5,4,4,3,3,2
17	CAST:6,5,5,5,5,4,4,3,2,1
18	CAST:6,5,5,5,5,4,4,3,3,2
19	CAST:6,5,5,5,5,5,4,4,3,3
20	CAST:6,5,5,5,5,5,4,4,4,4
