
# Deity Name	Domains							Desciption of Deity/Title												Holy Item	Deity Weapon			ALIGN		Source Page
Abaddon		DOMAINS:Catastrophe,Chaos,Death,Evil		DESC:The Destroyer, Minister of Death and Havoc, Lord of the Bottomless Pit, King of Locusts	SYMBOL:None	DEITYWEAP:Longsword		ALIGN:CE	SOURCEPAGE:p.13
Abraxas		DOMAINS:Chaos,Evil,Knowledge,Magic,Protection	DESC:The Supreme Unknown												SYMBOL:None	DEITYWEAP:Whip			ALIGN:CE	SOURCEPAGE:p.14
Anarazel		DOMAINS:Chaos,Earth,Evil,Fear				DESC:Guardian of a Thousand Terrors											SYMBOL:None	DEITYWEAP:Sword (Short)		ALIGN:CE	SOURCEPAGE:p.15
Astaroth		DOMAINS:Chaos,Evil,Knowledge,Prophecy		DESC:Diabolus														SYMBOL:None	DEITYWEAP:Dagger			ALIGN:CE	SOURCEPAGE:p.16
Azazel		DOMAINS:Animal,Chaos,Disease,Evil			DESC:Guardian of the Goat												SYMBOL:None	DEITYWEAP:Halberd			ALIGN:CE	SOURCEPAGE:p.16
Azidahaka		DOMAINS:Chaos,Evil,Fear,Pain				DESC:The Dragon of the Lie												SYMBOL:None	DEITYWEAP:Falchion		ALIGN:CE	SOURCEPAGE:p.17
Behemoth		DOMAINS:Animal,Chaos,Evil,Strength			DESC:The Great Beast													SYMBOL:None	DEITYWEAP:Longspear		ALIGN:CE	SOURCEPAGE:p.18
Decarabia		DOMAINS:Air,Chaos,Evil,Subterfuge			DESC:Sovereign of the Seventy-Seven Airs										SYMBOL:None	DEITYWEAP:Spiked Chain		ALIGN:CE	SOURCEPAGE:p.18
Eligor		DOMAINS:Chaos,Evil,Knowledge,War			DESC:The Goodly Knight													SYMBOL:None	DEITYWEAP:Sword (Two Bladed)	ALIGN:CE	SOURCEPAGE:p.19
Flauros		DOMAINS:Chaos,Evil,Fire,Sun				DESC:The Son of Suns													SYMBOL:None	DEITYWEAP:Kukri			ALIGN:CE	SOURCEPAGE:p.20
Gamigin		DOMAINS:Chaos,Death,Evil,Knowledge			DESC:The Soulconter													SYMBOL:None	DEITYWEAP:Scythe			ALIGN:CE	SOURCEPAGE:p.20
Haagenti		DOMAINS:Change,Chaos,Earth,Evil			DESC:The Ultimate Alchemist												SYMBOL:None	DEITYWEAP:Dagger			ALIGN:CE	SOURCEPAGE:p.21
Ipos			DOMAINS:Chaos,Eloquence,Evil,Trickery		DESC:Lord of Masques													SYMBOL:None	DEITYWEAP:Rapier			ALIGN:CE	SOURCEPAGE:p.22
Marbas		DOMAINS:Change,Chaos,Disease,Evil			DESC:Master of Fetid Change												SYMBOL:None	DEITYWEAP:Quarterstaff		ALIGN:CE	SOURCEPAGE:p.23
Noticula		DOMAINS:Chaos,Evil,Healing,Luck,Plant		DESC:Princess of Moonlight												SYMBOL:None	DEITYWEAP:Sickle			ALIGN:CE	SOURCEPAGE:p.23
Raum			DOMAINS:Catastrophe,Chaos,Evil,Prophecy		DESC:Harbringer of the Apocolypse											SYMBOL:None	DEITYWEAP:Quarterstaff		ALIGN:CE	SOURCEPAGE:p.24
Sabnach		DOMAINS:Chaos,Disease,Evil,Protection		DESC:The Wormworn Protector												SYMBOL:None	DEITYWEAP:Pick (Heavy)		ALIGN:CE	SOURCEPAGE:p.25
Seere			DOMAINS:Chaos,Evil,Knowledge,Travel			DESC:Patron of Portals													SYMBOL:None	DEITYWEAP:Quarterstaff		ALIGN:CE	SOURCEPAGE:p.26
Shax			DOMAINS:Chaos,Crippling,Evil,Subterfuge		DESC:The Great Crippling Gaze												SYMBOL:None	DEITYWEAP:Dagger			ALIGN:CE	SOURCEPAGE:p.26
Socothbenoth	DOMAINS:Chaos,Evil,Pleasure,Trickery		DESC:Patron of the Tents and Tabernacles of the Daughters							SYMBOL:None	DEITYWEAP:Whip			ALIGN:CE	SOURCEPAGE:p.27
Vepar			DOMAINS:Chaos,Evil,Travel,Water			DESC:Master of Angry Waters												SYMBOL:None	DEITYWEAP:Trident			ALIGN:CE	SOURCEPAGE:p.28

###Block:
# Deity Name		Domains						Desciption of Deity/Title				Holy Item	Deity Weapon			ALIGN		Source Page
Arachnadia			DOMAINS:Chaos,Destruction,Evil,Trickery	DESC:Lord of Poison and Dark Elves			SYMBOL:None	DEITYWEAP:Dagger			ALIGN:CE	SOURCEPAGE:p.29
Baphomet			DOMAINS:Chaos,Evil,Strength,Protection	DESC:Lord of Guardians and Minotaurs		SYMBOL:None	DEITYWEAP:Halberd			ALIGN:CE	SOURCEPAGE:p.29
Demogorgon			DOMAINS:Chaos,Evil,Fear,Pain			DESC:Lord Despotism					SYMBOL:None	DEITYWEAP:Whip			ALIGN:CE	SOURCEPAGE:p.29
Kostchtchie			DOMAINS:Chaos,Crippling,Evil,Strength	DESC:Lord of Cold and Brutality			SYMBOL:None	DEITYWEAP:Warhammer		ALIGN:CE	SOURCEPAGE:p.29
Lord of Many Forms	DOMAINS:Change,Chaos,Evil,Pain		DESC:Lord of Oozes and Slimes				SYMBOL:None	DEITYWEAP:Dagger			ALIGN:CE	SOURCEPAGE:p.29
Orcus				DOMAINS:Chaos,Death,Destruction,Evil	DESC:Lord of Undeath					SYMBOL:None	DEITYWEAP:Mace (Light)		ALIGN:CE	SOURCEPAGE:p.29
Pazuru			DOMAINS:Air,Animal,Chaos,Evil			DESC:Lord of Predators and Winged Creatures	SYMBOL:None	DEITYWEAP:Longsword		ALIGN:CE	SOURCEPAGE:p.29
Vaz'zht			DOMAINS:Chaos,Eloquence,Evil,Subterfuge	DESC:Lord of Nobility and Espionage			SYMBOL:None	DEITYWEAP:Sword (Bastard)	ALIGN:CE	SOURCEPAGE:p.29
Yughooragh			DOMAINS:Animal,Chaos,Death,Evil		DESC:Lord of Scavengers and Gnolls			SYMBOL:None	DEITYWEAP:Flail			ALIGN:CE	SOURCEPAGE:p.29
Zhar'Ub-Luur		DOMAINS:Chaos,Eloquence,Evil,Trickery	DESC:Lord of Lies						SYMBOL:None	DEITYWEAP:Quarterstaff		ALIGN:CE	SOURCEPAGE:p.29
