# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# Spell Name				Unique Key					Classes of caster				Domains granting the spell	School			Sub-School			Spell Descriptors			Type				Components				Casting Time			Range			Item		Target Area or Effect														Duration														Save Info					Spell Resistance		Cost		Source, Long Desc.		Source, Short Desc.	Source Page		Source Pub Link
Bigby's Clenched Fist			KEY:Clenched Fist				CLASSES:Sorcerer,Wizard=8		DOMAINS:Strength=8		SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane.Divine	COMPS:V, S, F/DF			CASTTIME:1 standard action	RANGE:Medium	ITEM:Potion	TARGETAREA:10-ft. hand														DURATION:(CASTERLEVEL) rounds [D]										SAVEINFO:None				SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.203
Bigby's Crushing Hand			KEY:Crushing Hand				CLASSES:Sorcerer,Wizard=9		DOMAINS:Strength=9		SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane.Divine	COMPS:V, S, M, F/DF		CASTTIME:1 standard action	RANGE:Medium	ITEM:Potion	TARGETAREA:10-ft. hand														DURATION:(CASTERLEVEL) rounds [D]										SAVEINFO:None				SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.203
Bigby's Forceful Hand			KEY:Forceful Hand				CLASSES:Sorcerer,Wizard=6							SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane			COMPS:V, S, F			CASTTIME:1 standard action	RANGE:Medium	ITEM:Potion	TARGETAREA:10-ft. hand														DURATION:(CASTERLEVEL) rounds [D]										SAVEINFO:None				SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.204
Bigby's Grasping Hand			KEY:Grasping Hand				CLASSES:Sorcerer,Wizard=7		DOMAINS:Strength=7		SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane.Divine	COMPS:V, S, F/DF			CASTTIME:1 standard action	RANGE:Medium	ITEM:Potion	TARGETAREA:10-ft. hand														DURATION:(CASTERLEVEL) rounds [D]										SAVEINFO:None				SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.204
Bigby's Interposing Hand		KEY:Interposing Hand			CLASSES:Sorcerer,Wizard=5							SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane			COMPS:V, S, F			CASTTIME:1 standard action	RANGE:Medium	ITEM:Potion	TARGETAREA:10-ft. hand														DURATION:(CASTERLEVEL) rounds [D]										SAVEINFO:None				SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.204
Drawmij's Instant Summons		KEY:Instant Summons			CLASSES:Sorcerer,Wizard=7							SCHOOL:Conjuration	SUBSCHOOL:Summoning						TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:See text			TARGETAREA:One object weighing 10 lb. or less whose longest dimension is 6 ft. or less			DURATION:Permanent until discharged										SAVEINFO:None				SPELLRES:No			COST:1000	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.225
Evard's Black Tentacles			KEY:Black Tentacles			CLASSES:Sorcerer,Wizard=4							SCHOOL:Conjuration	SUBSCHOOL:Creation						TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Medium	ITEM:Potion	TARGETAREA:20-ft.-radius spread												DURATION:(CASTERLEVEL) rounds [D]										SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.228
Leomund's Secret Chest			KEY:Secret Chest				CLASSES:Sorcerer,Wizard=5							SCHOOL:Conjuration	SUBSCHOOL:Summoning						TYPE:Arcane			COMPS:V, S, F			CASTTIME:10 minutes		RANGE:See text			TARGETAREA:One chest and up to (CASTERLEVEL) cu. ft. of goods							DURATION:Sixty days or until discharged									SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.247
Leomund's Secure Shelter		KEY:Secure Shelter			CLASSES:Bard,Sorcerer,Wizard=4						SCHOOL:Conjuration	SUBSCHOOL:Creation						TYPE:Arcane			COMPS:V, S, M, F; see text	CASTTIME:10 minutes		RANGE:Close				TARGETAREA:20 ft. square structure												DURATION:(CASTERLEVEL*2) hours [D]										SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.247
Leomund's Tiny Hut			KEY:Tiny Hut				CLASSES:Bard,Sorcerer,Wizard=3						SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:20 ft.	ITEM:Potion	TARGETAREA:20-ft.-radius sphere centered on your location								DURATION:(CASTERLEVEL*2) hours [D]										SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.247
Leomund's Trap				KEY:Trap					CLASSES:Sorcerer,Wizard=2							SCHOOL:Illusion		SUBSCHOOL:Glamer							TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Touch		ITEM:Potion	TARGETAREA:Object touched													DURATION:Permanent [D]												SAVEINFO:None				SPELLRES:No			COST:50	SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.247
Melf's Acid Arrow				KEY:Acid Arrow				CLASSES:Sorcerer,Wizard=2							SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid			TYPE:Arcane			COMPS:V, S, M, F			CASTTIME:1 standard action	RANGE:Long		ITEM:Potion	TARGETAREA:One arrow of acid													DURATION:((CASTERLEVEL/3)+1) rounds										SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.253	SOURCELINK:http://www.d20srd.org/srd/spells/acidArrow.htm
Mordenkainen's Disjunction		KEY:Mage's Disjunction			CLASSES:Sorcerer,Wizard=9		DOMAINS:Magic=9			SCHOOL:Abjuration											TYPE:Arcane.Divine	COMPS:V				CASTTIME:1 standard action	RANGE:Close				TARGETAREA:All magical effects and magic items within a 40-ft.-radius burst					DURATION:Instantaneous												SAVEINFO:Will negates (object)	SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.255
Mordenkainen's Faithful Hound		KEY:Mage's Faithful Hound		CLASSES:Sorcerer,Wizard=5							SCHOOL:Conjuration	SUBSCHOOL:Creation						TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Close				TARGETAREA:Phantom watchdog													DURATION:(CASTERLEVEL) hours or until discharged, then (CASTERLEVEL) rounds; see text	SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.255
Mordenkainen's Lucubration		KEY:Mage's Lucubration			CLASSES:Wizard=6									SCHOOL:Transmutation										TYPE:Arcane			COMPS:V, S				CASTTIME:1 standard action	RANGE:Personal			TARGETAREA:You															DURATION:Instantaneous												SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.256
Mordenkainen's Magnificent Mansion	KEY:Mage's Magnificent Mansion	CLASSES:Sorcerer,Wizard=7							SCHOOL:Conjuration	SUBSCHOOL:Creation						TYPE:Arcane			COMPS:V, S, F			CASTTIME:1 standard action	RANGE:Close				TARGETAREA:Extradimensional mansion, up to (CASTERLEVEL*3) 10-ft. cubes [S]					DURATION:(CASTERLEVEL*2) hours [D]										SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.256
Mordenkainen's Private Sanctum	KEY:Mage's Private Sanctum		CLASSES:Sorcerer,Wizard=5							SCHOOL:Abjuration											TYPE:Arcane			COMPS:V, S, M			CASTTIME:10 minutes		RANGE:Close				TARGETAREA:(CASTERLEVEL*30) ft. cube [S]											DURATION:24 hours [D]												SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.256
Mordenkainen's Sword			KEY:Mage's Sword				CLASSES:Sorcerer,Wizard=7							SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane			COMPS:V, S, F			CASTTIME:1 standard action	RANGE:Close				TARGETAREA:One sword														DURATION:(CASTERLEVEL) rounds [D]										SAVEINFO:None				SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.256
Nystul's Magic Aura			KEY:Magic Aura				CLASSES:Bard,Sorcerer,Wizard=1	DOMAINS:Magic=1			SCHOOL:Illusion		SUBSCHOOL:Glamer							TYPE:Arcane.Divine	COMPS:V, S, F			CASTTIME:1 standard action	RANGE:Touch		ITEM:Potion	TARGETAREA:One touched object weighing up to (CASTERLEVEL*5) lbs							DURATION:(CASTERLEVEL) days [D]										SAVEINFO:None; see text			SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.257
Otiluke's Freezing Sphere		KEY:Freezing Sphere			CLASSES:Sorcerer,Wizard=6							SCHOOL:Evocation						DESCRIPTOR:Cold			TYPE:Arcane			COMPS:V, S, F			CASTTIME:1 standard action	RANGE:Long		ITEM:Potion	TARGETAREA:See text														DURATION:Instantaneous or (CASTERLEVEL) rounds; see text						SAVEINFO:Reflex half; see text	SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.258
Otiluke's Resilient Sphere		KEY:Resilient Sphere			CLASSES:Sorcerer,Wizard=4							SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Close				TARGETAREA:(CASTERLEVEL) ft. diameter sphere, centered around a creature					DURATION:(CASTERLEVEL) minutes [D]										SAVEINFO:Reflex negates			SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.258
Otiluke's Telekinetic Sphere		KEY:Telekinetic Sphere			CLASSES:Sorcerer,Wizard=8							SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Close				TARGETAREA:(CASTERLEVEL) ft. diameter sphere, centered around creatures or objects				DURATION:(CASTERLEVEL) minutes [D]										SAVEINFO:Reflex negates (object)	SPELLRES:Yes  (object)			SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.259
Otto's Irresistible Dance		KEY:Irresistible Dance			CLASSES:Bard=6|Sorcerer,Wizard=8						SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	TYPE:Arcane			COMPS:V				CASTTIME:1 standard action	RANGE:Touch		ITEM:Potion	TARGETAREA:Living creature touched												DURATION:1d4+1 rounds												SAVEINFO:None				SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.259
Rary's Mnemonic Enhancer		KEY:Mnemonic Enhancer			CLASSES:Wizard=4									SCHOOL:Transmutation										TYPE:Arcane			COMPS:V, S, M, F			CASTTIME:10 minutes		RANGE:Personal			TARGETAREA:You															DURATION:Instantaneous												SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.268
Rary's Telepathic Bond			KEY:Telepathic Bond			CLASSES:Sorcerer,Wizard=5							SCHOOL:Divination											TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Close		ITEM:Potion	TARGETAREA:You plus (CASTERLEVEL/3) willing creatures, no two of which can be more than 30 ft. apart	DURATION:(CASTERLEVEL*10) minutes [D]									SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.268
Tasha's Hideous Laughter		KEY:Hideous Laughter			CLASSES:Bard=1|Sorcerer,Wizard=2						SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Close		ITEM:Potion	TARGETAREA:One creature; see text												DURATION:(CASTERLEVEL) rounds											SAVEINFO:Will negates			SPELLRES:Yes				SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.292
Tenser's Floating Disk			KEY:Floating Disk				CLASSES:Sorcerer,Wizard=1							SCHOOL:Evocation						DESCRIPTOR:Force			TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Close		ITEM:Potion	TARGETAREA:3-ft.-diameter disk of force											DURATION:(CASTERLEVEL) hours											SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.294
Tenser's Transformation			KEY:Transformation			CLASSES:Sorcerer,Wizard=6							SCHOOL:Transmutation										TYPE:Arcane			COMPS:V, S, M			CASTTIME:1 standard action	RANGE:Personal			TARGETAREA:You															DURATION:(CASTERLEVEL) rounds											SAVEINFO:None				SPELLRES:No					SOURCELONG:Player's Handbook	SOURCESHORT:PH		SOURCEPAGE:p.294

###Block: Spell Descriptions - Short and Long
# Spell Name				Description
Clenched Fist.MOD				DESC:This spell functions like interposing hand, except that the hand can interpose itself, push, or strike one opponent that you select. The floating hand can move as far as 60 feet and can attack in the same round. Since this hand is directed by you, its ability to notice or attack invisible or concealed creatures is no better than yours. The hand attacks once per round, and its attack bonus equals your caster level + your Intelligence, Wisdom, or Charisma modifier [for a wizard, cleric, or sorcerer, respectively], +11 for the hand's Strength score [33], -1 for being Large. The hand deals 1d8+11 points of damage on each attack, and any creature struck must make a Fortitude save [against this spell's save DC] or be stunned for 1 round. Directing the spell to a new target is a move action. The clenched fist can also interpose itself as interposing hand does, or it can bull rush an opponent as forceful hand does, but at a +15 bonus on the Strength check. Clerics who cast this spell name it for their deities. Arcane Focus: A leather glove.|PRERULE:1,DisplayFullSpell
Clenched Fist.MOD				DESC:Large hand provides cover, pushes, or attacks your foes.|!PRERULE:1,DisplayFullSpell
Crushing Hand.MOD				DESC:This spell functions like interposing hand, except that the hand can interpose itself, push, or crush one opponent that you select. The crushing hand can grapple an opponent like grasping hand does. Its grapple bonus equals your caster level + your Intelligence, Wisdom, or Charisma modifier [for a wizard, cleric, or sorcerer, respectively], +12 for the hand's Strength score [35], +4 for being Large. The hand deals 2d6+12 points of damage [lethal, not nonlethal] on each successful grapple check against an opponent. The crushing hand can also interpose itself as interposing hand does, or it can bull rush an opponent as forceful hand does, but at a +18 bonus. Directing the spell to a new target is a move action. Clerics who cast this spell name it for their deities. Arcane Material Component: The shell of an egg. Arcane Focus: A glove of snakeskin.|PRERULE:1,DisplayFullSpell
Crushing Hand.MOD				DESC:Large hand provides cover, pushes, or crushes your foes.|!PRERULE:1,DisplayFullSpell
Forceful Hand.MOD				DESC:This spell functions like interposing hand, except that the forceful hand pursues and pushes away the opponent that you designate. Treat this attack as a bull rush with a +14 bonus on the Strength check [+8 for Strength 27, +4 for being Large, and a +2 bonus for charging, which it always gets]. The hand always moves with the opponent to push that target back the full distance allowed, and it has no speed limit. Directing the spell to a new target is a move action. A very strong creature could not push the hand out of its way because the latter would instantly reposition itself between the creature and you, but an opponent could push the hand up against you by successfully bull rushing it. Focus: A sturdy glove made of leather or heavy cloth.|PRERULE:1,DisplayFullSpell
Forceful Hand.MOD				DESC:Hand pushes creatures away.|!PRERULE:1,DisplayFullSpell
Grasping Hand.MOD				DESC:This spell functions like interposing hand, except the hand can also grapple one opponent that you select. The grasping hand gets one grapple attack per round. Its attack bonus to make contact equals your caster level + your Intelligence, Wisdom, or Charisma modifier [for wizards, clerics, and sorcerers, respectively], +10 for the hand's Strength score [31], -1 for being Large. Its grapple bonus is this same figure, except with a +4 modifier for being Large instead of -1. The hand holds but does not harm creatures it grapples. Directing the spell to a new target is a move action. The grasping hand can also bull rush an opponent as forceful hand does, but at a +16 bonus on the Strength check [+10 for Strength 35, +4 for being Large, and a +2 bonus for charging, which it always gets], or interpose itself as interposing hand does. Clerics who cast this spell name it for their deities. Arcane Focus: A leather glove.|PRERULE:1,DisplayFullSpell
Grasping Hand.MOD				DESC:Hand provides cover, pushes, or grapples.|!PRERULE:1,DisplayFullSpell
Interposing Hand.MOD			DESC:Interposing hand creates a Large magic hand that appears between you and one opponent. This floating, disembodied hand then moves to remain between the two of you, regardless of where you move or how the opponent tries to get around it, providing cover [+4 AC] for you against that opponent. Nothing can fool the hand-it sticks with the selected opponent in spite of darkness, invisibility, polymorphing, or any other attempt at hiding or disguise. The hand does not pursue an opponent, however. An interposing hand is 10 feet long and about that wide with its fingers outstretched. It has as many hit points as you do when you're undamaged, and its AC is 20 [-1 size, +11 natural]. It takes damage as a normal creature, but most magical effects that don't cause damage do not affect it. The hand never provokes attacks of opportunity from opponents. It cannot push through a wall of force or enter an antimagic field, but it suffers the full effect of a prismatic wall or prismatic sphere. The hand makes saving throws as its caster. Disintegrate or a successful dispel magic destroys it. Any creature weighing 2,000 pounds or less that tries to push past the hand is slowed to half its normal speed. The hand cannot reduce the speed of a creature weighing more than 2,000 pounds, but it still affects the creature's attacks. Directing the spell to a new target is a move action. Focus: A soft glove.|PRERULE:1,DisplayFullSpell
Interposing Hand.MOD			DESC:Hand provides cover against one opponent.|!PRERULE:1,DisplayFullSpell
Instant Summons.MOD			DESC:You call some nonliving item from virtually any location directly to your hand. First, you must place your arcane mark on the item. Then you cast this spell, which magically and invisibly inscribes the name of the item on a sapphire worth at least 1,000 gp. Thereafter, you can summon the item by speaking a special word [set by you when the spell is cast] and crushing the gem. The item appears instantly in your hand. Only you can use the gem in this way. If the item is in the possession of another creature, the spell does not work, but you know who the possessor is and roughly where that creature is located when the summons occurs. The inscription on the gem is invisible. It is also unreadable, except by means of a read magic spell, to anyone but you. The item can be summoned from another plane, but only if no other creature has claimed ownership of it. Material Component: A sapphire worth at least 1,000 gp.|PRERULE:1,DisplayFullSpell
Instant Summons.MOD			DESC:Prepared object appears in your hand.|!PRERULE:1,DisplayFullSpell
Black Tentacles.MOD			DESC:This spell conjures a field of rubbery black tentacles, each 10 feet long. These waving members seem to spring forth from the earth, floor, or whatever surface is underfoot-including water. They grasp and entwine around creatures that enter the area, holding them fast and crushing them with great strength. Every creature within the area of the spell must make a grapple check, opposed by the grapple check of the tentacles. Treat the tentacles attacking a particular target as a Large creature with a base attack bonus equal to your caster level and a Strength score of 19. Thus, its grapple check modifier is equal to your caster level +8. The tentacles are immune to all types of damage. Once the tentacles grapple an opponent, they may make a grapple check each round on your turn to deal 1d6+4 points of bludgeoning damage. The tentacles continue to crush the opponent until the spell ends or the opponent escapes. Any creature that enters the area of the spell is immediately attacked by the tentacles. Even creatures who aren't grappling with the tentacles may move through the area at only half normal speed. Material Component: A piece of tentacle from a giant octopus or a giant squid.|PRERULE:1,DisplayFullSpell
Black Tentacles.MOD			DESC:Tentacles grapple all within 15 ft. spread.|!PRERULE:1,DisplayFullSpell
Secret Chest.MOD				DESC:You hide a chest on the Ethereal Plane for as long as sixty days and can retrieve it at will. The chest can contain up to 1 cubic foot of material per caster level [regardless of the chest's actual size, which is about 3 feet by 2 feet by 2 feet]. If any living creatures are in the chest, there is a 75%% chance that the spell simply fails. Once the chest is hidden, you can retrieve it by concentrating [a standard action], and it appears next to you. The chest must be exceptionally well crafted and expensive, constructed for you by master crafters. The cost of such a chest is never less than 5,000 gp. Once it is constructed, you must make a tiny replica [of the same materials and perfect in every detail], so that the miniature of the chest appears to be a perfect copy. [The replica costs 50 gp.] You can have but one pair of these chests at any given time-even a wish spell does not allow more. The chests are nonmagical and can be fitted with locks, wards, and so on, just as any normal chest can be. to hide the chest, you cast the spell while touching both the chest and the replica. The chest vanishes into the Ethereal Plane. You need the replica to recall the chest. After sixty days, there is a cumulative chance of 5%% per day that the chest is irretrievably lost. If the miniature of the chest is lost or destroyed, there is no way, not even with a wish spell, that the large chest can be summoned back, although an extraplanar expedition might be mounted to find it. Living things in the chest eat, sleep, and age normally, and they die if they run out of food, air, water, or whatever they need to survive. Focus: The chest and its replica.|PRERULE:1,DisplayFullSpell
Secret Chest.MOD				DESC:Hides expensive chest on Ethereal Plane; you retrieve it at will.|!PRERULE:1,DisplayFullSpell
Secure Shelter.MOD			DESC:You conjure a sturdy cottage or lodge made of material that is common in the area where the spell is cast. The floor is level, clean, and dry. In all respects the lodging resembles a normal cottage, with a sturdy door, two shuttered windows, and a small fireplace. The shelter has no heating or cooling source [other than natural insulation qualities]. Therefore, it must be heated as a normal dwelling, and extreme heat adversely affects it and its occupants. The dwelling does, however, provide considerable security otherwise-it is as strong as a normal stone building, regardless of its material composition. The dwelling resists flames and fire as if it were stone. It is impervious to normal missiles [but not the sort cast by siege engines or giants]. The door, shutters, and even chimney are secure against intrusion, the former two being arcane locked and the latter secured by an iron grate at the top and a narrow flue. In addition, these three areas are protected by an alarm spell. Finally, an unseen servant is conjured to provide service to you for the duration of the shelter. The secure shelter contains rude furnishings -eight bunks, a trestle table, eight stools, and a writing desk. Material Component: A square chip of stone, crushed lime, a few grains of sand, a sprinkling of water, and several splinters of wood. These must be augmented by the components of the unseen servant spell [string and a bit of wood] if this benefit is to be included. Focus: The focus of the alarm spell [silver wire and a tiny bell] if this benefit is to be included.|PRERULE:1,DisplayFullSpell
Secure Shelter.MOD			DESC:Creates sturdy cottage.|!PRERULE:1,DisplayFullSpell
Tiny Hut.MOD				DESC:You create an unmoving, opaque sphere of force of any color you desire around yourself. Half the sphere projects above the ground, and the lower hemisphere passes through the ground. As many as nine other Medium creatures can fit into the field with you; they can freely pass into and out of the hut without harming it. However, if you remove yourself from the hut, the spell ends. The temperature inside the hut is 70? F if the exterior temperature is between 0? and 100? F. An exterior temperature below 0? or above 100? lowers or raises the interior temperature on a 1-degree-for-1 basis. The hut also provides protection against the elements, such as rain, dust, and sandstorms. The hut withstands any wind of less than hurricane force, but a hurricane [75+ mph wind speed] or greater force destroys it. The interior of the hut is a hemisphere. You can illuminate it dimly upon command or extinguish the light as desired. Although the force field is opaque from the outside, it is transparent from within. Missiles, weapons, and most spell effects can pass through the hut without affecting it, although the occupants cannot be seen from outside the hut [they have total concealment]. Material Component: A small crystal bead that shatters when the spell duration expires or the hut is dispelled.|PRERULE:1,DisplayFullSpell
Tiny Hut.MOD				DESC:Creates shelter for ten creatures.|!PRERULE:1,DisplayFullSpell
Trap.MOD					DESC:This spell makes a lock or other small mechanism seem to be trapped to anyone who can detect traps. You place the spell upon any small mechanism or device, such as a lock, hinge, hasp, cork, cap, or ratchet. Any character able to detect traps, or who uses any spell or device enabling trap detection, is 100%% certain a real trap exists. Of course, the effect is illusory and nothing happens if the trap is "sprung"; its primary purpose is to frighten away thieves or make them waste precious time. If another phantom trap is active within 50 feet when the spell is cast, the casting fails. Material Component: A piece of iron pyrite touched to the object to be trapped while the object is sprinkled with a special dust requiring 50 gp to prepare.|PRERULE:1,DisplayFullSpell
Trap.MOD					DESC:Makes item seem trapped.|!PRERULE:1,DisplayFullSpell
Acid Arrow.MOD				DESC:A magical arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels [to a maximum of 18th], the acid, unless somehow neutralized, lasts for another round, dealing another 2d4 points of damage in that round. Material Component: Powdered rhubarb leaf and an adder's stomach. Focus: A dart.|PRERULE:1,DisplayFullSpell
Acid Arrow.MOD				DESC:Ranged touch attack; 2d4 damage for ((min(CASTERLEVEL,18)/3)+1) rounds.|!PRERULE:1,DisplayFullSpell
Mage's Disjunction.MOD			DESC:All magical effects and magic items within the radius of the spell, except for those that you carry or touch, are disjoined. That is, spells and spell-like effects are separated into their individual components [ending the effect as a dispel magic spell does], and each permanent magic item must make a successful Will save or be turned into a normal item. An item in a creature's possession uses its own Will save bonus or its possessor's Will save bonus, whichever is higher. You also have a 1%% chance per caster level of destroying an antimagic field. If the antimagic field survives the disjunction, no items within it are disjoined. Even artifacts are subject to disjunction, though there is only a 1%% chance per caster level of actually affecting such powerful items. Additionally, if an artifact is destroyed, you must make a DC 25 Will save or permanently lose all spellcasting abilities. [These abilities cannot be recovered by mortal magic, not even miracle or wish.] Note: Destroying artifacts is a dangerous business, and it is 95%% likely to attract the attention of some powerful being who has an interest in or connection with the device.|PRERULE:1,DisplayFullSpell
Mage's Disjunction.MOD			DESC:Dispels magic, disenchants magic items.|!PRERULE:1,DisplayFullSpell
Mage's Faithful Hound.MOD		DESC:You conjure up a phantom watchdog that is invisible to everyone but yourself. It then guards the area where it was conjured [it does not move]. The hound immediately starts barking loudly if any Small or larger creature approaches within 30 feet of it. [Those within 30 feet of the hound when it is conjured may move about in the area, but if they leave and return, they activate the barking.] The hound sees invisible and ethereal creatures. It does not react to figments, but it does react to shadow illusions. If an intruder approaches to within 5 feet of the hound, the dog stops barking and delivers a vicious bite [+10 attack bonus, 2d6+3 points of piercing damage] once per round. The dog also gets the bonuses appropriate to an invisible creature. The dog is considered ready to bite intruders, so it delivers its first bite on the intruder's turn. Its bite is the equivalent of a magic weapon for the purpose of damage reduction. The hound cannot be attacked, but it can be dispelled. The spell lasts for 1 hour per caster level, but once the hound begins barking, it lasts only 1 round per caster level. If you are ever more than 100 feet distant from the hound, the spell ends. Material Component: A tiny silver whistle, a piece of bone, and a thread.|PRERULE:1,DisplayFullSpell
Mage's Faithful Hound.MOD		DESC:Phantom dog can guard, attack.|!PRERULE:1,DisplayFullSpell
Mage's Lucubration.MOD			DESC:You instantly recall any one spell of 5th level or lower that you have used during the past 24 hours. The spell must have been actually cast during that period. The recalled spell is stored in your mind as through prepared in the normal fashion. If the recalled spell requires material components, you must provide them. The recovered spell is not usable until the material components are available.|PRERULE:1,DisplayFullSpell
Mage's Lucubration.MOD			DESC:Wizard only. Recalls spell of 5th level or lower.|!PRERULE:1,DisplayFullSpell
