SOURCELONG:WOTC - Dragon Magazine
SOURCESHORT:Dragon Magazine

### Dragon Magazine Issue 280 - Pre 3.5
Familiar's Sense					SOURCEPAGE:Dragon Magazine Pg.3		SCHOOL:Divination												ITEM:Potion	CLASSES:Sorcerer,Wizard=2							TYPE:Arcane				COMPS:V,S		CASTTIME:1 standard action			RANGE:See text								TARGETAREA:Caster's familiar													DURATION:(CASTERLEVEL) minutes														SAVEINFO:None			SPELLRES:Yes (harmless)									DESC:Allows you to perceive some of what your familiar does.
Familiar's Touch					SOURCEPAGE:Dragon Magazine Pg.4		SCHOOL:Conjuration											ITEM:Potion	CLASSES:Sorcerer,Wizard=2							TYPE:Arcane				COMPS:V,S		CASTTIME:1 standard action			RANGE:Medium								TARGETAREA:Caster's familiar													DURATION:(CASTERLEVEL) minutes														SAVEINFO:None			SPELLRES:No											DESC:You can cast any spells with a range of Touch through your familiar.
Share Life						SOURCEPAGE:Dragon Magazine Pg.4		SCHOOL:Necromancy												ITEM:Potion	CLASSES:Sorcerer,Wizard=2							TYPE:Arcane				COMPS:V,S		CASTTIME:1 full round				RANGE:Touch									TARGETAREA:Caster's familiar													DURATION:Instantaneous																SAVEINFO:None			SPELLRES:No											DESC:Tranfer life from yourself to heal your familiar.
Familiar's Form					SOURCEPAGE:Dragon Magazine Pg.4		SCHOOL:Necromancy												ITEM:Potion	CLASSES:Sorcerer,Wizard=3							TYPE:Arcane				COMPS:V,S		CASTTIME:1 full round				RANGE:Medium								TARGETAREA:Caster's familiar													DURATION:Until the caster returns to his body												SAVEINFO:None			SPELLRES:No											DESC:With a round of concentration, you transfer your mind and spirit into your familiar's body.
Call Familiar					SOURCEPAGE:Dragon Magazine Pg.4		SCHOOL:Conjuration	SUBSCHOOL:Teleportation							ITEM:Potion	CLASSES:Sorcerer,Wizard=3							TYPE:Arcane				COMPS:V,S		CASTTIME:1 standard action			RANGE:1 mile								TARGETAREA:Caster's familiar													DURATION:Instantaneous																SAVEINFO:None			SPELLRES:Yes (harmless)									DESC:This spells summons your familiar into your presence from up to a mile away.
### End Dragon Magazine Issue 280

#######Dragon Magazine #275 - Article: Alister's Augmentations - 2000 - 3e
Mass Strength				SCHOOL:Transmutation												CLASSES:Sorcerer,Wizard=6									TYPE:Arcane			COMPS:V,S,M		CASTTIME:1 standard action				RANGE:Close						TARGETAREA:One creature per two levels, all within a 30-foot radius											DURATION:(CASTERLEVEL*10) minutes								SAVEINFO:Fort Negates							SPELLRES:Yes (harmless)							SOURCEPAGE:Dragon Magazine#275			DESC:Gain 1d4+1 points of strength to each target.
Burning Sword				SCHOOL:Evocation													CLASSES:Sorcerer,Wizard=4									TYPE:Arcane			COMPS:V,S		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Weapon touched																		DURATION:(CASTERLEVEL*2) minutes (D)							SAVEINFO:None								SPELLRES:No									SOURCEPAGE:Dragon Magazine#275			DESC:Weapon is engulfed in blue flames which shed azure light out to 30 feet. Weapon deals 1d6 damage and deals extra damage on critical hit (x2 1d10, x3 2d10, x4 3d10).
Weapon Shift				SCHOOL:Transmutation												CLASSES:Bard=2|Sorcerer,Wizard=1								TYPE:Arcane			COMPS:V,S.M		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:One weapon																			DURATION:(CASTERLEVEL*5) minutes								SAVEINFO:None								SPELLRES:No									SOURCEPAGE:Dragon Magazine#275			DESC:Transforms one non-magic weapon into a different melee weapon of the same size or smaller.
Diamondsteel				SCHOOL:Transmutation												CLASSES:Bard=4|Sorcerer,Wizard=3								TYPE:Arcane			COMPS:V,S,M		CASTTIME:10 minutes					RANGE:Touch						TARGETAREA:Suit of metal armor touched																DURATION:(CASTERLEVEL) hours									SAVEINFO:None								SPELLRES:No									SOURCEPAGE:Dragon Magazine#275			DESC:Adds +1 AC & +2 hardness to light and medium metal armors or +2 AC & 3 hardness to heavy metal armor. Also increases hardness.
Rapid Strikes				SCHOOL:Transmutation												CLASSES:Bard,Sorcerer,Wizard=2								TYPE:Arcane			COMPS:V,S		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Creature touched																		DURATION:(CASTERLEVEL) rounds									SAVEINFO:Fort negates (harmless)					SPELLRES:Yes (harmless)							SOURCEPAGE:Dragon Magazine#275			DESC:Gives target one single extra melee attack at the best attack bonus.
Shieldbearer				SCHOOL:Transmutation												CLASSES:Sorcerer,Wizard=1									TYPE:Arcane			COMPS:V,S		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Shield touched																		DURATION:(CASTERLEVEL*2) rounds								SAVEINFO:None								SPELLRES:No									SOURCEPAGE:Dragon Magazine#275			DESC:Enchants shield to hover and protect designated creature, granting the shield's AC bonus allowing the creature to use two weapons or two-handed weapon.
Lesser Spell Immunity			SCHOOL:Abjuration													CLASSES:Sorcerer,Wizard=2									TYPE:Arcane			COMPS:V,S		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Creature touched																		DURATION:(CASTERLEVEL*10) minutes								SAVEINFO:Will negates (harmless)					SPELLRES:Yes (harmless)							SOURCEPAGE:Dragon Magazine#275			DESC:This spell protects one creature from a single 1st- or 2nd-level spell.
Heroics					SCHOOL:Transmutation												CLASSES:Sorcerer,Wizard=4									TYPE:Arcane			COMPS:V,S.M		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Creature touched																		DURATION:(CASTERLEVEL*10) minutes								SAVEINFO:None								SPELLRES:Yes								SOURCEPAGE:Dragon Magazine#275			DESC:Temporarily grants a fighter a feat from the fighter's bonus feat list.
Battle Hymn					SCHOOL:Enchantment	SUBSCHOOL:Charm		DESCRIPTOR:Mind-Affecting			CLASSES:Bard=3|Sorcerer,Wizard=4								TYPE:Arcane			COMPS:V,S		CASTTIME:1 standard action				RANGE:30 ft.					TARGETAREA:All allies within 30 ft.																	DURATION:(CASTERLEVEL*10) rounds								SAVEINFO:Will negates (harmless)					SPELLRES:Yes (harmless)							SOURCEPAGE:Dragon Magazine#275			DESC:+2 morale bonus to Will saves for all allies.
Indomitability				SCHOOL:Abjuration													CLASSES:Sorcerer,Wizard=5									TYPE:Arcane			COMPS:V,S		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Creature touched																		DURATION:(CASTERLEVEL) minutes								SAVEINFO:None								SPELLRES:Yes (harmless)							SOURCEPAGE:Dragon Magazine#275			DESC:Protects against the first incapacitating attack during the spell's duration. An incapacitating attack is one that would reduce the recipient to less than 1 hp. Must be from damage.
Dolorous Blow				SCHOOL:Transmutation												CLASSES:Bard,Sorcerer,Wizard=4								TYPE:Arcane			COMPS:V,S		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Weapon touched																		DURATION:(CASTERLEVEL) minutes								SAVEINFO:None								SPELLRES:None								SOURCEPAGE:Dragon Magazine#275			DESC:Weapon glows with a dull red aura. For the duration of the spell, the weapon's threat range is doubled, and its critical hits automatically succeed (no confirmation roll required).
Bristle					SCHOOL:Transmutation												CLASSES:Sorcerer,Wizard=2									TYPE:Arcane			COMPS:V,S		CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Suit of armor touched																	DURATION:(CASTERLEVEL) minutes								SAVEINFO:None								SPELLRES:None								SOURCEPAGE:Dragon Magazine#275			DESC:Each round, the first time the armor wearer attacks a target in melee 1d4 spikes strike out as well (as a melee attack). The attack bonus is (min(CASTERLEVEL+1)/2). Each spike does 1d4 damage and cannot score a critical hit.
Hurl						SCHOOL:Transmutation												CLASSES:Sorcerer,Wizard=2									TYPE:Arcane			COMPS:V,S,M,F	CASTTIME:1 standard action				RANGE:Touch						TARGETAREA:Weapon touched																		DURATION:(CASTERLEVEL) minutes								SAVEINFO:None								SPELLRES:None								SOURCEPAGE:Dragon Magazine#275			DESC:Enchants one melee weapon to return to the thrower after being thrown. For the duration the weapon returns to its wielder at the beginning of his next action.
###END Dragon Magazine #275 - Article: Alister's Augmentations
