# CVS $Revision: $ $Author: $ -- Mon Feb 17 18:13:34 2014 -- reformated by prettylst.pl v1.51 (build 22988)
SOURCELONG:Player's Handbook v.4.0	SOURCESHORT:PH	SOURCEWEB:http://www.wizards.com/welcome.asp	SOURCEDATE:2008-06

# Language	Type					Source Page
Abyssal	TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Common	TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Deep Speech	TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Draconic	TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Dwarven	TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Elven		TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Giant		TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Goblin	TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Primordial	TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
Supernal	TYPE:Spoken.Written.Read	SOURCEPAGE:p.25
