# CVS $Revision: $ $Author: $ -- Mon Feb 17 18:13:34 2014 -- reformated by prettylst.pl v1.51 (build 22988)
SOURCELONG:Player's Handbook v.4.0	SOURCESHORT:PH	SOURCEWEB:http://www.wizards.com/welcome.asp	SOURCEDATE:2008-06

# SIMPLE WEAPONS
# -- unarmed
# Weapon Name	Type
Club			TYPE:Simple.Melee.SimpleMelee.OneHanded.Mace
Dagger		TYPE:Simple.Melee.SimpleMelee.OneHanded.LightBlade.Thrown
Javelin		TYPE:Simple.Melee.SimpleMelee.OneHanded.Spear.Thrown
Mace			TYPE:Simple.Melee.SimpleMelee.OneHanded.Mace
Sickle		TYPE:Simple.Melee.SimpleMelee.OneHanded.LightBlade
Spear			TYPE:Simple.Melee.SimpleMelee.OneHanded.Spear

Greatclub		TYPE:Simple.Melee.SimpleMelee.TwoHanded.Mace
Morningstar		TYPE:Simple.Melee.SimpleMelee.TwoHanded.Mace
Quarterstaff	TYPE:Simple.Melee.SimpleMelee.TwoHanded.Staff
Scythe		TYPE:Simple.Melee.SimpleMelee.TwoHanded.HeavyBlade

Battleaxe		TYPE:Military.Melee.MilitaryMelee.OneHanded.Axe
Flail			TYPE:Military.Melee.MilitaryMelee.OneHanded.Flail
Handaxe		TYPE:Military.Melee.MilitaryMelee.OneHanded.Axe.Thrown
Longsword		TYPE:Military.Melee.MilitaryMelee.OneHanded.HeavyBlade
Scimitar		TYPE:Military.Melee.MilitaryMelee.OneHanded.HeavyBlade
Short sword		TYPE:Military.Melee.MilitaryMelee.OneHanded.LightBlade
Throwing hammer	TYPE:Military.Melee.MilitaryMelee.OneHanded.Hammer.Thrown
Warhammer		TYPE:Military.Melee.MilitaryMelee.OneHanded.Hammer
War pick		TYPE:Military.Melee.MilitaryMelee.OneHanded.Pick

Falchion		TYPE:Military.Melee.MilitaryMelee.TwoHanded.HeavyBlade
Glaive		TYPE:Military.Melee.MilitaryMelee.TwoHanded.HeavyBlade.Polearm
Greataxe		TYPE:Military.Melee.MilitaryMelee.TwoHanded.Axe
Greatsword		TYPE:Military.Melee.MilitaryMelee.TwoHanded.HeavyBlade
Halberd		TYPE:Military.Melee.MilitaryMelee.TwoHanded.Axe.Polearm
Heavy flail		TYPE:Military.Melee.MilitaryMelee.TwoHanded.Flail
Longspear		TYPE:Military.Melee.MilitaryMelee.TwoHanded.Spear.Polearm
Maul			TYPE:Military.Melee.MilitaryMelee.TwoHanded.Hammer

Bastard sword	TYPE:Superior.Melee.SuperiorMelee.OneHanded.HeavyBlade
Katar			TYPE:Superior.Melee.SuperiorMelee.OneHanded.LightBlade
Rapier		TYPE:Superior.Melee.SuperiorMelee.OneHanded.LightBlade

Spiked chain	TYPE:Superior.Melee.SuperiorMelee.TwoHanded.Flail

# -- ranged

Hand crossbow	TYPE:Simple.Ranged.SimpleRanged.OneHanded.Projectile.Crossbow
Sling			TYPE:Simple.Ranged.SimpleRanged.OneHanded.Projectile.Sling

Crossbow		TYPE:Simple.Ranged.SimpleRanged.TwoHanded.Projectile.Crossbow

Longbow		TYPE:Military.Ranged.MilitaryRanged.TwoHanded.Projectile.Bow
Shortbow		TYPE:Military.Ranged.MilitaryRanged.TwoHanded.Projectile.Bow

Shuriken		TYPE:Superior.Ranged.SuperiorRanged.OneHanded.LightBlade.Thrown

# Base attacks
Ability Attack	TYPE:Ability
Ability		TYPE:Ability

###Block: Weapon Groups
# Weapon Name	Type
Axe			TYPE:WeaponGroup
Bow			TYPE:WeaponGroup
Crossbow		TYPE:WeaponGroup
Flail			TYPE:WeaponGroup
Hammer		TYPE:WeaponGroup
Heavy Blade		TYPE:WeaponGroup
Light Blade		TYPE:WeaponGroup
Mace			TYPE:WeaponGroup
Pick			TYPE:WeaponGroup
Polearm		TYPE:WeaponGroup
Sling			TYPE:WeaponGroup
Spear			TYPE:WeaponGroup
Stave			TYPE:WeaponGroup
