
CLASS:Witch Hunter	DEFINE:WitchHunterLVL|0	BONUS:VAR|WitchHunterLVL|CL		DEFINE:POOL_Witch_Hunter_Skill|0	
# Class Name		Hit Dice	Type			Max Level	Combat bonus
CLASS:Witch Hunter	HD:8		TYPE:PC.BASE	MAXLEVEL:20	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial|TYPE=ShieldProf
CLASS:Witch Hunter	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Witch Hunter],[PRECLASS:1,Witch Hunter=1]
CLASS:Witch Hunter	SPELLSTAT:WIS	SPELLTYPE:Arcane	BONUS:CASTERLEVEL|Witch Hunter|CL	MEMORIZE:NO	SPELLLIST:1|Warlock
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Hunter's Bane		
2	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Blood Rite			
3	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Witch Hunter Order	
5	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Extra Attack		
6	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Rune Of Binding		
11	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Dark Velocity		
14	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Hardened Soul		
17	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Enduring Form		
20	ABILITY:Witch Hunter Class Feature|AUTOMATIC|Witch Hunter ~ Sanguine Mastery		
###Block
3	CAST:0
4	CAST:0
5	CAST:0
6	CAST:0
7	CAST:0
8	CAST:0
9	CAST:0
10	CAST:0
11	CAST:0
12	CAST:0
13	CAST:0
14	CAST:0
15	CAST:0
16	CAST:0
17	CAST:0
18	CAST:0
19	CAST:0
20	CAST:0
###Block
3	KNOWN:0
4	KNOWN:0
5	KNOWN:0
6	KNOWN:0
7	KNOWN:0
8	KNOWN:0
9	KNOWN:0
10	KNOWN:0
11	KNOWN:0
12	KNOWN:0
13	KNOWN:0
14	KNOWN:0
15	KNOWN:0
16	KNOWN:0
17	KNOWN:0
18	KNOWN:0
19	KNOWN:0
20	KNOWN:0

