

MONSTER HUNTER'S PACK	COST:33	TYPE:Pack	SPROP:You can buy a monster hunter's pack for 33 gp, which is cheaper than buying the items in it individually. It includes a chest, a crowbar, a hammer, three wooden stakes, a holy symbol, a flask of holy water, a set of manacles, a steel mirror, a flask of oil, a tinderbox, and 3 torches.

Wooden Stake		COST:0	TYPE:Item

###Block - GOTHIC TRINKETS
Gothic Trinket 01-02 - A picture you drew as a child of your imaginary friend																				KEY:Gothic Trinket 01-02		TYPE:Gothic Trinket
Gothic Trinket 03-04 - A lock that opens when blood is dripped in its keyhole																				KEY:Gothic Trinket 03-04		TYPE:Gothic Trinket
Gothic Trinket 05-06 - Clothes stolen from a scarecrow																							KEY:Gothic Trinket 05-06		TYPE:Gothic Trinket
Gothic Trinket 07-08 - A spinning top carved with four faces: happy, sad, wrathful, and dead																	KEY:Gothic Trinket 07-08		TYPE:Gothic Trinket
Gothic Trinket 09-10 - The necklace of a sibling who died on the day you were born																			KEY:Gothic Trinket 09-10		TYPE:Gothic Trinket
Gothic Trinket 11-12 - A wig from someone executed by beheading																						KEY:Gothic Trinket 11-12		TYPE:Gothic Trinket
Gothic Trinket 13-14 - The unopened letter to you from your dying father																				KEY:Gothic Trinket 13-14		TYPE:Gothic Trinket
Gothic Trinket 15-16 - A pocket watch that runs backward for an hour every midnight																			KEY:Gothic Trinket 15-16		TYPE:Gothic Trinket
Gothic Trinket 17-18 - A winter coat stolen from a dying soldier																						KEY:Gothic Trinket 17-18		TYPE:Gothic Trinket
Gothic Trinket 19-20 - A bottle of invisible ink that can only be read at sunset																			KEY:Gothic Trinket 19-20		TYPE:Gothic Trinket
Gothic Trinket 21-22 - A wineskin that refills when interred with a dead person for a night																	KEY:Gothic Trinket 21-22		TYPE:Gothic Trinket
Gothic Trinket 23-24 - A set of silverware used by a king for his last meal																				KEY:Gothic Trinket 23-24		TYPE:Gothic Trinket
Gothic Trinket 25-26 - A spyglass that always shows the world suffering a terrible storm																		KEY:Gothic Trinket 25-26		TYPE:Gothic Trinket
Gothic Trinket 27-28 - A cameo with the profile's face scratched away																					KEY:Gothic Trinket 27-28		TYPE:Gothic Trinket
Gothic Trinket 29-30 - A lantern with a black candle that never runs out and that burns with green flame															KEY:Gothic Trinket 29-30		TYPE:Gothic Trinket
Gothic Trinket 31-32 - A teacup from a child's tea set, stained with blood																				KEY:Gothic Trinket 31-32		TYPE:Gothic Trinket
