


# Class Name	Hit Dice	Type			Max Level	Define			Modify VAR
CLASS:Artificer	HD:8		TYPE:PC.BASE	MAXLEVEL:20	DEFINE:ArtificerLVL|0	BONUS:VAR|ArtificerLVL|CL
# Class Name	Multiple Requirements
CLASS:Artificer	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Artificer],[PRECLASS:1,Artificer=1]
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Artificer
###Block: Abilities
1	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Magical Tinkering			
1	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Spellcasting				
1	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Cantrips				
1	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Preparing And Casting Spells	
1	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Ritual Casting			
2	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Infuse Item				
2	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Infusions Known			
2	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Infusing An Item			
3	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Artificer Specialist		
3	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ The Right Tool For The Job	
6	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Tool Expertise			
7	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Flash Of Genius			
10	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Magic Item Adept			
11	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Spell-Storing Item			
14	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Magic Item Savant			
18	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Magic Item Master			
20	ABILITY:Artificer Class Feature|AUTOMATIC|Artificer ~ Soul Of Artifice			


CLASS:NoClass	HD:1	TYPE:None
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS|HITDIE
