
CATEGORY=Internal|Default.MOD	DEFINE:MaxStatNPC|0





###Block: Villian Options
Death Domain	KEY:Divine Domain ~ Death Domain	CATEGORY:Special Ability	TYPE:Cleric Class Feature.Divine Domain	SOURCEPAGE:p.96	DESC:The Death domain is concerned with the forces that cause death, as well as the negative energy that gives rise to undead creatures. Deities such as Chemosh, Myrkul, and WeeJas are patrons of necromancers, death knights, liches, mummy lords, and vampires. Gods of the Death domain also embody murder (Anubi . Bhaal, and Pyremius), pain (Iuz or Loviatar), disease or poison (Incabulos, Talona, or Morgion), and the underworld (Hades and Hel).	SPELLLEVEL:CLASS|Cleric=1|False Life,Ray of Sickness|PRECLASS:1,Cleric=1	SPELLLEVEL:CLASS|Cleric=2|Blindness/Deafness,Ray of Enfeeblement|PRECLASS:1,Cleric=3	SPELLLEVEL:CLASS|Cleric=3|Animate Dead,Vampiric Touch|PRECLASS:1,Cleric=5	SPELLLEVEL:CLASS|Cleric=4|Blight,Death Ward|PRECLASS:1,Cleric=7	SPELLLEVEL:CLASS|Cleric=5|Antilife Shell,Cloudkill|PRECLASS:1,Cleric=9	ABILITY:Cleric Class Feature|AUTOMATIC|Death Domain ~ Bonus Proficiency|Death Domain ~ Reaper|PRECLASS:1,Cleric=1	ABILITY:Cleric Class Feature|AUTOMATIC|Channel Divinity ~ Touch Of Death|PRECLASS:1,Cleric=2		ABILITY:Cleric Class Feature|AUTOMATIC|Death Domain ~ Inescapable Destruction|PRECLASS:1,Cleric=6			ABILITY:Cleric Class Feature|AUTOMATIC|Death Domain ~ Divine Strike|PRECLASS:1,Cleric=8		ABILITY:Cleric Class Feature|AUTOMATIC|Death Domain ~ Improved Reaper|PRECLASS:1,Cleric=17	
#
Bonus Proficiency					KEY:Death Domain ~ Bonus Proficiency		SOURCEPAGE:p.96	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:When the cleric chooses this domain at 1st level, he or she gains proficiency with martial weapons.
Reaper						KEY:Death Domain ~ Reaper				SOURCEPAGE:p.96	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:At 1st level, the cleric learns one necromancy cantrip of his or her choice from any spell list. When the cleric casts a necromancy cantrip that normally targets only one creature, the spell can instead target two creatures within range and within 5 feet of each other.
Channel Divinity: Touch Of Death		KEY:Channel Divinity ~ Touch Of Death		SOURCEPAGE:p.97	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:Starting at 2nd level, the cleric can use Channel Divinity to destroy another creature's life force by touch. When the cleric hits a creature with a melee attack, The cleric can use Channel Divinity to deal extra Necrotic damage to the target. The damage equals 5 + Twice his or her cleric level.
Inescapable Destruction				KEY:Death Domain ~ Inescapable Destruction	SOURCEPAGE:p.97	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:Starting at 6th level, the cleric's ability to channel negative energy becomes more potent. Necrotic damage dealt by the character's cleric spells and Channel Divinity options ignores resistance to necrotic damage.
Divine Strike					KEY:Death Domain ~ Divine Strike			SOURCEPAGE:p.97	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:At 8th level, the cleric gains the ability to infuse his or weapon strikes with necrotic energy. Once on each of the cleric's turns when he or she hits a creature with a weapon attack, the cleric can cause the attack to deal an extra 1d8 necrotic damage to the target. When the cleric reaches 14th level, the extra damage increases to 2d8.
Improved Reaper					KEY:Death Domain ~ Improved Reaper			SOURCEPAGE:p.97	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:Starting at 17th level, when the cleric casts a necromancy spell of 1st through 5th level that targets only one creature, the spell can instead target two creatures within range and within 5 feet of each other. If the spell consumes its material components, the cleric must provide them for each target.


Oathbreaker		KEY:Sacred Oath ~ Oathbreaker	CATEGORY:Special Ability	TYPE:Paladin Class Feature.SpecialQuality	SOURCEPAGE:p.97	DESC:An Oathbreaker is a paladin who breaks his or her Sacred oaths to pursue some dark ambition or serve an evil power. Whatever light burned in the paladin's heart been extinguished. Only darkness remains. A paladin must be evil and at least 3rd level to become an Oathbreaker. The paladin replaces the features specific to his or her Sacred Oath with Oathbreaker features.	SPELLKNOWN:CLASS|Paladin=1|Hellish Rebuke,Inflict Wounds|PRECLASS:1,Paladin=3	SPELLKNOWN:CLASS|Paladin=2|Crown Of Madness,Darkness|PRECLASS:1,Paladin=5	SPELLKNOWN:CLASS|Paladin=3|Animate Dead,Bestow Curse|PRECLASS:1,Paladin=9	SPELLKNOWN:CLASS|Paladin=4|Blight,Confusion|PRECLASS:1,Paladin=13	SPELLKNOWN:CLASS|Paladin=5|Contagion,Dominate Person|PRECLASS:1,Paladin=17	ABILITY:Paladin Class Feature|AUTOMATIC|Oathbreaker ~ Channel Divinity|PRECLASS:1,Paladin=3	ABILITY:Paladin Class Feature|AUTOMATIC|Channel Divinity ~ Control Undead|PRECLASS:1,Paladin=3	ABILITY:Paladin Class Feature|AUTOMATIC|Channel Divinity ~ Dreadful Aspect|PRECLASS:1,Paladin=3	ABILITY:Paladin Class Feature|AUTOMATIC|Oathbreaker ~ Aura Of Hate|PRECLASS:1,Paladin=7	ABILITY:Paladin Class Feature|AUTOMATIC|Oathbreaker ~ Supernatural Resistance|PRECLASS:1,Paladin=15	ABILITY:Paladin Class Feature|AUTOMATIC|Oathbreaker ~ Dread Lord|PRECLASS:1,Paladin=20		
#
Channel Divinity		KEY:Oathbreaker ~ Channel Divinity			CATEGORY:Special Ability	TYPE:Paladin Class Feature.SpecialQuality	SOURCEPAGE:p.97	DESC:An Oathbreaker paladin of 3rd level or higher gains the following two Channel Divinity options.
Control Undead		KEY:Channel Divinity ~ Control Undead		CATEGORY:Special Ability	TYPE:Paladin Class Feature.SpecialQuality	SOURCEPAGE:p.97	DESC:As an action, the paladin targets one ndead creature he or she can see within 30 feet of him or her. The target must make a Wisdom saving throw. On a failed save, the target must obey the paladin's commands for the next 24 hours, or until the paladin uses this Channel Divinity option again. An undead whose challenge rating is equal to or greater than the paladin's level is immune to this effect.
Dreadful Aspect		KEY:Channel Divinity ~ Dreadful Aspect		CATEGORY:Special Ability	TYPE:Paladin Class Feature.SpecialQuality	SOURCEPAGE:p.97	DESC:As an action, the paladin channels the darkest emotions and focuses them into a burst of magical menace. Each creature of the paladin's choice within 30 feet of the paladin must make a Wisdom s aving throw if it can see the paladin. On a failed save, the target is frightened of the paladin for 1 minute. If a creature frightened by this effect ends its turn more than 30 feet away from the paladin, it can attempt another Wisdom saving throw to end the effect on it.
Aura Of Hate		KEY:Oathbreaker ~ Aura Of Hate			CATEGORY:Special Ability	TYPE:Paladin Class Feature.SpecialQuality	SOURCEPAGE:p.97	DESC:Starting at 7th level, the paladin, as well any fiends and undead within 10 feet of the paladin, gains a bonus to melee weapon damage rolls equal to the paladin's Charisma modifier (minimum of +1). A creature can benefit from this feature from only one paladin at a time. At 18th level, the range of this aura increases to 30 feet.
Supernatural Resistance	KEY:Oathbreaker ~ Supernatural Resistance		CATEGORY:Special Ability	TYPE:Paladin Class Feature.SpecialQuality	SOURCEPAGE:p.97	DESC:At 15th level, the paladin gains resistance to bludgeoning, piercing, and slashing damage from nonmagical weapons.
