# CVS $Revision: $ $Author: $ -- Mon Feb 22 22:56:28 2016 -- reformated by PCGen PrettyLST v6.06.00

# Class Name	Hit Dice	Type			Max Level	Define			Modify VAR
CLASS:Barbarian	HD:12		TYPE:PC.BASE	MAXLEVEL:20	DEFINE:BarbarianLVL|0	BONUS:VAR|BarbarianLVL|CL
# Class Name	Multiple Requirements
CLASS:Barbarian	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Barbarian],[PRECLASS:1,Barbarian=1]
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Barbarian
###Block: Abilities
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Rage|Barbarian ~ Unarmored Defense
2	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Danger Sense|Barbarian ~ Reckless Attack
3	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Primal Path
4	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Ability Score Improvement
5	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Extra Attack|Barbarian ~ Fast Movement
7	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Feral Instinct
9	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Brutal Critical
11	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Relentless Rage
15	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Persistent Rage
18	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Indomitable Might
20	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Primal Champion


# Class Name	Hit Dice	Type			Max Level	Source Page		Define		Modify VAR																FACT
