# CVS $Revision: $ $Author: $ -- Thu Aug  7 12:47:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)


# Page 34


# Standard
# Language	Type
Common	TYPE:Spoken.Common
Dwarvish	TYPE:Spoken.Dwarvish
Elvish	TYPE:Spoken.Elvish
Giant		TYPE:Spoken.Dwarvish
Gnomish	TYPE:Spoken.Dwarvish
Goblin	TYPE:Spoken.Dwarvish
Halfling	TYPE:Spoken.Common
Orc		TYPE:Spoken.Dwarvish
#Exotic Languages
Abyssal	TYPE:Spoken.Infernal
Celestial	TYPE:Spoken.Celestial
Draconic	TYPE:Spoken.Draconic
Deep Speech	TYPE:Spoken.NoScript
Infernal	TYPE:Spoken.Infernal
Primordial	TYPE:Spoken.Dwarvish
Sylvan	TYPE:Spoken.Elvish
Undercommon	TYPE:Spoken.Elvish
