# CVS $Revision: $ $Author: $ -- Mon Feb 22 22:56:28 2016 -- reformated by PCGen PrettyLST v6.06.00


# Weapon Name		Type
Club				TYPE:Weapon.Simple.Monk
Dagger			TYPE:Weapon.Simple.Monk
Greatclub			TYPE:Weapon.Simple
Handaxe			TYPE:Weapon.Simple.Monk
Javelin			TYPE:Weapon.Simple.Monk
Light Hammer		TYPE:Weapon.Simple.Monk
Mace				TYPE:Weapon.Simple.Monk
Quarterstaff		TYPE:Weapon.Simple.Monk
Sickle			TYPE:Weapon.Simple.Monk
Spear				TYPE:Weapon.Simple.Monk
Unarmed Strike		TYPE:Weapon.Simple.Monk.Unarmed
Unarmed Strike (Monk)	TYPE:Weapon.Monk
Crossbow (Light)		TYPE:Weapon.Simple
Dart				TYPE:Weapon.Simple
Shortbow			TYPE:Weapon.Simple
Sling				TYPE:Weapon.Simple

Battleaxe			TYPE:Weapon.Martial
Flail				TYPE:Weapon.Martial
Glaive			TYPE:Weapon.Martial
Greataxe			TYPE:Weapon.Martial
Greatsword			TYPE:Weapon.Martial
Halberd			TYPE:Weapon.Martial
Lance				TYPE:Weapon.Martial
Longsword			TYPE:Weapon.Martial
Maul				TYPE:Weapon.Martial
Morningstar			TYPE:Weapon.Martial
Pike				TYPE:Weapon.Martial
Rapier			TYPE:Weapon.Martial
Scimitar			TYPE:Weapon.Martial
Shortsword			TYPE:Weapon.Martial
Trident			TYPE:Weapon.Martial
War Pick			TYPE:Weapon.Martial
Warhammer			TYPE:Weapon.Martial
Whip				TYPE:Weapon.Martial
Blowgun			TYPE:Weapon.Martial
Crossbow (Hand)		TYPE:Weapon.Martial
Crossbow (Heavy)		TYPE:Weapon.Martial
Longbow			TYPE:Weapon.Martial
Net				TYPE:Weapon.Martial
