
Summon Aberration	KEY:Summon Aberration	TYPE:Arcane.Divine.Spell.Psionic	SCHOOL:Conjuration	INFO:SpellLevel|4	CASTTIME:1 action			SOURCEPAGE:p.109	RANGE:90 feet	COMPS:V, S, M (a pickled tentacle and an eyeball in a platinum-inlaid vial worth at least 400 gp)	DURATION:Concentration, up to 1 hour	DESC:You call forth an aberrant spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Aberrant Spirit stat block. When you cast the spell, choose Beholderkin, Slaad, or Star Spawn. The creature resembles an aberration of that kind, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, use the higher level wherever the spell's level appears in the stat block




Intellect Fortress	KEY:Intellect Fortress		TYPE:Arcane.Divine.Spell.Psionic	SCHOOL:Abjuration		INFO:SpellLevel|3	CASTTIME:1 action			SOURCEPAGE:p.107	RANGE:30 feet		COMPS:V												DURATION:Concentration, up to 1 hour	DESC:For the duration, you or one willing creature you can see within range has resistance to psychic damage, as well as advantage on Intelligence, Wisdom, and Charisma saving throws. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can target one additional creature for each slot level above 3rd. The creatures must be within 30 feet of each other when you target them.
Summon Construct		KEY:Summon Construct		TYPE:Arcane.Divine.Spell.Psionic	SCHOOL:Conjuration	INFO:SpellLevel|4	CASTTIME:1 action			SOURCEPAGE:p.111	RANGE:90 feet		COMPS:V, S, M (an ornate stone and metal lockbox worth at least 400 gp)	DURATION:Concentration, up to 1 hour		DESC:You call forth the spirit of a construct. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Construct Spirit stat block. When you cast the spell, choose a material: Clay, Metal, or Stone. The creature resembles a golem or a modron (your choice) made of the chosen material, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.

Tasha's Caustic Brew	KEY:Tasha's Caustic Brew	TYPE:Arcane.Divine.Spell.Psionic	SCHOOL:Evocation		INFO:SpellLevel|1	CASTTIME:1 action			SOURCEPAGE:p.115	RANGE:Self (30-foot line)	COMPS:V, S, M (a bit of rotten food)		DURATION:Concentration, up to 1 minute	DESC:A stream of acid emanates from you in a line 30 feet long and 5 feet wide in a direction you choose. Each creature in the line must succeed on a Dexterity saving throw or be covered in acid for the spell's duration or until a creature uses its action to scrape or wash the acid off itself or another creature. A creature covered in the acid takes 2d4 acid damage at start of each of its turns. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 2d4 for each slot level above 1st.


###Block: Classes Grantor


Summon Aberration.MOD	CLASSES:Warlock,Wizard=4


#l
Absorb elements.MOD		CLASSES:Artificer=1
Alarm.MOD				CLASSES:Artificer=1
Catapult.MOD			CLASSES:Artificer=1
Cure wounds.MOD			CLASSES:Artificer=1
Detect magic.MOD			CLASSES:Artificer=1
Disguise self.MOD			CLASSES:Artificer=1
Expeditious retreat.MOD		CLASSES:Artificer=1
Faerie fire.MOD			CLASSES:Artificer=1
False life.MOD			CLASSES:Artificer=1
Feather fall.MOD			CLASSES:Artificer=1
Grease.MOD				CLASSES:Artificer=1
Identify.MOD			CLASSES:Artificer=1
jump.MOD				CLASSES:Artificer=1
Longstrider.MOD			CLASSES:Artificer=1
Purify food and drink.MOD	CLASSES:Artificer=1
Sanctuary.MOD			CLASSES:Artificer=1
Snare.MOD				CLASSES:Artificer=1
Tasha's caustic brew.MOD	CLASSES:Artificer=1
#2
Aid.MOD					CLASSES:Artificer=2
Alter self.MOD				CLASSES:Artificer=2
Arcane lock.MOD				CLASSES:Artificer=2
Blur.MOD					CLASSES:Artificer=2
Continual flame.MOD			CLASSES:Artificer=2
Darkvision.MOD				CLASSES:Artificer=2
Enhance ability.MOD			CLASSES:Artificer=2
Enlarge/reduce.MOD			CLASSES:Artificer=2
Heat metal.MOD				CLASSES:Artificer=2
Invisibility.MOD				CLASSES:Artificer=2
Lesser restoration.MOD			CLASSES:Artificer=2
Levitate.MOD				CLASSES:Artificer=2
Magic mouth.MOD				CLASSES:Artificer=2
Magic weapon.MOD				CLASSES:Artificer=2
Protection from poison.MOD		CLASSES:Artificer=2
Pyrotechnics.MOD				CLASSES:Artificer=2
Rope trick.MOD				CLASSES:Artificer=2
See invisibility.MOD			CLASSES:Artificer=2
Skywrite.MOD				CLASSES:Artificer=2
Spider climb.MOD				CLASSES:Artificer=2
Web.MOD					CLASSES:Artificer=2
#3
Blink.MOD					CLASSES:Artificer=3
Catnap.MOD					CLASSES:Artificer=3
Create food and water.MOD		CLASSES:Artificer=3
Dispel magic.MOD				CLASSES:Artificer=3
Elemental weapon.MOD			CLASSES:Artificer=3
Flame arrows.MOD				CLASSES:Artificer=3
Fly.MOD					CLASSES:Artificer=3
Glyph of warding.MOD			CLASSES:Artificer=3
Haste.MOD					CLASSES:Artificer=3
Intellect fortress.MOD			CLASSES:Artificer=3
Protection from energy.MOD		CLASSES:Artificer=3
Revivify.MOD				CLASSES:Artificer=3
Tiny servant.MOD				CLASSES:Artificer=3
Water breathing.MOD			CLASSES:Artificer=3
Water walk.MOD				CLASSES:Artificer=3
#4
Arcane eye.MOD				CLASSES:Artificer=4
Elemental bane.MOD			CLASSES:Artificer=4
Fabricate.MOD				CLASSES:Artificer=4
Freedom of movement.MOD			CLASSES:Artificer=4
Leomund's secret chest.MOD		CLASSES:Artificer=4
Mordenkainen's.MOD			CLASSES:Artificer=4
faithful hound.MOD			CLASSES:Artificer=4
Mordenkainen's.MOD			CLASSES:Artificer=4
private sanctum.MOD			CLASSES:Artificer=4
Otiluke's resilient sphere.MOD	CLASSES:Artificer=4
Stone shape.MOD				CLASSES:Artificer=4
